date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,NYY,TOR,"L,1-6",99,0.1,0,0,0,0,1,0,0,0.00,1,4,3,3,0,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,0.00%,0.76
2015-04-09,NYY,TOR,"L,3-6",2,2.1,1,1,1,0,1,1,0,3.38,8,35,21,7,1,1,6,2,2,0,,1,0,0,0,0,8,0,0,0,0,0,0,.37,-0.006,0.00%,0.30
2015-04-10,NYY,BOS,"L,5-6",0,4.2,6,3,2,1,4,1,1,3.68,21,81,52,11,10,4,11,4,2,0,,1,0,1,0,0,18,0,0,0,0,1,0,2.51,-0.637,-0.38%,-0.52
2015-04-17,NYY,TBR,"W,5-4",6,2.1,0,0,0,1,2,0,0,2.79,8,40,27,9,5,2,3,2,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.77,0.140,0.08%,1.15
2015-04-25,NYY,NYM,"L,2-8",7,3.0,3,1,1,0,3,0,0,2.84,12,45,31,5,7,4,5,2,1,0,,1,1,0,0,0,12,0,0,0,0,0,0,.09,-0.013,-0.01%,-0.15
2015-04-28,NYY,TBR,"W,4-2",2,2.2,1,0,0,1,5,0,0,2.35,10,38,23,5,9,1,3,1,1,0,,1,0,0,0,0,9,0,0,0,0,0,0,1.45,0.258,0.21%,1.92
2015-05-01,NYY,BOS,"W,3-2",2,1.0,0,0,0,1,0,0,0,2.20,3,14,8,2,1,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.56,0.089,0.07%,0.52
2015-05-03,NYY,BOS,"W,8-5",1,1.0,2,1,1,1,1,1,0,2.60,6,21,13,5,2,2,2,1,0,0,,2,2,0,0,0,5,0,0,0,0,0,0,.93,-0.030,-0.03%,-2.14
2015-05-06,NYY,TOR,"L,1-5",2,1.1,2,1,1,0,0,0,0,2.89,5,18,13,1,0,2,3,3,0,0,,1,0,0,0,0,5,0,0,0,1,0,0,.22,0.016,0.01%,0.80
2015-05-10,NYY,BAL,"W,6-2",3,0.1,2,1,1,0,0,0,0,3.32,3,10,7,0,2,1,2,2,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.24,-0.019,-0.02%,-1.03
2015-05-14,NYY,TBR,"L,1-6",3,3.1,5,2,2,2,3,1,0,3.63,16,51,35,6,3,6,5,5,0,0,,2,2,0,0,0,14,0,0,0,1,0,0,.31,-0.212,-0.19%,-2.12
2015-05-17,NYY,KCR,"L,0-6",2,2.2,3,2,0,2,1,0,0,3.24,13,45,26,4,6,7,3,1,0,0,,2,1,0,0,0,10,2,0,0,1,1,1,.31,-0.016,-0.01%,-0.59
2015-05-20,NYY,WSN,"L,2-3",2,1.0,0,0,0,1,2,0,0,3.12,4,22,11,5,3,1,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.58,0.029,0.02%,0.47
2015-05-23,NYY,TEX,"L,4-15",2,3.0,4,7,7,3,3,1,1,4.97,17,59,34,8,4,3,7,5,1,0,,1,1,0,0,0,12,1,0,0,0,1,0,.08,-0.079,-0.06%,-5.41
2015-05-29,NYY,OAK,"L,2-6",5,1.2,1,0,0,0,3,0,0,4.70,6,26,18,8,3,2,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.39,0.037,0.03%,0.72
2015-05-31,NYY,OAK,"L,0-3",1,0.1,2,1,1,0,0,0,0,4.94,3,5,5,2,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.22,-0.018,-0.01%,-0.69
2015-06-05,NYY,LAA,"W,8-7",4,0.0,4,5,5,1,0,0,0,6.39,5,14,8,2,1,1,3,2,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.30,-0.069,-0.06%,-3.84
2015-06-12,NYY,BAL,"L,3-11",6,2.0,5,4,1,0,2,0,0,6.27,12,50,34,6,4,6,4,1,1,0,,0,0,0,0,0,12,1,0,0,0,0,1,.10,-0.040,-0.04%,-3.01
