date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,PIT,DET,"W,13-10",99,0.2,1,4,4,3,1,0,0,54.00,6,30,13,1,4,0,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.14,-0.074,-0.04%,-1.93
2018-04-01,PIT,DET,"W,1-0",1,1.0,0,0,0,0,3,0,0,21.60,3,14,10,2,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.71,0.209,0.12%,0.53
2018-04-01,PIT,DET,"W,8-6",-1,1.0,1,0,0,0,2,0,0,13.50,4,16,11,0,6,0,2,1,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,1.87,0.100,0.06%,0.16
2018-04-05,PIT,CIN,"W,5-2",3,1.0,1,0,0,0,1,0,0,9.82,4,10,8,2,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.88,0.030,0.02%,0.46
2018-04-10,PIT,CHC,"W,8-5",4,1.1,1,0,0,1,1,0,0,7.20,6,24,19,5,4,1,3,2,0,0,,3,2,0,0,0,5,0,0,0,0,0,0,1.06,0.043,0.04%,-0.73
2018-04-12,PIT,CHC,"W,6-1",1,1.0,1,0,0,0,0,0,0,6.00,3,8,6,1,1,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.008,0.01%,0.50
2018-04-14,PIT,MIA,"W,1-0",1,1.0,0,0,0,0,0,0,0,5.14,3,16,9,3,2,1,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.50,0.184,0.13%,0.45
2018-04-15,PIT,MIA,"W,7-3",0,1.0,0,0,0,0,2,0,0,4.50,3,12,8,3,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,0.01%,0.45
2018-04-21,PIT,PHI,"L,2-6",5,0.1,3,2,1,0,1,0,0,5.40,6,22,14,0,5,2,3,2,0,0,,1,1,0,0,0,6,0,0,0,0,0,1,.46,-0.104,-0.07%,-3.69
2018-04-25,PIT,DET,"W,8-3",3,1.0,1,0,0,0,1,0,0,4.82,4,13,10,3,1,0,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.07,0.005,0.00%,0.46
2018-04-26,PIT,DET,"W,1-0",0,1.0,2,0,0,1,0,0,0,4.35,6,21,13,2,1,3,2,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,4.27,0.130,0.08%,0.46
2018-04-27,PIT,STL,"W,6-5",0,1.0,0,0,0,0,1,0,0,3.97,3,11,8,3,3,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.75,0.130,0.10%,0.46
2018-05-04,PIT,MIL,"W,6-4",6,1.2,1,0,0,1,2,0,0,3.46,6,20,15,3,6,1,2,1,0,0,,1,0,0,0,0,5,0,0,0,1,0,0,3.19,0.237,0.18%,1.01
2018-05-08,PIT,CHW,"W,10-6",3,1.0,0,0,0,0,2,0,0,3.21,3,16,11,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,0.01%,0.50
2018-05-09,PIT,CHW,"W,6-5",0,1.0,0,0,0,0,0,0,0,3.00,3,14,10,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.64,0.200,0.14%,0.50
2018-05-12,PIT,SFG,"W,6-5",2,1.2,0,0,0,1,1,0,0,2.70,6,35,22,3,3,3,1,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,2.52,0.302,0.22%,1.11
2018-05-16,PIT,CHW,"W,3-2",3,1.0,1,0,0,0,0,0,0,2.55,4,9,7,1,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.24,0.154,0.12%,0.46
2018-05-17,PIT,SDP,"W,5-4",0,1.0,0,0,0,0,3,0,0,2.41,3,13,10,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.07,0.154,0.11%,0.46
2018-05-20,PIT,SDP,"L,5-8",2,0.0,4,4,3,0,0,0,0,3.86,5,24,17,2,2,2,3,3,0,0,,0,0,2,0,0,5,0,0,0,0,0,1,2.89,-0.821,-0.60%,-4.37
2018-05-23,PIT,CIN,"W,5-4",2,1.1,2,0,0,0,1,0,0,3.60,6,22,15,5,0,1,4,3,0,0,,2,2,0,0,0,6,0,0,0,0,0,0,2.88,-0.209,-0.14%,-1.07
2018-05-27,PIT,STL,"L,4-6",3,0.1,1,0,0,2,0,0,0,3.54,4,16,5,1,1,1,1,1,0,0,,3,3,0,0,0,2,0,0,0,0,0,0,3.60,-0.408,-0.32%,-2.22
2018-05-29,PIT,CHC,"L,6-8",1,1.0,0,0,0,0,0,0,0,3.38,3,11,10,1,4,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.46
2018-05-30,PIT,CHC,"W,2-1",0,1.0,2,0,0,0,1,0,0,3.22,5,14,11,0,3,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.89,0.154,0.10%,0.46
2018-05-31,PIT,STL,"L,8-10",0,0.0,3,5,4,1,0,1,0,4.84,5,18,10,3,0,1,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,1,3.24,-0.963,-0.65%,-5.00
