date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,MIN,BAL,"L,2-3",99,0.2,2,1,1,0,0,1,0,13.50,3,7,5,0,2,1,2,0,0,0,,2,0,0,0,0,3,0,0,0,1,0,0,4.07,-0.155,-0.09%,-0.09
2018-04-04,MIN,PIT,"W,7-3",5,1.0,2,0,0,0,2,0,0,5.40,5,25,18,4,3,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.37,0.016,0.01%,0.46
2018-04-05,MIN,SEA,"W,4-2",0,1.0,0,0,0,1,1,0,0,3.38,4,15,8,3,2,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.98,0.076,0.05%,0.52
2018-04-10,MIN,HOU,"W,4-1",4,1.0,1,0,0,0,1,0,0,2.45,4,19,14,6,0,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.60,0.034,0.02%,0.52
2018-04-11,MIN,HOU,"W,9-8",0,1.0,2,2,1,1,1,0,0,3.86,6,21,13,4,2,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.41,-0.283,-0.18%,-1.48
2018-04-18,MIN,CLE,"W,2-1",6,1.0,2,0,0,0,0,0,0,3.18,5,14,10,2,0,1,4,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.47,0.141,0.12%,0.52
2018-04-20,MIN,TBR,"L,7-8",1,1.0,1,1,1,0,3,0,1,4.05,5,20,12,5,3,1,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,3.37,-0.302,-0.21%,-0.51
2018-04-26,MIN,NYY,"L,3-4",5,0.0,2,3,2,0,0,1,0,6.75,3,8,7,3,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,3.43,-0.907,-0.53%,-3.00
2018-04-28,MIN,CIN,"W,3-1",1,1.0,0,0,0,2,0,0,0,5.87,5,19,8,2,1,0,3,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.67,0.076,0.04%,0.52
2018-05-01,MIN,TOR,"L,4-7",2,1.0,1,0,0,1,1,0,0,5.19,5,17,11,4,3,3,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,2.67,0.141,0.07%,0.52
2018-05-02,MIN,TOR,"W,4-0",0,1.0,0,0,0,0,1,0,0,4.66,3,14,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,0.01%,0.52
2018-05-04,MIN,CHW,"W,6-4",1,1.0,0,0,0,0,1,0,0,4.22,3,14,11,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.19,0.091,0.05%,0.50
2018-05-06,MIN,CHW,"W,5-3",1,1.0,0,0,0,0,1,0,0,3.86,3,12,9,3,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.19,0.091,0.05%,0.50
2018-05-11,MIN,LAA,"W,5-4",4,1.0,1,0,0,0,0,0,0,3.55,4,15,13,5,2,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.57,0.200,0.13%,0.50
2018-05-12,MIN,LAA,"W,5-3",0,1.0,0,0,0,2,0,0,0,3.29,4,19,10,4,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.85,0.091,0.06%,0.50
2018-05-15,MIN,STL,"W,4-1",2,1.0,0,0,0,0,0,0,0,3.07,3,12,9,3,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.034,0.02%,0.52
2018-05-20,MIN,MIL,"W,3-1",4,1.0,0,0,0,0,3,0,0,2.87,3,13,9,2,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.98,0.076,0.04%,0.52
