date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-08-21,HOU,SEA,"W,3-2",99,4.1,2,1,0,1,4,0,3,0.00,19,67,42,13,7,6,5,2,0,0,,2,0,1,0,0,15,0,0,0,0,0,0,1.39,0.117,0.16%,0.97
2018-08-26,HOU,LAA,"W,3-1",4,5.0,2,1,1,3,3,0,0,0.96,20,77,42,16,5,11,3,2,0,0,59,,,0,0,0,17,0,0,0,1,0,0,1.10,0.168,0.15%,1.51
2018-08-31,HOU,LAA,"L,0-3",4,5.0,2,1,1,3,3,0,0,1.26,19,89,51,14,4,10,3,0,1,0,59,,,0,0,0,16,0,0,0,1,0,0,1.11,0.229,0.18%,2.14
2018-09-05,HOU,MIN,"W,9-1",4,5.1,5,1,1,3,5,1,0,1.37,22,88,45,15,6,10,4,3,0,0,56,,,0,1,1,19,0,0,0,1,0,0,.99,0.152,0.09%,0.84
2018-09-11,HOU,DET,"W,5-4",5,4.0,5,4,4,4,3,1,0,2.66,20,92,51,13,5,8,5,4,1,0,35,,,0,0,0,16,2,0,0,1,0,0,.94,-0.118,-0.07%,-1.89
2018-09-17,HOU,SEA,"L,1-4",5,5.0,2,0,0,5,6,0,0,2.20,20,81,41,18,8,7,2,1,0,0,64,,,0,0,0,15,0,0,0,2,0,0,1.26,0.284,0.07%,2.53
2018-09-23,HOU,LAA,"W,6-2",5,6.0,3,1,1,2,9,1,1,2.08,24,95,59,17,12,9,3,0,0,0,,0,0,0,0,0,21,1,0,0,0,0,0,.86,0.235,0.08%,2.03
2018-09-29,HOU,BAL,"W,5-2",5,2.1,1,1,1,3,1,0,0,2.19,10,44,24,3,6,4,2,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,1.54,-0.035,0.00%,-0.07
2019-04-02,HOU,TEX,"L,4-6",99,2.0,3,2,2,1,3,0,0,9.00,10,34,20,5,4,3,3,2,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,1.31,-0.162,-0.10%,-0.77
2019-04-06,HOU,OAK,"W,6-0",3,1.0,1,0,0,0,0,0,0,6.00,3,9,5,1,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.12,0.003,0.00%,0.57
2019-04-21,HOU,TEX,"L,10-11",14,2.1,1,1,1,3,3,0,0,5.06,10,37,19,10,1,2,2,0,1,0,,2,1,0,0,0,6,0,0,0,1,1,0,.14,-0.020,-0.02%,0.48
2019-04-24,HOU,MIN,"W,7-1",2,1.0,0,0,0,1,2,0,0,4.26,4,15,9,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.57
2019-04-28,HOU,CLE,"W,4-1",3,2.0,1,0,0,0,2,0,0,3.24,7,23,19,3,3,4,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.99,0.113,0.09%,1.14
2019-04-29,HOU,MIN,"L,0-1",0,1.0,1,0,0,0,0,0,0,2.89,4,7,6,0,1,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.76,0.035,0.03%,0.55
2019-05-02,HOU,MIN,"L,2-8",2,2.1,2,1,1,1,3,0,0,3.09,10,35,25,5,5,4,2,1,0,0,,1,0,0,0,0,9,0,1,0,0,0,0,.08,-0.001,0.00%,0.45
2019-05-07,HOU,KCR,"L,2-12",4,3.0,5,4,4,0,0,1,1,4.91,15,44,28,8,0,7,7,4,1,0,,0,0,0,0,0,14,0,0,0,0,0,0,.05,-0.007,-0.01%,-2.29
2019-05-12,HOU,TEX,"W,15-5",4,1.0,1,0,0,1,2,0,0,4.60,5,20,12,5,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.57
2019-05-14,HOU,DET,"W,11-4",1,1.0,0,0,0,2,0,0,0,4.32,4,21,10,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.05,0.002,0.00%,0.56
2019-05-19,HOU,BOS,"L,3-4",4,1.2,3,1,1,0,1,0,0,4.42,8,28,19,5,5,3,4,3,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.44,-0.089,-0.06%,-0.20
2019-05-23,HOU,CHW,"L,0-4",3,2.2,2,0,0,1,2,0,0,3.86,11,36,26,6,5,5,3,2,0,0,,1,0,0,0,0,10,0,0,0,0,0,0,.52,0.066,0.05%,1.72
2019-05-26,HOU,BOS,"L,1-4",2,1.0,0,1,0,1,0,0,0,3.68,4,15,7,1,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.38,-0.035,-0.02%,-0.43
2019-06-03,HOU,SEA,"W,4-2",7,4.0,2,0,0,2,3,0,0,3.12,16,65,37,11,8,5,5,2,1,1,,0,0,1,0,0,14,1,0,0,0,0,0,1.31,0.300,0.16%,2.05
2019-06-08,HOU,BAL,"L,1-4",4,7.0,5,1,1,0,7,1,1,2.73,27,84,57,14,11,16,3,1,0,0,70,,,0,0,0,26,0,0,0,0,0,0,.96,0.301,0.13%,2.98
2019-06-15,HOU,TOR,"W,7-2",6,6.0,4,2,2,2,8,0,0,2.77,24,82,51,14,12,11,3,2,0,0,62,,,1,0,0,21,0,0,0,1,1,0,.96,0.211,0.09%,1.42
2019-06-20,HOU,NYY,"L,6-10",4,3.1,4,5,5,3,3,2,0,3.61,17,64,37,16,4,5,6,2,1,0,32,,,0,0,0,14,1,0,0,0,0,0,.81,-0.187,-0.11%,-2.39
2019-06-26,HOU,PIT,"L,2-14",5,3.0,8,6,6,1,2,1,0,4.57,18,69,43,6,8,8,7,6,0,0,20,,,1,0,0,17,2,0,0,0,0,1,.82,-0.363,-0.23%,-4.29
2019-07-11,HOU,TEX,"L,0-5",14,0.2,4,4,4,3,0,0,0,5.28,9,28,12,3,0,5,1,1,0,0,25,,,0,0,0,6,3,0,0,0,0,0,1.05,-0.299,-0.20%,-4.24
2019-07-15,HOU,LAA,"L,6-9",3,4.0,6,7,4,4,4,1,0,5.58,23,85,48,13,10,8,7,5,0,0,,0,0,0,0,0,18,3,0,0,0,1,1,1.15,-0.509,-0.34%,-4.83
2019-08-25,HOU,LAA,"W,11-2",40,6.0,2,1,1,5,8,1,2,5.14,25,94,52,20,8,9,1,1,0,0,67,,,0,0,0,18,0,0,0,2,0,0,1.28,0.285,0.06%,2.42
2019-08-31,HOU,TOR,"L,4-6",5,5.2,9,6,6,3,5,2,0,5.55,28,103,64,19,13,13,7,3,0,0,29,,,0,0,0,25,0,0,0,0,0,0,.70,-0.254,-0.03%,-2.03
2019-09-06,HOU,SEA,"W,7-4",5,4.0,2,3,3,6,6,0,0,5.62,20,85,45,13,10,6,2,1,1,0,46,,,3,0,0,14,0,0,0,0,0,0,1.36,-0.072,-0.01%,-0.72
2019-09-10,HOU,OAK,"L,7-21",3,4.0,4,2,2,1,3,0,0,5.56,17,53,36,7,6,9,4,2,0,0,,0,0,0,0,0,15,0,0,0,0,1,0,.00,0.000,0.00%,0.28
