date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,COL,ARI,"W,2-1",99,5.0,4,1,0,4,4,0,0,0.00,22,89,55,12,9,8,6,3,0,0,57,,,0,0,1,18,1,0,0,0,0,1,1.20,0.124,0.08%,1.54
2018-04-06,COL,ATL,"L,3-8",5,4.2,7,7,7,6,2,1,0,6.52,27,93,53,17,5,6,13,7,1,0,18,,,1,0,0,20,2,1,2,0,1,0,.87,-0.435,-0.27%,-4.52
2018-04-11,COL,SDP,"W,6-4",4,3.0,1,0,0,0,4,0,1,4.97,11,39,31,8,6,6,0,0,0,0,61,,,0,0,0,10,0,0,0,0,0,0,.79,0.162,0.09%,1.70
2018-04-16,COL,PIT,"W,6-2",4,6.0,2,2,2,2,6,0,0,4.34,22,97,64,18,10,5,9,4,1,0,64,,,1,0,0,19,0,2,0,0,1,0,.61,0.160,0.10%,0.79
2018-04-22,COL,CHC,"L,7-9",5,3.1,8,6,6,1,5,1,1,6.14,21,75,52,10,9,7,7,4,1,0,24,,,0,0,0,18,0,0,0,0,0,0,.72,-0.316,-0.20%,-4.04
2018-04-28,COL,MIA,"L,1-4",5,6.0,6,3,1,3,6,0,0,5.14,27,113,70,23,6,9,9,7,1,0,55,,,1,0,0,24,2,0,0,1,0,1,.91,-0.106,-0.07%,-0.28
2018-05-04,COL,NYM,"W,8-7",5,6.0,6,2,2,0,8,1,0,4.76,24,105,69,16,11,7,9,3,1,0,60,,,0,0,0,24,0,0,0,0,0,1,.60,0.072,0.05%,0.66
2018-05-10,COL,MIL,"L,2-5",5,4.2,12,5,5,3,3,1,1,5.35,28,94,59,13,9,9,12,9,1,0,20,,,0,0,0,23,2,0,0,1,1,0,1.19,-0.246,-0.18%,-2.64
2018-05-15,COL,SDP,"L,0-4",4,5.0,6,2,2,1,5,1,0,5.15,21,87,57,17,7,8,7,4,1,0,51,,,2,0,0,20,0,0,0,1,0,0,.81,-0.046,-0.04%,0.25
2018-05-21,COL,LAD,"W,2-1",5,7.0,2,1,1,2,5,1,1,4.62,27,94,62,16,11,8,11,2,2,0,72,,,0,0,0,24,1,0,0,0,0,1,1.15,0.286,0.23%,2.31
2018-05-27,COL,CIN,"W,8-2",5,7.0,5,1,1,2,6,0,0,4.21,27,105,62,21,9,10,10,4,3,0,67,,,0,0,0,25,2,0,0,1,0,0,.81,0.278,0.20%,2.96
2018-06-02,COL,LAD,"L,4-12",5,6.0,7,4,4,3,8,2,0,4.38,27,114,71,20,17,6,10,4,0,0,47,,,0,0,0,24,1,0,0,1,0,0,1.15,-0.074,-0.07%,-0.61
2018-06-08,COL,ARI,"L,4-9",5,4.0,6,5,5,1,4,3,0,4.79,19,69,44,13,6,7,7,3,0,0,33,,,0,0,0,18,1,0,0,0,0,0,.72,-0.292,-0.27%,-2.74
2018-06-14,COL,PHI,"L,3-9",5,6.0,7,6,6,2,8,2,0,5.13,27,112,70,25,10,6,11,6,2,0,40,,,0,0,0,25,1,0,0,0,0,0,.64,-0.185,-0.11%,-1.88
2018-06-19,COL,NYM,"W,10-8",4,6.0,6,4,4,2,4,0,0,5.20,24,95,62,18,9,9,9,4,2,0,46,,,0,0,0,19,1,0,0,1,2,0,.77,-0.013,-0.01%,-0.61
2018-06-24,COL,MIA,"L,5-8",4,3.1,9,6,5,3,6,1,0,5.53,24,83,53,9,8,8,6,4,0,0,23,,,0,0,0,20,3,0,1,0,0,1,1.18,-0.424,-0.22%,-4.21
2018-06-30,COL,LAD,"W,3-1",5,8.0,2,1,1,0,9,1,0,5.14,26,92,64,19,15,4,13,5,1,0,83,,,0,0,0,26,0,0,0,0,0,0,1.04,0.388,0.21%,2.79
2018-07-06,COL,SEA,"W,7-1",5,6.0,5,1,1,0,5,1,0,4.92,22,110,78,19,12,11,6,5,0,0,63,,,0,1,0,22,0,0,0,0,0,1,.76,0.242,0.15%,1.88
2018-07-11,COL,ARI,"W,19-2",4,6.0,5,2,2,2,8,1,0,4.81,25,101,67,23,11,12,3,3,0,0,60,,,0,0,0,23,0,0,0,0,0,0,.23,0.009,0.01%,1.40
2018-07-20,COL,ARI,"W,11-10",8,5.0,8,6,5,3,6,0,0,5.00,25,101,62,14,15,13,3,3,0,0,32,,,1,0,0,22,1,1,0,1,0,0,1.22,-0.416,-0.44%,-3.46
2018-07-29,COL,OAK,"W,3-2",8,7.2,5,2,2,1,8,2,0,4.82,28,100,70,24,12,9,10,7,0,0,68,,,0,0,0,27,0,0,0,1,0,0,1.13,0.317,0.31%,2.27
2018-08-03,COL,MIL,"L,3-5",4,7.0,3,2,2,2,9,1,0,4.70,26,98,67,16,13,8,7,3,0,0,70,,,0,0,0,24,0,0,0,0,0,0,1.11,0.198,0.21%,1.45
2018-08-08,COL,PIT,"L,3-4",4,6.0,10,3,3,2,10,0,0,4.69,29,94,65,14,19,8,9,6,0,0,48,,,2,0,0,27,4,0,1,0,0,0,.97,0.011,0.01%,0.40
2018-08-14,COL,HOU,"W,5-1",5,7.0,3,1,1,2,7,0,1,4.51,26,104,64,24,12,6,9,3,1,0,72,,,0,0,0,22,1,1,0,2,0,0,1.33,0.290,0.31%,2.54
2018-08-19,COL,ATL,"W,4-2",4,7.0,5,2,2,1,5,0,1,4.42,28,93,64,20,7,8,13,6,3,0,63,,,0,0,0,26,1,0,0,0,0,0,1.29,0.228,0.29%,1.41
2018-08-25,COL,STL,"W,9-1",5,7.0,3,0,0,1,9,0,0,4.21,24,95,64,23,13,8,6,3,1,0,79,,,0,0,0,23,0,0,0,1,0,0,1.06,0.467,0.63%,3.96
2018-08-30,COL,SDP,"L,2-3",4,8.0,2,2,2,1,13,0,0,4.11,28,108,76,25,17,7,7,6,0,0,82,,,0,0,0,26,0,1,0,0,1,1,.95,0.240,0.32%,1.60
2018-09-04,COL,SFG,"W,6-2",4,6.2,7,2,2,2,11,1,0,4.05,28,107,74,22,19,6,9,7,0,0,61,,,2,0,0,26,0,0,0,0,0,0,1.04,0.105,0.15%,1.49
2018-09-10,COL,ARI,"W,13-2",5,7.0,6,2,1,1,11,0,0,3.94,27,98,72,18,21,8,7,6,0,0,69,,,0,0,0,26,0,1,0,1,0,0,.69,0.202,0.41%,1.96
2018-09-15,COL,SFG,"L,0-3",4,6.0,7,3,3,1,4,0,2,3.96,25,82,50,12,11,7,11,6,1,0,49,,,0,0,0,22,2,0,0,2,0,0,.75,-0.136,-0.23%,-0.30
2018-09-21,COL,ARI,"W,6-2",5,7.0,6,2,2,0,11,1,0,3.91,26,90,62,18,18,6,9,2,1,0,68,,,0,0,0,26,2,0,0,0,0,0,.95,0.166,0.29%,1.56
2018-09-26,COL,PHI,"W,14-0",4,7.0,3,0,0,1,11,0,0,3.76,24,101,70,21,20,10,2,2,0,0,81,,,0,0,0,23,0,0,0,1,0,1,.67,0.298,0.80%,3.96
2018-10-01,COL,LAD,"L,2-5",4,4.2,5,4,2,2,9,2,0,3.77,22,84,58,12,19,3,8,2,0,0,49,,,0,0,0,20,2,0,1,0,0,0,.94,-0.162,-1.14%,-1.73
2019-03-29,COL,MIA,"W,6-1",99,6.0,2,1,1,3,7,1,1,1.50,22,93,59,15,14,9,2,1,0,0,68,,,0,2,0,18,0,0,0,0,0,0,1.15,0.194,0.11%,1.98
2019-04-03,COL,TBR,"W,1-0",4,7.0,3,0,0,3,7,0,0,0.69,27,91,59,17,15,8,9,3,0,0,75,,,2,0,0,24,0,0,0,1,0,1,1.41,0.456,0.24%,3.75
2019-04-09,COL,ATL,"L,1-7",5,5.0,7,5,5,0,2,2,0,3.00,22,92,64,18,6,9,11,6,0,0,35,,,0,0,0,21,1,0,0,0,0,0,.69,-0.178,-0.08%,-1.88
2019-04-14,COL,SFG,"W,4-0",4,9.0,1,0,0,0,9,0,1,2.00,29,105,75,24,12,11,8,5,0,0,94,,,0,0,0,28,0,0,0,0,0,0,.63,0.377,0.14%,4.47
2019-04-19,COL,PHI,"W,4-3",4,5.0,10,2,2,2,5,0,0,2.25,26,95,67,13,17,10,9,8,1,0,42,,,0,0,0,23,0,0,0,1,1,0,1.20,0.072,0.03%,1.12
2019-04-24,COL,WSN,"W,9-5",4,7.0,8,3,3,2,7,1,0,2.54,31,102,69,21,14,11,11,6,2,0,54,,,0,0,0,29,3,0,0,0,0,0,.96,0.121,0.06%,1.37
2019-04-30,COL,MIL,"L,3-4",5,7.0,6,4,4,0,6,1,0,2.93,26,80,61,16,14,14,6,3,1,0,55,,,0,0,0,26,1,0,0,1,0,0,.82,0.001,0.00%,-0.26
2019-05-05,COL,ARI,"W,8-7",4,6.0,7,5,5,2,9,2,0,3.46,27,102,65,14,15,8,8,4,0,0,45,,,2,0,0,24,1,0,0,0,1,0,1.02,-0.233,-0.11%,-1.25
2019-05-10,COL,SDP,"W,12-2",4,5.2,10,2,2,0,7,0,1,3.43,28,102,70,18,16,13,7,6,0,0,48,,,0,0,0,27,0,0,0,0,0,0,.75,0.232,0.11%,1.47
2019-05-15,COL,BOS,"L,5-6",4,6.1,10,5,5,0,6,1,0,3.80,27,87,62,13,8,9,12,8,0,0,39,,,0,0,0,27,0,1,0,1,0,0,.71,-0.227,-0.11%,-1.93
