date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-04-30,ATL,SDP,"L,3-4",99,1.0,1,0,0,0,0,0,0,0.00,3,4,3,0,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.73,0.044,0.03%,0.56
2019-05-02,ATL,SDP,"L,2-11",1,0.1,1,0,0,0,0,0,0,0.00,2,6,4,0,0,1,1,0,1,0,,2,1,0,0,0,2,0,0,0,0,0,0,.36,-0.021,-0.01%,-0.53
2019-05-04,ATL,MIA,"W,9-2",1,1.0,0,0,0,0,0,0,0,0.00,3,9,9,3,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,0.00%,0.50
2019-05-06,ATL,LAD,"L,3-5",1,0.2,0,0,0,1,1,0,0,0.00,3,14,6,1,2,0,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,.32,0.020,0.01%,1.41
2019-05-07,ATL,LAD,"L,0-9",0,1.0,2,0,0,0,0,0,0,0.00,5,16,10,2,1,0,5,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.10,0.006,0.00%,0.51
2019-06-17,ATL,NYM,"W,12-3",40,1.0,1,0,0,1,3,0,0,0.00,5,23,14,3,4,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.000,0.00%,0.56
2019-06-18,ATL,NYM,"L,2-10",0,1.0,2,0,0,1,2,0,0,0.00,6,26,15,1,5,3,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.03,0.001,0.00%,0.56
2019-06-22,ATL,WSN,"W,13-9",3,1.0,0,0,0,0,3,0,0,0.00,3,19,11,3,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.56
2019-06-23,ATL,WSN,"W,4-3",0,0.2,2,2,1,0,1,1,0,1.17,4,16,11,3,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.09,-0.084,-0.08%,-0.69
2019-07-04,ATL,PHI,"W,12-6",10,0.2,1,1,1,0,1,1,0,2.16,3,12,9,1,1,1,1,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,.53,0.004,0.00%,-0.27
