date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-06-08,MIN,NYY,"L,4-8",99,1.0,3,3,3,0,1,2,0,27.00,6,23,17,2,2,1,4,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.15,-0.067,-0.01%,-2.49
2021-06-09,MIN,NYY,"L,6-9",0,3.1,3,1,1,0,2,0,0,8.31,13,51,35,11,4,1,10,4,3,0,,1,0,0,0,0,12,2,0,0,0,1,0,.05,0.002,0.00%,0.77
2021-06-15,MIN,SEA,"L,0-10",5,4.0,5,4,4,3,6,2,0,8.64,20,93,55,16,5,3,8,3,1,0,,0,0,0,0,0,16,0,0,0,0,1,0,.03,-0.005,0.00%,-2.02
2021-06-25,MIN,CLE,"W,8-7",9,4.1,3,3,3,2,2,1,0,7.82,18,75,49,12,4,7,7,1,2,0,,0,0,0,0,0,16,0,0,0,0,0,0,1.28,-0.131,-0.01%,-0.85
2021-07-03,MIN,KCR,"L,3-6",7,5.0,8,6,6,3,3,1,0,8.66,25,88,58,14,9,6,13,4,1,0,27,,,2,0,0,21,2,0,0,0,1,0,.95,-0.368,-0.02%,-3.27
2021-07-19,MIN,CHW,"W,3-2",15,4.0,1,1,1,1,6,1,0,7.48,15,68,43,6,16,3,5,0,2,0,61,,,1,0,0,14,0,0,0,0,0,1,.90,0.077,0.00%,1.11
2021-07-30,MIN,STL,"L,1-5",10,5.0,2,1,1,2,2,0,0,6.41,19,83,52,19,4,5,10,3,2,0,59,,,2,0,0,16,0,0,0,0,1,0,.97,0.140,0.00%,1.35
2021-08-05,MIN,HOU,"W,5-3",5,5.1,3,1,1,1,0,1,0,5.63,20,75,49,11,3,8,11,2,1,0,57,,,0,0,0,19,1,0,0,0,0,0,.67,0.130,0.00%,1.46
2021-08-10,MIN,CHW,"W,4-3",4,6.0,5,3,3,1,10,2,0,5.45,24,83,57,15,14,5,8,2,0,0,59,,,0,0,0,23,1,0,0,1,0,0,.94,-0.018,0.00%,0.07
2021-08-16,MIN,CLE,"W,5-4",5,6.0,7,4,2,2,3,1,1,5.11,27,87,54,18,6,11,10,2,2,0,47,,,0,0,0,24,2,0,0,2,0,1,1.21,-0.181,0.00%,-0.93
2021-08-24,MIN,BOS,"L,9-11",7,4.2,7,9,9,4,4,3,0,6.29,25,92,55,12,15,3,14,5,2,0,14,,,0,0,0,21,3,0,0,0,0,0,.95,-0.513,0.00%,-6.28
2021-08-29,MIN,MIL,"L,2-6",4,5.0,6,6,6,3,5,2,1,6.71,25,100,65,14,8,2,14,7,0,0,33,,,0,0,0,21,4,0,0,0,0,0,.59,-0.281,0.00%,-3.44
2021-09-05,MIN,TBR,"W,6-5",6,4.2,6,4,4,1,3,1,0,6.79,21,89,49,10,9,6,11,3,0,0,38,,,0,0,0,20,0,0,0,0,0,0,1.12,-0.049,0.00%,-0.83
2021-09-10,MIN,KCR,"L,4-6",4,6.0,5,4,4,1,4,1,0,6.72,24,76,57,16,7,6,13,3,1,0,49,,,0,0,0,23,3,0,0,0,0,0,1.05,-0.045,0.00%,-0.93
2021-09-15,MIN,CLE,"L,3-12",4,4.2,7,5,3,1,3,1,0,6.65,22,82,53,10,8,5,13,6,0,0,36,,,0,0,0,20,3,0,0,0,1,0,.89,-0.210,0.00%,-2.68
2021-09-21,MIN,CHC,"W,9-5",5,3.0,4,3,3,2,6,2,3,6.75,18,72,42,16,6,2,5,1,1,0,43,,,3,0,0,12,0,0,1,0,1,0,1.23,-0.171,0.00%,-1.47
2021-09-26,MIN,TOR,"L,2-5",4,5.0,6,4,4,0,2,2,0,6.78,21,83,61,8,8,7,12,1,0,0,41,,,0,0,0,21,0,0,0,0,0,0,.73,-0.178,0.00%,-1.44
2021-10-02,MIN,KCR,"W,4-0",5,5.0,1,0,0,2,3,0,0,6.37,17,74,44,12,7,3,9,1,1,0,66,,,0,1,0,15,0,0,0,0,0,0,.87,0.291,0.00%,2.74
