date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-04,NYM,PHI,"W,4-2",99,1.0,0,0,0,0,3,0,0,0.00,3,14,9,4,1,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.87,0.064,0.04%,0.44
2018-04-05,NYM,WSN,"W,8-2",0,1.0,1,0,0,0,3,0,0,0.00,4,21,13,6,4,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.15,0.008,0.01%,0.51
2018-04-07,NYM,WSN,"W,3-2",1,1.0,2,1,1,0,1,1,0,3.00,5,25,18,4,2,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.94,-0.117,-0.09%,-0.49
2018-04-09,NYM,MIA,"W,4-2",1,1.0,2,0,0,0,1,0,0,2.25,5,22,15,4,1,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.44,0.075,0.06%,0.45
2018-04-10,NYM,MIA,"W,8-6",0,1.0,1,0,0,1,2,0,0,1.80,5,18,12,2,3,0,2,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.41,0.101,0.08%,0.45
2018-04-14,NYM,MIL,"L,1-5",3,1.0,1,1,1,0,2,1,0,3.00,4,14,12,3,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,-0.014,-0.01%,-0.56
2018-04-15,NYM,MIL,"W,3-2",0,1.0,0,0,0,0,1,0,0,2.57,3,8,6,1,2,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.37,0.100,0.07%,0.44
2018-04-16,NYM,WSN,"L,6-8",0,1.0,1,1,1,0,0,1,0,3.38,4,15,9,1,1,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.29,-0.070,-0.06%,-0.56
2018-05-06,NYM,COL,"L,2-3",19,2.0,2,1,1,1,2,1,0,3.60,8,27,20,7,3,2,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.92,-0.187,-0.12%,-0.11
2018-05-08,NYM,CIN,"L,2-7",1,0.1,3,2,2,1,0,1,0,5.23,5,19,10,3,2,1,3,2,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.23,-0.070,-0.05%,-2.66
2018-05-28,NYM,ATL,"W,8-5",19,3.0,2,0,0,1,3,0,1,4.05,13,45,29,10,3,4,4,1,0,0,,2,1,0,0,0,10,1,0,0,0,1,0,1.07,0.174,0.10%,1.95
2018-05-31,NYM,CHC,"L,1-5",2,1.0,2,2,2,1,1,1,0,5.02,6,24,14,3,2,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.21,-0.237,-0.13%,-1.56
2018-06-02,NYM,CHC,"L,1-7",1,1.0,0,0,0,0,1,0,0,4.70,3,11,6,3,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.72,0.126,0.06%,0.44
2018-06-14,NYM,ARI,"L,3-6",11,1.2,0,1,1,1,2,0,0,4.76,6,22,13,2,3,1,2,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.80,0.071,0.01%,0.78
2018-06-17,NYM,ARI,"W,5-3",2,1.0,1,0,0,1,0,0,0,4.50,4,14,8,1,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.14,0.044,0.01%,0.51
2018-06-19,NYM,COL,"L,8-10",1,1.2,3,2,2,3,1,1,0,5.03,10,37,16,1,4,3,3,2,0,0,,1,1,0,0,0,7,1,0,0,1,0,0,.26,-0.068,-0.02%,-1.85
2018-06-24,LAA,TOR,"L,6-7",4,1.0,2,1,1,0,1,1,0,5.23,5,21,14,4,4,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.35,-0.300,-0.12%,-0.50
2018-06-25,LAA,KCR,"L,0-2",0,1.0,2,1,1,1,1,0,0,5.40,5,20,10,3,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.56,-0.058,-0.02%,-0.49
2018-06-27,LAA,BOS,"L,6-9",1,0.2,0,0,0,0,0,0,0,5.24,2,10,7,1,0,2,0,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,.31,0.017,0.01%,1.61
2018-06-29,LAA,BAL,"W,7-1",1,1.0,0,0,0,0,1,0,0,5.01,3,15,9,2,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.011,0.00%,0.50
2018-07-01,LAA,BAL,"L,2-8",1,0.2,2,1,1,0,2,0,0,5.25,4,16,11,1,7,1,1,0,0,0,,2,2,0,0,0,4,1,0,0,0,0,0,.76,-0.105,-0.02%,-1.81
2018-07-04,LAA,SEA,"W,7-4",2,1.0,0,0,0,1,2,0,0,5.04,4,16,9,2,3,0,1,1,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,3.81,0.183,0.03%,1.46
2018-07-06,LAA,LAD,"W,3-2",1,1.1,0,0,0,0,2,0,0,4.78,4,13,11,5,1,1,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.86,0.088,0.01%,0.94
2018-07-08,LAA,LAD,"W,4-3",1,1.0,1,0,0,0,0,0,0,4.61,3,16,10,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.85,0.121,0.01%,0.50
2018-07-10,LAA,SEA,"W,9-3",1,1.0,0,0,0,0,1,0,0,4.45,3,11,7,2,1,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.46,0.039,0.01%,1.12
2018-07-11,LAA,SEA,"L,0-3",0,1.0,0,0,0,0,0,0,0,4.30,3,9,5,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.27,0.021,0.00%,0.50
2018-07-13,LAA,LAD,"L,2-3",1,1.0,1,0,0,0,1,0,0,4.15,4,19,14,0,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.95,0.086,0.01%,0.47
2018-07-14,LAA,LAD,"W,5-4",0,0.2,0,0,0,1,1,0,0,4.06,3,11,5,2,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,3.37,0.174,0.02%,0.51
2018-07-20,LAA,HOU,"L,1-3",5,1.0,1,0,0,2,1,0,0,3.94,5,27,13,3,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.48,0.017,0.00%,0.50
2018-07-23,LAA,CHW,"L,3-5",2,0.2,2,1,1,1,1,0,1,4.13,6,28,15,4,3,2,1,0,0,0,,2,2,1,0,0,3,0,0,0,0,1,0,2.84,-0.310,-0.02%,-2.28
2018-07-27,LAA,SEA,"W,4-3",3,0.1,1,0,0,1,1,0,0,4.09,3,12,6,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,3.16,-0.081,-0.01%,-0.41
2018-07-28,LAA,SEA,"W,11-5",0,1.0,1,0,0,0,1,0,0,3.97,4,11,8,1,3,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.003,0.00%,0.50
2018-07-29,LAA,SEA,"L,5-8",0,1.0,0,0,0,0,1,0,0,3.86,3,13,8,4,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.00%,0.50
2018-08-01,LAA,TBR,"L,2-7",2,1.0,2,3,3,1,1,1,0,4.50,6,26,15,5,2,1,3,1,1,0,,0,0,2,0,0,5,0,0,0,0,0,0,.23,-0.053,0.00%,-2.51
2018-08-04,LAA,CLE,"L,0-3",2,1.0,0,1,0,2,1,0,0,4.38,5,25,12,3,3,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.54,-0.041,0.00%,-0.47
2018-08-06,LAA,DET,"W,6-2",1,2.0,0,0,0,1,0,0,0,4.15,7,24,13,6,0,0,6,2,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.57,0.094,0.00%,1.00
2018-08-08,LAA,DET,"W,6-0",1,1.0,0,0,0,0,0,0,0,4.05,3,9,6,2,1,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.50
2018-08-11,LAA,OAK,"L,0-7",2,1.2,3,0,0,0,0,0,0,3.89,7,22,13,2,1,4,3,1,0,0,,2,1,0,0,0,7,0,0,0,1,0,0,.17,0.002,0.00%,0.69
2018-08-12,LAA,OAK,"L,7-8",0,1.1,4,1,1,0,3,0,0,3.98,8,29,18,6,2,1,4,2,0,0,,0,0,0,0,0,8,2,0,0,0,0,0,.30,-0.024,0.00%,-0.40
2018-08-14,LAA,SDP,"W,7-3",1,0.2,3,2,2,0,0,0,0,4.33,5,27,16,3,0,2,3,1,0,0,,0,0,0,0,0,4,0,1,0,0,1,0,1.09,-0.118,0.00%,-1.76
2018-08-26,LAA,HOU,"L,1-3",11,1.0,1,0,0,0,2,0,0,4.23,4,19,13,2,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.36,0.017,0.00%,0.50
2018-08-30,LAA,HOU,"W,5-2",3,1.0,0,0,0,0,0,0,0,4.14,3,11,7,3,0,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.035,0.00%,0.51
2018-09-01,LAA,HOU,"L,3-7",1,0.1,1,2,0,1,0,0,0,4.11,4,21,10,2,1,0,3,1,1,0,,2,2,0,0,0,3,1,0,0,0,0,1,1.20,-0.378,0.00%,-3.50
2018-09-04,LAA,TEX,"L,2-4",2,1.0,1,0,0,0,2,0,0,4.02,4,17,11,1,5,1,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.28,0.017,0.00%,0.56
2018-09-08,LAA,CHW,"W,12-3",3,1.0,1,0,0,1,1,0,0,3.94,5,28,18,4,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.13,0.055,0.00%,0.50
2018-09-11,LAA,TEX,"W,1-0",2,1.0,0,0,0,0,1,0,0,3.86,3,14,10,2,3,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.82,0.062,0.00%,0.50
2018-09-12,LAA,TEX,"W,8-1",0,1.0,0,0,0,0,0,0,0,3.78,3,7,5,0,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.50
