date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-06-24,KCR,HOU,"L,3-11",99,4.0,3,2,2,2,1,1,0,4.50,16,60,35,10,4,6,7,1,3,0,,0,0,0,0,0,14,1,0,0,1,0,0,.01,0.000,0.00%,0.02
2018-06-30,KCR,SEA,"L,4-6",5,2.0,1,0,0,0,2,0,0,3.00,7,23,11,2,3,3,2,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.30,0.035,0.00%,0.96
2018-07-04,KCR,CLE,"L,2-3",3,3.0,0,0,0,1,2,0,0,2.00,10,40,23,8,3,5,2,1,0,0,,0,0,1,0,0,9,0,0,0,0,0,0,.70,0.152,0.00%,1.53
2018-07-08,KCR,BOS,"L,4-7",3,4.1,8,4,3,3,0,0,0,3.38,22,73,39,9,3,10,9,5,1,0,30,,,0,0,0,18,0,0,0,3,1,1,1.47,-0.292,0.00%,-2.03
2018-07-13,KCR,CHW,"L,6-9",4,2.1,3,1,1,2,2,1,0,3.45,11,56,36,11,2,3,4,1,1,0,,3,0,0,0,0,9,0,0,0,1,0,0,.62,0.040,0.00%,0.77
2018-07-23,KCR,DET,"L,4-5",9,6.2,3,2,1,2,6,0,0,2.82,24,88,59,14,10,12,4,3,1,0,66,,,0,0,0,22,0,0,0,1,0,0,.80,0.321,0.00%,3.14
2018-07-28,KCR,NYY,"L,4-5",4,5.0,5,3,3,2,2,1,1,3.29,23,84,45,13,3,8,10,3,1,0,45,,,0,0,0,19,0,0,0,0,1,0,.95,-0.087,0.00%,-0.44
2018-08-03,KCR,MIN,"L,4-6",5,3.0,5,3,3,3,3,0,0,3.86,16,70,40,9,4,3,7,4,1,0,37,,,0,0,0,13,1,0,0,0,0,0,1.15,-0.148,0.00%,-1.45
2018-08-08,KCR,CHC,"W,9-0",4,7.0,3,0,0,2,3,0,0,3.13,25,98,62,17,7,6,14,7,2,0,72,,,0,0,0,23,0,0,0,0,0,0,1.18,0.408,0.00%,3.58
2018-08-14,KCR,TOR,"L,5-6",5,5.0,5,4,4,5,3,1,1,3.61,24,93,52,21,6,6,9,5,2,0,39,,,0,0,0,18,1,0,0,2,0,0,1.15,-0.170,0.00%,-1.44
