date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2016-04-12,ATL,WSN,"L,1-2",99,0.0,1,0,0,0,0,0,0,---,1,4,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.51,-0.056,-0.03%,-0.39
2016-04-13,ATL,WSN,"L,0-3",0,0.2,0,0,0,0,1,0,0,0.00,2,10,8,1,2,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.08,0.004,0.00%,0.27
2016-04-16,ATL,MIA,"W,6-4",2,1.0,0,0,0,1,2,0,0,0.00,4,21,13,4,4,0,1,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,2.30,0.128,0.05%,0.84
2016-04-17,ATL,MIA,"W,6-5",0,0.0,0,0,0,1,0,0,0,0.00,1,7,3,1,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,1.68,-0.048,-0.02%,-0.38
2016-04-19,ATL,LAD,"W,8-1",1,0.2,0,0,0,1,1,0,0,0.00,3,15,7,2,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.06,0.002,0.00%,0.26
2016-04-20,ATL,LAD,"L,3-5",0,1.0,0,0,0,1,0,0,0,0.00,4,18,11,2,4,0,3,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.84,0.087,0.04%,0.49
2016-04-24,ATL,NYM,"L,2-3",3,1.1,0,0,0,0,2,0,0,0.00,4,19,12,5,1,1,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.41,0.043,0.01%,0.71
2016-04-26,ATL,BOS,"L,4-11",1,0.1,0,0,0,0,0,0,0,0.00,1,6,4,0,1,0,1,0,1,0,,1,0,1,0,0,1,0,0,0,0,0,0,.31,0.008,0.00%,0.32
2016-04-27,ATL,BOS,"L,4-9",0,1.0,0,0,0,0,2,0,0,0.00,3,15,11,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.54
2016-04-28,ATL,BOS,"W,5-3",0,0.1,0,0,0,0,0,0,0,0.00,1,6,3,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.38,0.074,0.01%,0.63
2016-05-01,ATL,CHC,"W,4-3",2,0.1,0,0,0,0,0,0,0,0.00,1,4,3,1,0,1,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,2.59,0.060,0.01%,0.04
2016-05-04,ATL,NYM,"L,0-8",2,1.0,0,0,0,1,3,0,0,0.00,4,23,15,8,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.48
2016-05-06,ATL,ARI,"L,2-7",1,0.2,0,0,0,0,0,0,0,0.00,2,6,3,0,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.37,0.018,0.00%,0.26
2016-05-07,ATL,ARI,"L,2-4",0,1.0,0,0,0,1,1,0,0,0.00,3,17,8,0,2,0,1,1,0,0,,0,0,0,1,1,2,0,0,0,0,0,0,.86,0.054,0.01%,0.49
2016-05-12,ATL,PHI,"L,4-7",4,1.0,0,0,0,0,1,0,0,0.00,3,14,8,0,4,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.40,0.105,0.01%,0.49
2016-05-13,ATL,KCR,"L,1-5",0,0.1,2,3,3,1,0,0,0,2.53,4,13,5,2,0,1,2,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.56,-0.092,-0.01%,-1.69
2016-05-15,ATL,KCR,"L,2-4",1,0.1,1,0,0,0,1,0,0,2.45,2,6,5,3,0,0,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,.32,-0.004,0.00%,-0.10
2016-05-17,ATL,PIT,"L,9-12",1,1.1,3,0,0,0,2,0,0,2.19,7,28,19,3,4,3,2,2,0,0,,1,1,1,0,0,7,1,0,0,0,0,0,.23,-0.039,0.00%,-0.15
2016-05-20,ATL,PHI,"W,7-1",2,0.1,0,0,0,0,0,0,0,2.13,1,3,2,0,1,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.21,0.005,0.00%,0.10
2016-05-25,ATL,MIL,"L,2-3",4,0.1,0,0,0,0,1,0,0,2.08,1,6,6,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.28,0.084,0.00%,0.43
2016-05-26,ATL,MIL,"L,2-6",0,0.1,2,2,2,1,0,0,0,3.38,4,11,4,0,1,1,2,2,0,0,,0,0,0,0,0,2,1,1,1,0,0,0,.44,-0.062,0.00%,-2.45
2016-05-28,ATL,MIA,"W,7-2",1,0.1,0,0,0,0,0,0,0,3.29,1,8,5,1,1,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.14,0.032,0.00%,0.22
2016-05-30,ATL,SFG,"W,5-3",1,1.0,0,0,0,0,1,0,0,3.07,3,18,12,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.022,0.00%,0.49
2016-05-31,ATL,SFG,"L,0-4",0,0.0,0,1,1,1,0,0,0,3.68,1,4,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,1,0,0,0,1.13,-0.012,0.00%,-0.35
2016-06-01,ATL,SFG,"W,5-4",0,1.1,0,0,0,1,2,0,0,3.38,5,22,14,4,3,2,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.04,0.088,0.00%,0.80
