date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,SFG,LAD,"W,1-0",99,1.0,1,0,0,0,1,0,0,0.00,4,19,12,2,3,2,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,4.20,0.191,0.13%,0.47
2018-03-30,SFG,LAD,"W,1-0",0,1.0,0,0,0,0,2,0,0,0.00,3,15,10,6,0,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.56,0.191,0.13%,0.47
2018-04-04,SFG,SEA,"W,10-1",4,1.0,1,0,0,1,1,0,0,0.00,4,16,9,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.02,0.000,0.00%,0.45
2018-04-07,SFG,LAD,"W,7-5",2,1.0,0,0,0,0,0,0,0,0.00,4,19,13,2,2,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,2.29,0.127,0.08%,0.45
2018-04-08,SFG,LAD,"L,1-2",0,1.0,1,0,0,0,1,0,0,0.00,4,14,10,2,0,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.86,0.127,0.08%,0.45
2018-04-10,SFG,ARI,"W,5-4",1,1.0,1,1,1,0,0,1,0,1.50,4,13,9,5,0,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.84,-0.222,-0.15%,-0.55
2018-04-15,SFG,SDP,"L,1-10",4,1.0,0,0,0,0,1,0,0,1.29,3,13,9,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.45
2018-04-18,SFG,ARI,"W,4-3",2,1.0,2,1,1,1,1,0,0,2.25,6,25,16,4,1,1,3,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,4.20,-0.297,-0.15%,-0.49
2018-04-22,SFG,LAA,"W,4-2",3,1.0,2,0,0,0,1,0,0,2.00,5,23,14,4,2,0,4,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.14,0.091,0.04%,0.50
2018-04-23,SFG,WSN,"W,4-2",0,1.0,0,0,0,1,2,0,0,1.80,4,22,11,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.066,0.03%,0.45
2018-04-24,SFG,WSN,"W,4-3",0,1.0,0,0,0,0,1,0,0,1.64,3,8,6,1,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.04,0.151,0.08%,0.45
