date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,PIT,DET,"W,13-10",99,5.0,6,2,2,3,4,0,0,3.60,24,84,50,18,8,5,12,5,1,0,48,,,0,0,0,21,3,0,0,1,0,1,1.47,0.071,0.04%,0.64
2018-04-04,PIT,MIN,"L,3-7",4,5.1,5,5,5,1,3,1,0,6.10,22,81,50,14,3,9,9,4,1,0,40,,,0,0,0,20,3,0,0,0,1,0,1.15,-0.327,-0.21%,-1.87
2018-04-10,PIT,CHC,"W,8-5",5,7.0,7,3,3,0,6,2,1,5.19,28,102,66,12,17,10,11,4,0,0,57,,,0,0,0,27,1,0,0,0,0,0,.83,0.099,0.08%,0.52
2018-04-15,PIT,MIA,"W,7-3",4,6.2,6,3,3,0,9,1,1,4.88,27,106,71,15,13,9,8,4,1,0,59,,,0,0,0,26,1,0,0,0,0,0,1.02,0.145,0.10%,0.09
2018-04-20,PIT,PHI,"L,1-2",4,6.0,5,1,1,0,3,0,0,4.20,23,92,60,12,7,12,8,3,2,0,61,,,0,0,0,23,1,0,0,0,0,0,1.11,0.168,0.12%,1.96
2018-04-26,PIT,DET,"W,1-0",5,8.0,6,0,0,0,5,0,0,3.32,29,93,63,12,10,13,11,7,1,0,75,,,0,1,0,29,1,1,0,1,0,1,1.23,0.531,0.33%,3.71
2018-05-02,PIT,WSN,"L,3-9",5,4.2,11,8,5,2,5,2,0,4.01,28,94,59,16,9,11,10,6,1,0,19,,,2,0,0,25,1,0,1,0,0,1,.93,-0.411,-0.28%,-5.88
2018-05-08,PIT,CHW,"W,10-6",5,2.0,6,5,5,2,2,1,0,4.84,14,77,46,10,4,5,5,3,1,0,24,,,0,0,0,12,1,1,0,0,0,0,.84,-0.361,-0.24%,-4.00
2018-05-13,PIT,SFG,"L,0-5",4,5.2,8,4,4,0,2,1,0,5.01,24,81,55,10,8,9,14,8,0,0,39,,,0,0,0,24,2,0,0,1,0,0,1.10,-0.028,-0.02%,0.21
2018-05-18,PIT,SDP,"L,2-3",4,6.0,6,3,2,0,4,0,0,4.79,23,88,58,15,7,12,7,4,1,0,54,,,1,0,0,23,2,0,0,2,0,1,1.18,-0.088,-0.07%,-0.22
2018-05-24,PIT,CIN,"L,4-5",5,5.1,7,5,4,2,4,2,0,4.96,25,101,63,11,9,13,6,2,1,0,38,,,0,0,0,23,0,0,0,1,0,1,.84,-0.247,-0.17%,-2.95
2018-06-10,PIT,CHC,"W,7-1",16,5.2,4,1,1,2,8,0,0,4.68,23,94,63,15,13,10,3,2,1,0,63,,,0,0,0,21,1,0,0,2,0,2,1.10,0.295,0.12%,1.78
2018-06-16,PIT,CIN,"W,6-2",5,6.0,5,1,1,3,3,1,0,4.42,27,92,60,6,4,5,16,6,2,0,58,,,0,0,0,24,1,0,1,0,0,1,1.29,0.219,0.09%,1.79
2018-06-22,PIT,ARI,"L,1-2",5,8.0,3,0,0,0,8,0,0,3.98,27,90,60,19,8,10,9,4,2,0,84,,,0,0,0,26,1,0,0,0,0,0,1.14,0.531,0.21%,3.71
2018-06-27,PIT,NYM,"W,5-3",4,6.0,5,3,3,0,2,1,1,4.02,24,86,53,17,4,6,15,3,2,0,52,,,0,0,0,21,3,0,0,0,0,0,.73,-0.094,-0.03%,-0.34
2018-07-03,PIT,LAD,"L,3-8",5,5.0,9,7,7,2,3,5,1,4.48,25,90,53,11,7,5,14,4,0,0,22,,,0,1,0,22,1,2,0,0,0,0,.65,-0.372,-0.12%,-4.25
2018-07-09,PIT,WSN,"W,6-3",5,5.2,8,3,3,0,5,2,0,4.50,25,91,62,16,15,7,13,6,1,0,46,,,0,0,0,25,1,0,0,0,0,0,.60,0.017,0.00%,-0.52
2018-07-14,PIT,MIL,"W,2-1",4,4.2,7,1,1,0,3,0,0,4.38,20,83,57,14,6,13,4,3,0,0,49,,,0,0,0,20,1,0,0,0,0,0,1.18,0.042,0.01%,0.58
2018-07-22,PIT,CIN,"W,9-2",7,6.2,5,2,2,2,2,0,0,4.28,26,98,59,15,4,7,15,7,3,0,56,,,0,0,0,24,1,0,0,1,0,0,.21,0.105,0.05%,1.23
2018-07-27,PIT,NYM,"W,5-4",4,5.0,6,4,3,3,1,1,0,4.33,23,86,54,11,5,8,11,5,3,0,39,,,0,0,0,20,2,0,0,1,0,0,.86,-0.232,-0.11%,-1.65
2018-08-04,PIT,STL,"L,4-8",7,4.0,8,4,4,3,3,0,0,4.49,22,92,59,11,9,7,9,7,0,0,30,,,1,0,0,19,5,0,1,0,0,0,1.37,-0.272,-0.15%,-2.14
2018-08-09,PIT,SFG,"W,10-5",4,6.0,3,2,2,2,3,0,0,4.42,23,89,55,16,7,7,11,7,1,0,59,,,0,0,0,21,0,1,0,0,0,0,1.06,0.108,0.05%,0.70
2018-08-16,PIT,CHC,"L,0-1",6,6.2,7,1,1,0,3,1,0,4.26,27,97,66,17,8,12,12,4,1,0,59,,,0,0,0,27,0,0,0,0,0,0,.92,0.181,0.05%,1.94
2018-08-21,PIT,ATL,"L,1-6",4,6.0,4,2,2,0,4,1,0,4.20,22,78,51,11,10,8,10,6,0,0,60,,,0,0,0,22,0,0,0,0,0,0,.91,0.012,0.00%,0.79
2018-08-28,PIT,STL,"L,2-5",6,3.2,6,4,4,2,1,2,0,4.35,18,70,40,9,3,9,6,3,0,0,32,,,0,0,0,16,0,0,0,1,0,0,.66,-0.228,-0.01%,-2.87
2018-09-08,PIT,MIA,"W,5-1",10,6.0,3,0,0,1,9,0,0,4.17,23,90,59,13,11,5,8,4,0,0,74,,,0,0,0,22,0,0,0,0,0,1,.88,0.300,0.00%,2.79
2018-09-15,PIT,MIL,"W,3-1",6,6.0,4,1,1,1,4,1,0,4.07,22,76,53,16,5,8,9,0,1,0,63,,,0,0,0,21,0,0,0,1,0,0,.94,0.259,0.00%,1.96
2018-09-21,PIT,MIL,"L,3-8",5,4.1,3,1,1,2,2,0,0,4.01,17,46,27,8,3,6,7,3,1,0,53,,,0,0,0,15,1,0,1,1,0,0,1.08,0.074,0.00%,0.83
2018-09-26,PIT,CHC,"L,6-7",4,4.0,8,6,5,2,3,1,0,4.19,22,82,46,10,12,8,9,6,1,0,25,,,1,0,0,19,0,0,0,0,1,1,.81,-0.338,0.00%,-3.99
2019-04-01,CHW,CLE,"L,3-5",99,7.0,6,1,1,1,4,0,0,1.29,27,93,60,11,8,12,10,6,2,0,64,,,0,0,0,26,2,0,0,1,0,0,1.02,0.248,0.15%,3.02
2019-04-07,CHW,SEA,"L,5-12",5,2.1,7,7,7,1,2,0,0,7.71,16,73,48,11,6,6,6,5,0,0,16,,,3,0,0,14,1,0,0,0,0,0,1.29,-0.441,-0.24%,-6.10
2019-04-13,CHW,NYY,"L,0-4",5,6.0,4,1,1,1,5,0,0,5.28,22,93,64,16,12,9,7,5,1,0,64,,,0,0,0,21,0,0,0,1,0,0,1.03,0.311,0.14%,2.86
2019-04-18,CHW,DET,"L,7-9",4,6.1,11,6,6,0,3,0,1,6.23,29,88,60,14,10,10,15,8,3,0,30,,,1,0,0,28,4,0,0,1,0,0,1.14,-0.485,-0.26%,-2.05
2019-04-23,CHW,BAL,"L,1-9",4,4.0,11,9,9,3,4,4,0,8.42,25,88,54,12,7,7,11,7,0,0,5,,,0,0,0,22,1,0,0,1,0,0,.78,-0.293,-0.14%,-6.81
2019-05-01,CHW,BAL,"W,7-6",7,5.2,9,5,5,2,5,2,0,8.33,27,102,66,15,10,5,15,6,1,0,34,,,1,0,0,25,1,0,0,0,0,0,1.29,-0.307,-0.15%,-2.12
2019-05-06,CHW,CLE,"W,9-1",4,7.0,8,1,1,1,5,0,0,7.04,29,104,66,17,9,12,11,7,1,0,61,,,0,0,0,28,1,0,0,1,0,0,.84,0.222,0.12%,3.02
2019-05-11,CHW,TOR,"W,7-2",4,6.0,5,1,1,3,3,1,0,6.29,24,92,59,10,9,7,11,4,1,0,58,,,0,1,0,21,2,0,0,0,0,0,1.07,0.262,0.11%,1.82
2019-05-17,CHW,TOR,"L,2-10",5,3.0,8,9,8,4,1,3,0,7.42,21,88,52,9,5,6,10,5,0,0,6,,,0,0,0,16,2,0,0,0,1,0,.69,-0.405,-0.19%,-7.79
2019-05-22,CHW,HOU,"W,9-4",4,7.0,10,3,3,1,3,1,2,6.96,29,94,65,17,4,13,10,6,0,0,47,,,0,0,0,25,2,0,0,4,1,1,.93,-0.053,-0.02%,-0.04
2019-05-27,CHW,KCR,"W,2-1",4,5.0,6,1,1,0,2,0,0,6.52,19,59,44,16,1,12,5,3,0,0,53,,,0,0,0,19,1,0,0,1,0,0,1.02,0.147,0.04%,1.68
2019-06-01,CHW,CLE,"L,2-5",4,7.0,6,4,3,1,3,2,1,6.24,28,97,59,18,4,12,11,6,1,0,53,,,0,0,0,24,1,0,0,1,1,1,1.12,-0.108,-0.05%,-0.25
2019-06-07,CHW,KCR,"L,4-6",5,5.1,6,4,4,1,6,0,0,6.28,23,82,51,11,11,8,8,6,1,0,45,,,1,0,0,22,2,0,0,0,0,0,1.30,-0.092,-0.03%,-0.29
2019-06-13,CHW,NYY,"W,5-4",5,5.2,6,4,4,2,5,1,0,6.28,24,102,65,14,8,7,10,6,1,0,44,,,0,1,0,22,1,0,0,1,0,1,.84,-0.127,-0.05%,-1.03
2019-06-18,CHW,CHC,"W,3-1",4,5.0,4,1,1,2,1,1,0,6.01,20,70,40,10,3,8,9,3,1,0,54,,,0,0,0,18,0,0,0,1,0,0,.82,0.092,0.03%,1.31
2019-06-23,CHW,TEX,"L,4-7",4,6.0,8,5,3,1,6,2,0,5.91,26,101,62,16,10,7,12,4,1,0,45,,,1,1,0,23,2,0,0,0,1,1,.58,-0.206,-0.07%,-1.32
2019-06-29,CHW,MIN,"L,3-10",5,6.0,7,4,4,1,4,2,0,5.92,25,97,60,11,9,8,12,3,3,0,45,,,0,0,0,24,2,0,0,1,0,0,.73,-0.141,-0.04%,-0.79
2019-07-07,CHW,CHC,"W,3-1",7,5.2,5,0,0,1,4,0,0,5.58,23,95,61,12,13,9,9,6,1,0,62,,,0,0,0,22,3,0,0,0,0,0,1.01,0.289,0.05%,2.76
2019-07-12,CHW,OAK,"L,1-5",4,6.0,10,4,4,0,4,3,0,5.60,26,104,69,18,10,10,12,5,1,0,40,,,0,0,0,26,1,0,0,2,0,1,.54,-0.146,-0.03%,-0.85
2019-07-17,CHW,KCR,"L,5-7",4,4.2,6,6,6,5,2,0,0,5.86,23,84,49,9,10,9,7,3,0,0,25,,,1,1,0,18,1,0,0,0,0,0,.81,-0.176,-0.01%,-2.74
2019-07-22,CHW,MIA,"W,9-1",4,9.0,4,1,1,0,5,1,1,5.49,31,112,76,17,12,14,11,5,2,0,80,,,0,0,0,30,0,0,0,1,0,1,.44,0.185,0.01%,3.82
2019-07-27,CHW,MIN,"W,5-1",4,6.0,2,1,0,1,4,0,1,5.23,22,88,55,11,7,8,8,2,4,0,69,,,0,0,0,20,1,0,0,0,0,1,1.06,0.252,0.00%,2.22
2019-08-02,CHW,PHI,"W,4-3",5,5.0,5,2,1,2,4,1,0,5.10,21,78,48,18,9,7,8,5,0,0,53,,,1,0,0,19,1,0,1,1,0,0,1.20,0.047,0.00%,0.69
2019-08-07,CHW,DET,"W,8-1",4,8.0,5,0,0,3,1,0,0,4.80,30,107,66,18,8,16,10,6,0,0,70,,,0,0,0,27,0,0,0,3,0,0,.77,0.284,0.00%,4.51
2019-08-13,CHW,HOU,"W,4-1",5,9.0,4,1,0,0,3,0,1,4.51,31,104,69,19,5,10,17,7,7,0,80,,,0,0,0,30,0,0,0,1,0,0,.77,0.364,0.00%,3.82
2019-08-19,CHW,MIN,"W,6-4",5,5.1,10,2,2,1,2,0,0,4.47,25,103,69,13,7,7,15,8,2,0,41,,,0,0,0,24,3,0,0,2,0,0,1.08,-0.042,0.00%,-0.15
2019-08-24,CHW,TEX,"L,0-4",4,5.2,6,2,1,0,6,1,0,4.37,24,107,71,16,6,9,9,5,1,0,57,,,1,0,0,24,1,0,0,0,0,1,1.08,0.027,0.00%,0.88
2019-08-30,CHW,ATL,"L,7-10",5,4.0,8,5,4,2,0,1,1,4.48,22,79,45,4,4,7,12,6,2,0,26,,,0,0,0,19,2,0,0,1,0,0,.66,-0.249,0.00%,-2.78
2019-09-04,CHW,CLE,"L,6-8",4,4.1,11,6,6,2,1,1,0,4.69,25,73,41,8,6,10,12,7,1,0,16,,,0,0,0,23,3,0,0,1,0,0,1.09,-0.327,0.00%,-3.71
2019-09-10,CHW,KCR,"W,7-3",5,5.2,6,3,3,0,5,3,0,4.69,23,98,61,14,8,9,9,3,1,0,50,,,0,0,0,23,1,0,0,0,0,0,.85,0.044,0.00%,-0.03
2019-09-15,CHW,SEA,"L,10-11",4,3.1,10,5,5,1,3,0,0,4.86,20,71,46,15,5,4,12,9,0,0,22,,,0,0,0,19,1,0,0,1,0,0,1.09,-0.238,0.00%,-3.87
2019-09-18,CHW,MIN,"W,3-1",2,1.0,0,0,0,2,1,0,0,4.83,5,23,11,2,1,0,2,0,1,0,52,,,0,0,0,3,0,0,0,0,0,0,1.33,0.050,0.00%,0.55
2019-09-21,CHW,DET,"W,5-3",2,5.0,8,2,2,0,3,0,0,4.80,21,74,49,9,6,9,9,5,1,0,46,,,0,0,0,21,1,0,0,2,0,0,1.13,0.082,0.00%,0.82
2019-09-28,CHW,DET,"L,3-4",6,5.0,3,1,1,2,4,0,1,4.72,20,83,54,15,5,9,4,4,0,0,59,,,0,0,0,17,0,0,0,1,0,0,1.07,0.031,0.00%,0.83
2020-07-25,DET,CIN,"W,6-4",99,5.0,3,3,3,4,2,2,0,5.40,21,73,42,7,6,9,6,2,0,0,47,,,0,0,0,17,0,0,0,0,0,0,.66,-0.090,-0.06%,-0.28
2020-07-30,DET,KCR,"L,3-5",4,5.2,8,2,2,0,3,0,0,4.22,25,82,61,12,9,14,8,7,0,0,48,,,0,0,0,25,3,0,0,0,0,0,.99,0.085,0.06%,0.84
2020-08-08,DET,PIT,"W,11-5",8,5.0,6,5,5,3,3,0,0,5.74,24,76,48,13,9,8,10,6,0,0,35,,,0,0,0,21,1,0,0,0,0,0,1.11,-0.142,-0.10%,-2.46
2020-08-14,DET,CLE,"L,5-10",5,3.1,5,8,8,2,1,2,0,8.53,18,53,33,9,3,10,5,0,0,0,17,,,0,0,0,16,0,0,0,0,0,0,.99,-0.525,-0.44%,-5.32
2015-06-24,NYY,PHI,"W,10-2",99,6.2,3,0,0,2,1,0,0,0.00,26,92,51,13,7,8,15,3,3,0,67,,,0,0,0,24,1,0,0,0,0,1,.66,0.248,0.20%,2.94
2015-06-30,NYY,LAA,"L,1-2",5,5.1,8,2,2,2,7,2,0,1.50,25,85,57,17,12,11,5,1,0,0,49,,,0,1,0,22,1,0,0,0,0,0,1.44,-0.099,-0.09%,0.10
2015-07-05,NYY,TBR,"L,1-8",4,5.0,6,4,3,3,1,0,0,2.65,23,81,45,8,4,9,10,5,1,0,39,,,0,0,0,18,2,1,0,2,1,0,.68,-0.192,-0.21%,-1.55
2015-07-11,NYY,BOS,"L,3-5",5,6.2,8,4,4,0,3,1,0,3.42,27,86,57,16,5,14,10,6,2,0,45,,,1,0,0,27,2,0,0,1,0,0,.92,-0.049,-0.05%,0.32
2015-07-22,NYY,BAL,"W,4-3",10,6.0,3,2,2,3,3,1,0,3.34,23,94,57,13,3,11,6,2,1,0,58,,,1,0,0,19,1,0,0,0,0,0,1.24,0.155,0.18%,0.95
2015-07-27,NYY,TEX,"W,6-2",4,5.0,5,2,2,2,3,0,1,3.38,23,75,43,7,6,9,8,4,1,0,50,,,1,0,0,20,2,0,0,0,0,0,1.28,0.088,0.07%,0.56
2015-08-02,NYY,CHW,"W,12-3",5,6.0,5,1,1,2,7,0,0,3.10,23,90,59,18,12,10,4,2,1,0,63,,,1,1,1,21,0,0,0,1,0,0,.53,0.181,0.15%,1.80
2015-08-08,NYY,TOR,"L,0-6",5,5.1,4,4,4,2,6,1,1,3.52,23,102,61,18,7,10,4,1,0,0,48,,,0,0,0,20,0,0,0,0,0,0,1.24,-0.138,-0.16%,-1.31
2015-08-14,NYY,TOR,"W,4-3",5,7.0,5,3,3,1,3,0,2,3.57,29,105,66,19,4,16,7,3,0,0,57,,,0,0,0,25,2,0,0,0,1,0,.68,-0.090,-0.13%,0.51
2015-08-20,NYY,CLE,"L,2-3",5,5.0,6,3,3,2,4,0,0,3.72,22,94,60,16,7,4,12,7,2,0,45,,,0,0,0,20,1,0,0,1,0,0,.91,-0.097,-0.08%,-0.55
2015-08-25,NYY,HOU,"L,1-15",4,4.0,7,7,7,4,1,1,0,4.50,23,86,50,12,4,5,13,6,0,0,17,,,0,0,0,19,3,1,0,0,0,0,.50,-0.365,-0.35%,-5.04
