date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-04,SEA,SFG,"L,1-10",99,1.0,3,1,1,1,2,1,0,9.00,7,30,17,4,3,0,4,3,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,-0.002,0.00%,-0.55
2018-04-07,SEA,MIN,"W,11-4",2,1.0,2,1,1,0,2,0,0,9.00,5,24,16,4,3,3,0,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.02,0.001,0.00%,-0.48
2018-04-10,SEA,KCR,"W,8-3",2,1.0,0,0,0,0,1,0,1,6.00,4,11,6,2,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.31,0.015,0.01%,0.51
2018-04-15,SEA,OAK,"L,1-2",4,0.2,0,0,0,0,0,0,1,4.91,2,3,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,1.45,0.058,0.04%,0.51
2018-04-18,SEA,HOU,"L,1-7",2,1.2,1,0,0,0,2,0,0,3.38,6,21,16,5,2,1,3,1,0,0,,2,0,0,0,0,6,1,0,0,0,0,0,.07,0.009,0.01%,1.65
2018-04-22,SEA,TEX,"L,4-7",3,2.2,1,0,0,0,2,0,1,2.25,10,30,22,4,3,4,3,2,0,0,,1,0,0,0,0,9,0,0,0,0,0,0,.53,0.097,0.06%,1.64
2018-04-25,SEA,CHW,"W,4-3",2,1.0,0,0,0,0,1,0,0,2.00,3,10,7,1,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.108,0.06%,0.50
2018-04-28,SEA,CLE,"W,12-4",2,1.0,0,0,0,0,2,0,0,1.80,3,11,8,4,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.013,0.01%,0.53
2018-04-29,SEA,CLE,"W,10-4",0,0.2,1,0,0,0,1,0,0,1.69,3,15,10,1,2,1,1,1,0,0,,3,2,0,0,0,3,1,0,0,0,0,0,3.07,0.037,0.03%,-0.40
2018-05-03,SEA,OAK,"W,4-1",3,0.2,0,0,0,0,0,0,0,1.59,2,9,6,0,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.44,0.022,0.02%,0.25
2018-05-06,SEA,LAA,"L,2-8",2,1.0,1,0,0,0,1,0,1,1.46,5,24,13,2,4,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.003,0.00%,0.48
2018-05-10,SEA,TOR,"W,9-3",3,1.0,0,0,0,0,1,0,0,1.35,2,9,7,1,2,1,0,0,0,0,,3,1,0,0,0,2,0,0,0,1,0,0,.79,0.061,0.04%,1.34
2018-05-12,SEA,DET,"W,9-5",1,1.0,0,0,0,0,0,0,0,1.26,3,17,16,0,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.089,0.06%,0.53
2018-05-14,SEA,MIN,"W,1-0",1,1.0,1,0,0,0,0,0,0,1.17,4,14,9,1,1,2,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.86,0.089,0.06%,0.52
2018-05-15,SEA,TEX,"W,9-8",0,0.2,0,0,0,0,1,0,0,1.13,2,8,7,3,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.96,0.048,0.03%,0.25
2018-05-16,SEA,TEX,"L,1-5",0,0.1,2,1,1,0,1,0,0,1.65,3,6,6,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.65,-0.070,-0.05%,-0.41
2018-05-20,SEA,DET,"W,3-2",3,1.0,0,0,0,0,1,0,0,1.56,3,18,13,3,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.43,0.033,0.02%,0.48
2018-05-22,SEA,OAK,"W,3-2",1,1.0,1,0,0,0,1,0,0,1.47,4,16,9,3,1,1,2,1,0,0,,1,0,0,0,0,4,1,0,0,0,0,0,1.62,0.090,0.08%,0.50
2018-05-26,SEA,MIN,"W,4-3",3,0.1,2,0,0,0,0,0,0,1.45,2,5,4,1,1,1,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,3.08,-0.211,-0.16%,-0.78
2018-05-28,SEA,TEX,"W,2-1",1,0.1,0,0,0,0,0,0,0,1.42,1,2,2,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.61,0.045,0.03%,0.22
2018-05-29,SEA,TEX,"L,5-9",0,0.1,1,0,0,0,1,0,0,1.40,2,5,4,1,1,0,1,1,0,0,,3,3,0,0,0,2,0,0,0,0,0,0,2.51,-0.204,-0.16%,-1.20
2018-05-31,SEA,TEX,"W,6-1",1,1.0,2,0,0,0,1,0,0,1.33,4,20,12,4,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.60,0.030,0.02%,0.48
2018-06-02,SEA,TBR,"W,3-1",1,0.1,0,0,0,0,0,0,0,1.31,1,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.14,0.032,0.03%,0.22
2018-06-06,SEA,HOU,"L,5-7",3,1.0,1,0,0,0,0,0,0,1.25,3,10,7,0,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.85,0.048,0.05%,0.51
2018-06-10,SEA,TBR,"W,5-4",3,0.1,1,1,1,0,1,0,0,1.64,2,11,7,0,4,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.42,-0.010,-0.01%,-0.03
2018-06-11,SEA,LAA,"W,5-3",0,1.0,1,0,0,0,2,0,0,1.57,4,15,11,2,5,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.89,0.044,0.04%,0.48
2018-06-12,SEA,LAA,"W,6-3",0,0.1,0,0,0,0,0,0,0,1.54,1,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.29,0.064,0.06%,0.31
2018-06-14,SEA,BOS,"L,1-2",1,1.0,1,0,0,1,0,0,0,1.48,5,18,11,3,2,1,3,2,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.07,0.049,0.04%,0.48
2018-06-20,SEA,NYY,"L,5-7",5,0.2,2,1,1,0,1,0,0,1.80,4,17,11,2,2,0,3,2,0,0,,0,0,0,0,0,3,1,0,0,0,1,0,1.72,-0.049,-0.04%,-0.72
2018-06-22,SEA,BOS,"L,10-14",1,1.0,0,1,1,1,0,0,0,2.08,4,22,11,2,0,0,3,0,1,0,,2,0,0,0,0,3,0,0,0,0,0,0,.73,0.059,0.05%,0.74
2018-06-25,SEA,BAL,"W,5-3",2,1.0,0,0,0,0,0,0,0,2.00,3,7,5,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.07,0.082,0.06%,0.50
2018-06-27,SEA,BAL,"W,8-7",1,0.1,0,0,0,0,0,0,0,1.98,1,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.75,0.019,0.01%,0.10
2018-06-28,SEA,BAL,"W,4-2",0,1.0,0,0,0,1,1,0,0,1.91,4,23,15,4,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.94,0.138,0.10%,0.50
2018-06-30,SEA,KCR,"W,6-4",1,1.0,1,0,0,0,1,0,0,1.84,4,9,8,2,0,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.85,0.046,0.03%,0.48
2018-07-05,SEA,LAA,"W,4-1",4,1.0,0,0,0,1,0,0,0,1.78,4,19,9,3,2,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.13,0.094,0.07%,0.48
2018-07-08,SEA,COL,"W,6-4",2,1.0,0,0,0,0,0,0,0,1.72,3,15,11,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.91,0.068,0.05%,0.48
2018-07-13,SEA,COL,"L,7-10",4,0.2,4,3,3,0,1,0,0,2.53,6,15,12,2,2,4,1,0,0,0,,1,1,1,0,0,6,0,0,0,0,0,0,1.12,-0.242,-0.19%,-3.42
2018-07-21,SEA,CHW,"L,0-5",7,1.0,0,0,0,0,2,0,0,2.45,3,12,9,4,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.011,0.01%,0.48
2018-07-22,SEA,CHW,"W,8-2",0,0.1,0,0,0,0,0,0,0,2.43,1,4,3,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.27,0.051,0.04%,0.46
2018-07-24,SEA,SFG,"L,3-4",1,0.1,1,0,0,0,0,0,0,2.41,2,7,5,1,2,1,1,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,.91,0.012,0.01%,0.10
2018-07-31,SEA,HOU,"L,2-5",6,0.1,1,0,0,1,0,0,0,2.38,3,12,4,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.97,-0.038,-0.05%,-0.41
2018-08-01,SEA,HOU,"L,3-8",0,1.0,1,0,0,0,2,0,0,2.31,4,17,13,1,2,1,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.004,0.00%,0.48
2018-08-02,SEA,TOR,"L,3-7",0,1.0,2,3,0,0,0,1,0,2.25,6,12,10,2,0,3,3,2,1,0,,0,0,0,0,0,6,1,0,0,1,0,1,.50,-0.141,-0.11%,-2.52
2018-08-04,SEA,TOR,"L,1-5",1,1.0,2,1,1,0,0,0,0,2.43,5,21,12,2,0,2,3,2,1,0,,0,0,0,0,0,5,2,0,0,0,0,0,.13,-0.014,-0.01%,-0.52
