date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,CIN,WSN,"L,0-2",99,1.0,1,1,1,0,1,0,0,9.00,4,16,11,3,2,2,1,0,0,0,,0,0,1,0,0,3,0,0,0,0,1,0,.75,-0.071,-0.04%,-0.51
2018-03-31,CIN,WSN,"L,7-13",0,0.1,0,0,0,0,0,0,0,6.75,1,1,1,0,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,0.00%,0.10
2018-04-02,CIN,CHC,"W,1-0",1,1.0,0,0,0,1,0,0,0,3.86,3,17,9,2,3,2,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,1.52,0.095,0.05%,0.49
2018-04-06,CIN,PIT,"L,3-14",3,1.0,0,0,0,1,2,0,1,2.70,5,19,11,4,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.46
2018-04-09,CIN,PHI,"L,5-6",2,1.0,1,0,0,1,0,0,0,2.08,5,25,14,4,1,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.91,0.075,0.03%,0.49
2018-04-10,CIN,PHI,"L,1-6",0,1.0,2,1,1,0,2,0,0,3.38,5,20,13,6,1,2,1,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.78,-0.163,-0.07%,-0.51
2018-04-11,CIN,PHI,"L,3-4",0,0.1,0,0,0,0,1,0,0,3.18,1,7,6,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.36,0.111,0.04%,0.43
2018-04-13,CIN,STL,"L,3-5",1,1.0,0,0,0,0,2,0,0,2.70,3,16,11,3,1,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,0.01%,0.49
2018-04-15,CIN,STL,"L,2-3",1,0.1,0,0,0,0,0,0,0,2.57,1,4,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.16,0.004,0.00%,0.10
2018-04-18,CIN,MIL,"L,0-2",2,1.0,1,0,0,0,0,0,0,2.25,4,13,9,1,3,2,2,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.26,0.014,0.00%,0.49
2018-04-21,CIN,STL,"L,3-4",2,1.0,1,1,1,0,1,1,0,3.00,4,18,12,0,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.88,-0.172,-0.03%,-0.53
2018-04-22,CIN,STL,"L,2-9",0,1.0,1,0,0,1,0,0,0,2.70,5,21,10,2,2,1,3,1,0,0,,1,1,0,0,0,3,0,0,0,0,1,0,.01,0.000,0.00%,0.08
2018-04-24,CIN,ATL,"W,9-7",1,2.2,2,0,0,0,2,0,1,2.13,11,42,24,3,7,4,4,2,1,0,,1,0,0,0,0,10,0,0,0,0,0,0,2.55,0.408,0.06%,1.51
2018-04-27,CIN,MIN,"W,15-9",2,2.0,0,0,0,1,2,0,0,1.84,6,23,12,4,4,3,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.89,0.110,0.01%,1.03
2018-04-30,CIN,MIL,"L,5-6",2,1.1,2,0,0,0,0,0,0,1.69,6,15,9,1,0,4,2,2,0,0,,2,2,1,0,0,6,1,0,0,0,0,0,1.44,-0.288,-0.04%,-1.01
2018-05-02,CIN,MIL,"L,1-3",1,1.0,3,1,1,0,1,0,0,2.12,6,21,15,4,4,3,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.06,-0.101,-0.01%,-0.89
2018-05-04,CIN,MIA,"W,4-1",1,2.0,1,0,0,0,2,0,0,1.89,6,29,18,6,3,4,0,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.76,0.088,0.01%,0.99
2018-05-07,CIN,NYM,"L,6-7",2,2.0,0,0,0,0,4,0,0,1.71,6,25,16,5,6,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.41,0.062,0.00%,0.99
2018-05-09,CIN,NYM,"W,2-1",1,1.0,0,0,0,0,0,0,0,1.64,3,10,7,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.087,0.01%,0.49
2018-05-12,CIN,LAD,"W,5-3",2,1.2,0,0,0,0,0,0,0,1.52,4,15,8,2,2,2,2,2,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.87,0.257,0.02%,1.36
2018-05-16,CIN,SFG,"W,6-3",3,2.0,2,0,0,0,2,0,0,1.40,7,25,18,5,5,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,1.05,0.092,0.01%,0.90
2018-05-20,CIN,CHC,"L,1-6",3,1.0,2,0,0,1,0,0,0,1.35,5,9,8,1,0,2,2,2,0,0,,0,0,0,0,0,4,1,0,1,1,0,0,.05,0.001,0.00%,0.49
2018-05-22,CIN,PIT,"W,7-2",1,1.0,0,0,0,0,0,0,0,1.30,2,6,3,0,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,.19,0.013,0.00%,0.88
2018-05-23,CIN,PIT,"L,4-5",0,1.0,1,0,0,0,0,0,0,1.26,4,18,12,0,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.93,0.136,0.01%,0.49
2018-05-24,CIN,PIT,"W,5-4",0,0.2,0,0,0,0,0,0,0,1.23,2,4,2,0,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.75,0.088,0.01%,0.26
2018-05-26,CIN,COL,"W,6-5",1,1.0,2,0,0,1,0,0,0,1.19,5,11,6,0,0,2,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,5.43,0.222,0.01%,0.57
