date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,MIA,CHC,"W,2-1",99,6.0,1,0,0,2,6,0,0,0.00,20,67,43,10,8,6,6,2,0,0,,0,0,0,0,0,18,0,0,1,1,0,0,2.36,0.768,0.43%,2.73
2018-04-05,MIA,PHI,"L,0-5",5,4.0,4,2,2,2,2,1,0,1.80,18,73,47,14,6,8,6,2,0,0,,0,0,2,1,0,16,0,1,1,0,0,1,.34,0.020,0.01%,-0.03
2018-04-11,MIA,NYM,"L,1-4",5,6.0,0,0,0,2,3,0,0,1.13,19,77,44,13,6,9,5,1,1,0,73,,,0,1,0,17,0,0,0,1,0,1,1.04,0.356,0.16%,2.73
2018-04-17,MIA,NYY,"W,9-1",5,5.0,1,0,0,5,2,0,0,0.86,20,92,48,19,6,6,7,1,2,0,62,,,0,0,0,15,1,0,0,1,0,0,.80,0.176,0.05%,2.56
2018-04-23,MIA,LAD,"L,1-2",5,6.0,4,1,1,1,7,1,0,1.00,23,92,61,23,11,3,12,5,0,0,66,,,0,0,0,22,1,0,0,0,0,0,.91,0.153,0.03%,1.84
2018-05-01,MIA,PHI,"W,2-1",7,6.0,5,1,1,1,3,0,0,1.09,24,80,50,15,5,7,13,7,2,0,60,,,0,0,0,22,1,0,0,0,0,0,1.20,0.155,0.05%,1.73
2018-05-07,MIA,CHC,"L,2-14",5,4.0,6,7,7,2,3,3,0,2.68,20,83,53,15,6,6,9,3,1,0,23,,,0,0,0,18,0,0,0,0,0,0,.56,-0.305,-0.10%,-4.99
2018-05-12,MIA,ATL,"L,5-10",4,6.0,7,5,4,2,4,3,0,3.14,26,84,54,16,6,7,13,5,2,0,42,,,1,0,0,24,0,0,0,1,0,0,.87,-0.321,-0.07%,-2.28
2018-05-19,MIA,ATL,"L,1-8",6,2.0,4,4,4,2,0,2,0,3.80,11,42,21,5,2,3,6,3,0,0,,0,0,0,0,0,9,1,0,0,1,0,0,.07,-0.043,-0.01%,-3.03
2018-05-27,MIA,WSN,"L,2-5",7,2.0,4,3,3,2,0,1,0,4.21,12,39,28,6,3,3,7,4,2,0,,0,0,0,0,0,9,2,0,1,0,1,0,.41,-0.123,-0.01%,-2.09
2018-05-29,MIA,SDP,"L,5-9",1,1.0,1,0,0,0,1,0,0,4.13,4,11,10,0,2,2,1,1,0,0,,3,3,0,0,0,4,0,0,0,1,0,1,.13,-0.015,0.00%,-0.73
2018-06-01,MIA,ARI,"L,1-9",2,3.0,4,3,3,0,1,2,0,4.41,13,41,31,12,4,7,5,1,2,0,,0,0,0,0,0,13,0,0,0,0,0,0,.11,-0.021,0.00%,-1.48
2018-08-04,MIA,PHI,"L,3-8",63,2.0,3,2,2,0,3,1,0,4.58,9,40,26,6,2,3,3,1,1,0,,0,0,1,0,0,9,0,0,0,0,0,0,.04,-0.016,0.00%,-1.01
2018-08-08,MIA,STL,"L,1-7",3,1.1,1,0,0,0,1,0,0,4.47,5,21,12,1,4,2,2,0,2,0,,1,0,0,0,0,5,0,0,0,0,0,0,.61,0.055,0.00%,0.76
2018-08-10,MIA,NYM,"L,2-6",1,1.0,0,0,0,0,0,0,0,4.39,3,10,5,2,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,0.00%,0.45
