date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-07-31,TEX,ARI,"L,0-6",99,2.0,1,1,1,2,3,0,0,4.50,9,33,19,6,4,3,1,1,0,0,,0,0,0,0,0,6,0,0,1,0,0,0,.13,-0.008,0.00%,0.02
2018-08-05,TEX,BAL,"L,6-9",4,2.0,1,0,0,0,1,0,0,2.25,6,18,11,3,1,3,2,0,1,0,,0,0,0,0,0,6,0,0,0,1,0,0,.14,0.020,0.00%,1.13
2018-08-07,TEX,SEA,"W,11-4",1,2.0,1,0,0,1,1,0,0,1.50,8,33,19,7,3,5,1,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.04,0.005,0.00%,1.13
2018-08-11,TEX,NYY,"L,3-5",3,1.0,1,0,0,0,1,0,0,1.29,4,20,9,3,2,0,3,3,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.03,-0.018,0.00%,-0.07
2018-08-14,TEX,ARI,"L,4-6",2,2.2,2,1,1,2,2,1,0,1.86,11,49,31,6,1,3,4,0,1,0,,2,0,1,0,0,9,0,0,0,1,0,0,.49,0.032,0.00%,1.10
2018-08-17,TEX,LAA,"W,6-4",2,1.0,2,2,2,2,0,1,0,3.38,7,23,11,3,1,1,4,1,2,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.27,-0.186,0.00%,-1.84
2018-08-20,TEX,OAK,"L,0-9",2,2.0,3,1,1,2,3,1,0,3.55,11,51,31,8,7,1,5,3,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.02,0.000,0.00%,-0.01
2018-08-24,TEX,SFG,"W,7-6",3,2.0,3,0,0,0,3,0,0,3.07,9,37,25,6,8,1,5,4,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.29,0.018,0.00%,0.90
2018-08-28,TEX,LAD,"L,4-8",3,2.0,2,0,0,0,3,0,0,2.70,8,34,24,10,2,2,3,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.02,0.003,0.00%,1.13
2018-09-01,TEX,MIN,"W,7-4",3,1.0,0,0,0,0,1,0,0,2.55,3,7,6,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.66,0.053,0.00%,0.56
