date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-04-10,NYY,HOU,"L,6-8",99,2.0,1,0,0,1,3,0,0,0.00,7,29,17,8,3,3,0,0,0,0,,2,0,0,0,0,6,0,0,0,1,0,0,.14,0.017,0.01%,1.36
2019-04-14,NYY,CHW,"L,2-5",3,1.0,1,0,0,0,2,0,0,0.00,4,23,12,4,2,0,2,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.32,0.018,0.01%,0.54
2019-04-16,NYY,BOS,"W,8-0",1,1.0,1,0,0,0,0,0,0,0.00,4,14,10,3,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,0.00%,0.54
2019-04-18,NYY,KCR,"L,1-6",1,1.0,0,1,1,1,1,0,0,1.80,4,23,13,2,4,0,2,1,0,0,,0,0,1,0,0,2,0,0,0,0,1,0,.05,-0.007,0.00%,-0.46
2019-04-25,NYY,LAA,"L,5-11",6,0.2,2,3,3,2,0,0,0,6.35,6,30,16,7,2,2,2,1,0,0,,2,2,1,0,0,4,0,1,0,0,0,0,.37,-0.080,-0.05%,-3.77
2019-04-28,NYY,SFG,"W,11-5",2,1.0,1,1,1,1,2,1,0,6.75,5,25,13,4,3,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.001,0.00%,-0.50
2019-05-04,NYY,MIN,"L,3-7",5,0.2,2,1,0,0,0,0,0,6.14,5,15,9,1,0,1,4,2,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,.35,-0.009,-0.01%,-0.44
2019-05-07,NYY,SEA,"W,5-4",2,1.0,2,0,0,0,1,0,0,5.40,5,26,17,2,6,3,1,0,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.53,0.020,0.02%,0.54
2019-05-28,NYY,SDP,"L,4-5",20,1.2,1,0,0,2,2,0,1,4.50,8,25,13,5,2,2,1,1,0,0,,0,0,0,0,0,5,1,0,0,1,0,0,1.03,-0.003,0.00%,0.28
2019-09-07,COL,SDP,"L,0-3",99,1.0,1,0,0,0,1,0,0,4.09,4,20,13,4,1,3,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.10,0.007,0.00%,0.50
2019-09-12,COL,STL,"L,3-10",4,1.0,0,0,0,0,2,0,0,3.75,3,15,10,2,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.44,0.036,0.00%,0.62
2019-09-14,COL,SDP,"W,11-10",1,0.2,0,0,0,0,0,0,1,3.55,3,16,9,2,3,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.75,0.024,0.00%,0.63
2019-09-15,COL,SDP,"W,10-5",0,1.0,1,2,2,1,0,1,0,4.61,5,13,8,2,1,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.002,0.00%,-1.38
2019-09-18,COL,NYM,"L,4-7",2,1.0,1,0,0,1,0,0,0,4.30,4,15,9,3,0,1,2,2,0,0,,3,3,0,0,0,3,0,0,0,1,0,0,1.19,-0.120,0.00%,-0.53
2019-09-22,COL,LAD,"L,4-7",3,0.2,1,1,1,1,0,1,0,4.70,4,18,10,0,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,-0.014,0.00%,-0.73
2019-09-24,COL,SFG,"W,8-5",1,1.1,0,0,0,0,2,0,0,4.32,3,16,10,0,4,0,1,1,0,0,,1,0,0,1,0,3,0,0,0,0,0,0,1.93,0.200,0.00%,0.73
2019-09-27,COL,MIL,"W,11-7",2,0.1,2,2,2,3,0,0,0,5.29,6,26,12,2,3,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,-0.017,0.00%,-3.08
2019-09-29,COL,MIL,"W,4-3",1,1.0,1,0,0,0,1,0,0,5.00,4,12,10,5,0,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.74,0.040,0.00%,0.62
