date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-09,CHW,KCR,"L,1-4",99,5.2,7,4,4,1,1,1,0,6.35,25,75,55,10,7,7,16,5,2,0,39,,,0,0,0,22,3,1,0,0,0,0,1.03,-0.074,-0.04%,-1.07
2015-04-15,CHW,CLE,"L,2-4",5,4.2,6,4,4,2,3,0,0,6.97,22,87,58,16,5,9,8,6,0,0,37,,,1,0,0,18,2,0,0,1,0,0,.88,-0.155,-0.09%,-1.63
2015-04-20,CHW,CLE,"W,4-3",4,6.0,6,3,3,2,4,2,0,6.06,26,90,57,18,7,7,13,3,1,0,50,,,0,0,0,24,2,0,0,0,0,0,.63,-0.091,-0.05%,-0.20
2015-04-26,CHW,KCR,"W,5-3",5,6.0,5,3,3,1,8,1,1,5.64,24,100,69,19,8,4,10,4,1,0,57,,,0,0,0,22,2,0,0,0,0,0,.73,-0.102,-0.06%,-0.20
2015-05-03,CHW,MIN,"L,3-13",6,2.1,8,7,3,0,3,1,1,6.20,18,68,47,12,6,6,8,5,1,0,24,,,0,0,0,17,0,0,0,0,0,2,1.21,-0.319,-0.13%,-5.71
2015-05-10,CHW,CIN,"W,4-3",6,7.0,6,1,1,3,4,0,0,5.12,28,118,76,18,8,7,14,3,4,0,62,,,0,1,0,25,0,1,0,1,0,0,1.13,0.300,0.11%,2.27
2015-05-16,CHW,OAK,"W,4-3",5,7.0,3,2,2,3,6,1,0,4.66,27,106,69,24,9,7,11,3,2,0,66,,,0,0,0,24,1,0,0,0,0,0,.92,0.200,0.09%,1.30
2015-05-21,CHW,CLE,"L,2-5",4,5.1,6,5,5,4,3,2,0,5.11,25,102,55,18,10,7,11,2,1,0,35,,,0,0,0,21,1,0,0,1,0,0,.48,-0.325,-0.16%,-3.08
2015-05-26,CHW,TOR,"L,9-10",4,5.0,7,6,6,1,5,1,0,5.69,23,99,67,17,9,4,13,5,2,0,33,,,0,0,0,22,5,0,0,0,0,0,1.15,-0.525,-0.19%,-3.50
2015-05-31,CHW,HOU,"W,6-0",4,9.0,10,0,0,1,6,0,0,4.81,33,118,82,13,17,14,12,6,1,0,72,,,0,0,0,32,4,1,0,3,0,0,.55,0.251,0.10%,4.25
2015-06-06,CHW,DET,"L,1-7",5,4.2,11,5,5,2,3,1,0,5.17,27,91,64,16,8,12,10,7,0,0,23,,,1,0,0,25,1,0,0,0,0,0,1.19,-0.344,-0.17%,-3.09
2015-06-12,CHW,TBR,"L,5-7",5,5.1,8,5,4,1,3,0,0,5.29,26,94,70,17,8,10,12,4,3,0,36,,,0,0,0,22,1,0,0,0,1,1,1.15,-0.247,-0.12%,-1.57
2015-06-17,CHW,PIT,"L,2-3",4,7.0,5,3,3,0,4,1,0,5.16,26,94,68,19,7,8,14,10,3,0,59,,,0,0,0,25,1,0,0,0,0,0,.53,-0.071,-0.02%,0.27
2015-06-22,CHW,MIN,"L,2-13",4,5.1,9,9,5,1,2,3,0,5.38,26,97,62,13,5,9,14,6,0,0,23,,,1,0,1,24,2,0,0,0,1,1,.78,-0.467,-0.12%,-6.34
2015-07-03,CHW,BAL,"W,1-0",10,7.0,5,0,0,2,5,0,0,4.95,27,96,66,14,15,8,12,4,2,0,70,,,0,0,0,25,0,0,0,2,0,1,1.59,0.449,0.12%,3.27
2015-07-08,CHW,TOR,"W,7-6",4,4.1,8,6,6,1,4,0,0,5.30,21,94,58,15,7,6,10,6,1,0,26,,,0,0,0,19,3,0,0,1,1,0,1.27,-0.517,-0.13%,-4.32
2015-07-17,CHW,KCR,"W,2-0",8,6.0,4,0,0,4,4,0,0,4.98,25,96,62,18,7,4,13,4,4,0,64,,,0,1,1,21,0,0,0,0,0,0,1.27,0.299,0.10%,2.42
2015-07-22,CHW,STL,"L,2-3",4,6.2,5,0,0,0,5,0,0,4.66,25,91,61,12,9,3,17,7,4,0,69,,,0,0,0,25,1,0,0,0,0,0,1.05,0.380,0.07%,3.05
2015-07-27,CHW,BOS,"W,10-8",4,4.1,9,7,6,1,2,1,0,4.97,24,78,56,18,5,12,9,2,0,0,20,,,0,0,0,23,3,0,0,0,0,1,1.37,-0.435,-0.14%,-4.09
2015-08-01,CHW,NYY,"W,8-2",4,5.2,3,1,1,4,8,0,0,4.80,24,108,63,22,11,6,6,2,2,0,63,,,0,0,0,19,1,0,0,0,1,0,.96,0.177,0.07%,1.32
2015-08-07,CHW,KCR,"L,2-3",5,6.0,5,3,3,3,6,0,0,4.79,25,90,57,12,9,3,13,4,4,0,53,,,0,0,0,22,2,1,0,1,0,0,.99,-0.122,-0.04%,0.04
2015-08-12,CHW,LAA,"W,3-2",4,7.1,5,1,1,3,2,0,0,4.58,29,103,67,16,8,11,13,7,3,0,63,,,1,0,0,26,1,0,0,0,0,0,1.40,0.329,0.08%,2.49
2015-08-18,CHW,LAA,"L,3-5",5,7.0,5,5,4,1,3,2,1,4.61,29,109,69,17,12,17,7,2,2,0,51,,,0,0,0,27,2,0,0,0,0,1,.46,-0.236,-0.04%,-1.80
2015-08-23,CHW,SEA,"L,6-8",4,5.0,8,7,7,3,4,1,0,4.90,24,82,51,17,8,6,11,10,0,0,24,,,1,0,0,20,2,0,0,0,0,0,.78,-0.398,-0.07%,-5.06
2015-08-28,CHW,SEA,"L,0-2",4,6.0,7,2,2,0,5,2,0,4.82,24,95,62,15,9,7,12,6,2,0,55,,,0,0,0,24,1,0,0,1,0,1,1.21,0.014,0.00%,0.80
2015-09-04,CHW,KCR,"W,12-1",6,9.0,7,1,1,1,5,0,0,4.60,33,121,82,26,9,15,12,6,0,0,73,,,0,0,0,31,1,0,0,1,1,0,.36,0.194,0.00%,3.56
2015-09-14,CHW,OAK,"W,8-7",9,7.0,3,3,3,3,6,3,0,4.56,26,99,61,22,15,4,13,4,2,0,62,,,0,0,0,23,0,0,0,1,0,0,.56,0.031,0.00%,0.27
2015-09-20,CHW,CLE,"L,3-6",5,5.0,7,3,3,2,3,1,0,4.59,24,110,68,12,12,8,11,6,2,0,42,,,0,0,0,22,1,0,0,0,0,0,.69,-0.120,0.00%,-0.39
2015-09-26,CHW,NYY,"L,1-2",5,6.0,6,2,2,3,5,0,0,4.53,25,115,69,18,13,2,14,4,5,1,54,,,2,1,0,22,2,0,1,1,0,0,1.38,-0.006,0.00%,0.95
2015-10-01,CHW,KCR,"L,4-6",4,5.0,11,6,6,3,2,0,0,4.71,27,92,50,14,2,10,12,8,0,0,20,,,0,0,0,23,2,1,0,1,1,0,1.04,-0.341,0.00%,-3.67
2016-04-08,CHW,CLE,"L,1-7",99,5.0,8,7,5,1,6,0,0,9.00,25,105,66,20,7,5,13,6,1,0,32,,,0,0,0,22,2,1,0,0,2,0,.59,-0.369,-0.27%,-4.56
2016-04-16,CHW,TBR,"L,2-7",7,6.1,6,5,5,3,4,2,0,7.94,26,86,50,18,9,8,11,2,2,0,42,,,0,0,0,23,0,0,0,1,0,0,.70,-0.171,-0.11%,-1.13
2016-04-21,CHW,LAA,"L,2-3",4,6.0,5,2,2,5,2,1,0,6.23,25,100,55,16,4,5,13,6,3,0,51,,,1,0,0,20,0,0,0,3,0,0,1.11,0.027,0.02%,0.93
2016-04-28,CHW,BAL,"L,2-10",6,5.0,9,6,6,2,4,2,0,7.25,24,96,56,15,11,5,13,8,1,0,27,,,0,0,0,22,3,0,0,0,0,0,.79,-0.341,-0.25%,-3.04
