date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-08-09,DET,KCR,"W,5-2",99,0.2,3,1,1,0,0,1,0,13.50,5,16,9,2,1,2,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.63,-0.019,0.00%,-0.91
2019-08-10,DET,KCR,"L,0-7",0,1.0,1,2,2,2,2,0,0,16.20,6,25,12,5,4,1,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.03,-0.006,0.00%,-1.44
2019-09-01,DET,MIN,"L,3-8",21,1.2,3,2,2,0,2,0,1,13.50,9,34,23,7,2,2,4,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.33,-0.043,0.00%,-1.34
2019-09-04,DET,KCR,"L,4-5",2,0.2,1,0,0,1,1,0,0,11.25,4,16,7,2,2,0,2,1,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,.60,-0.001,0.00%,-0.16
2019-09-06,DET,OAK,"W,5-4",1,0.2,0,0,0,0,1,0,0,9.64,2,7,6,1,3,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.64,0.138,0.00%,0.55
2019-09-10,DET,NYY,"W,12-11",3,0.2,2,2,2,0,1,1,0,11.81,4,21,14,5,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.02,-0.232,0.00%,-1.56
2019-09-12,DET,NYY,"L,4-6",1,1.0,1,0,0,0,0,0,0,9.95,3,16,10,3,3,1,2,1,0,0,,1,0,0,0,0,3,0,0,0,1,0,0,.18,0.008,0.00%,0.96
2019-09-14,DET,BAL,"W,8-4",1,0.1,0,0,0,0,0,0,0,9.45,1,3,3,1,1,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.39,0.037,0.00%,0.47
2019-09-17,DET,CLE,"L,2-7",2,2.1,0,0,0,1,4,0,0,7.00,8,36,23,9,4,0,3,1,0,0,,3,1,0,0,0,7,0,0,0,0,0,0,.33,0.011,0.00%,0.97
2019-09-20,DET,CHW,"L,1-10",2,1.0,2,0,0,0,1,0,0,6.30,5,24,13,4,3,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.04,0.002,0.00%,0.56
2019-09-22,DET,CHW,"W,6-3",1,1.2,1,0,0,0,3,0,0,5.40,6,24,18,5,4,2,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.36,0.112,0.00%,0.87
2019-09-25,DET,MIN,"L,1-5",2,0.1,2,2,2,0,1,1,0,6.75,3,12,10,1,1,1,1,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.82,-0.161,0.00%,-2.13
2019-09-29,DET,CHW,"L,3-5",3,1.0,0,0,0,0,3,0,0,6.23,3,17,12,3,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.014,0.00%,0.54
