date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,COL,ARI,"L,2-8",99,4.0,6,3,3,3,4,0,0,6.75,21,86,49,18,9,8,6,3,0,0,39,,,0,0,0,18,1,0,0,0,0,0,.98,-0.242,-0.15%,-2.81
2018-04-04,COL,SDP,"W,5-2",5,7.0,4,0,0,0,7,0,1,2.45,26,93,63,16,10,7,11,5,2,0,76,,,0,0,0,25,1,0,0,0,0,0,.47,0.176,0.11%,3.15
2018-04-09,COL,SDP,"L,6-7",4,5.0,10,7,7,1,6,2,0,5.63,25,83,58,17,9,10,8,5,0,0,24,,,0,0,0,23,2,1,1,1,0,0,.98,-0.387,-0.24%,-4.17
2018-04-14,COL,WSN,"L,2-6",4,5.2,8,5,5,1,6,1,0,6.23,25,94,64,21,10,4,14,11,1,0,38,,,2,0,0,24,2,0,0,0,0,0,1.24,-0.319,-0.20%,-2.03
2018-04-20,COL,CHC,"L,5-16",5,5.0,8,7,6,3,1,1,0,7.09,26,82,47,8,7,11,11,5,0,0,23,,,0,0,1,23,1,1,0,1,0,1,1.22,-0.395,-0.25%,-4.10
2018-04-25,COL,SDP,"W,5-2",4,6.0,3,0,0,1,11,0,0,5.79,20,101,65,15,22,2,6,4,0,0,76,,,0,2,0,19,0,0,0,0,0,0,.73,0.279,0.17%,3.40
2018-05-01,COL,CHC,"W,3-1",5,7.0,3,1,1,1,6,1,0,4.99,25,96,67,22,13,10,8,3,3,0,72,,,0,0,0,24,0,1,0,0,0,0,1.21,0.351,0.20%,2.52
2018-05-08,COL,LAA,"W,4-2",6,7.0,4,0,0,1,8,0,0,4.24,26,99,61,20,13,14,4,2,1,0,76,,,0,0,0,25,0,0,0,0,0,0,1.12,0.460,0.31%,3.96
2018-05-13,COL,MIL,"L,3-7",4,5.1,10,6,6,1,10,1,0,4.85,27,101,65,19,18,6,10,7,1,0,33,,,0,0,0,26,3,0,0,0,0,0,.76,-0.186,-0.13%,-1.58
2018-05-19,COL,SFG,"L,4-9",5,3.2,9,5,5,1,4,0,0,5.34,21,78,52,16,8,8,8,5,0,0,26,,,0,0,0,20,2,1,0,0,0,0,1.47,-0.325,-0.28%,-2.54
2018-05-25,COL,CIN,"W,5-4",5,6.0,6,4,4,3,8,1,1,5.40,28,100,61,21,9,10,6,1,3,0,49,,,1,0,0,24,1,0,0,0,0,0,1.12,-0.017,-0.01%,-0.61
2018-05-30,COL,SFG,"L,4-7",4,3.1,6,4,4,3,5,0,0,5.68,20,91,56,12,15,9,4,3,0,0,34,,,0,0,0,16,2,0,0,0,0,0,1.25,-0.336,-0.31%,-3.38
2018-06-06,COL,CIN,"W,6-3",6,5.0,7,3,3,3,5,0,0,5.66,25,101,63,17,14,4,13,6,1,0,43,,,0,0,0,21,3,0,0,0,1,0,1.55,-0.079,-0.06%,-0.53
2018-06-12,COL,PHI,"L,4-5",5,6.0,3,4,4,4,10,1,0,5.68,25,108,62,22,15,6,5,5,0,0,56,,,1,0,0,20,0,0,0,0,1,0,.50,-0.212,-0.12%,-1.04
2018-06-17,COL,TEX,"L,12-13",4,5.0,6,6,5,1,9,1,0,5.89,22,92,58,18,16,5,7,3,1,0,41,,,1,1,0,20,0,0,0,0,0,1,1.04,-0.425,-0.21%,-3.19
2018-06-22,COL,MIA,"W,11-3",4,7.0,8,1,1,0,12,1,0,5.52,29,99,69,13,18,10,7,6,0,0,69,,,0,0,0,29,2,0,0,0,0,0,.67,0.165,0.09%,2.96
2018-06-28,COL,SFG,"W,9-8",5,4.0,7,5,5,2,7,1,0,5.77,21,71,45,13,8,5,7,4,1,0,33,,,0,0,0,19,2,0,0,0,0,0,1.27,-0.520,-0.20%,-4.17
2018-07-14,COL,SEA,"W,4-1",15,7.1,5,1,1,1,6,0,0,5.44,27,93,64,20,11,14,7,3,0,0,69,,,0,0,0,26,1,0,0,1,0,0,.81,0.251,0.19%,2.28
2018-07-25,COL,HOU,"W,3-2",10,7.0,1,2,1,2,6,0,0,5.16,25,98,59,13,14,11,5,2,0,0,73,,,0,1,0,22,1,0,0,0,0,1,1.00,0.168,0.14%,1.96
2018-07-31,COL,STL,"W,6-3",5,7.1,4,3,2,2,5,1,0,4.99,27,92,64,19,14,10,10,2,1,0,63,,,0,0,0,25,0,0,0,1,0,0,.76,0.159,0.16%,1.22
2018-08-05,COL,MIL,"W,5-4",4,8.0,4,1,1,2,8,1,0,4.73,29,99,66,14,16,7,12,4,3,0,76,,,2,0,0,27,0,0,0,1,0,0,1.28,0.382,0.35%,2.95
2018-08-10,COL,LAD,"W,5-4",4,5.2,8,4,4,1,4,1,2,4.81,27,109,69,19,17,10,10,6,2,0,40,,,0,0,0,24,2,0,0,1,0,0,1.12,-0.142,-0.14%,-1.00
2018-08-16,COL,ATL,"W,5-3",5,7.0,5,3,3,1,9,1,1,4.76,26,94,62,12,15,7,8,2,2,0,63,,,1,0,0,24,2,0,0,2,0,0,.97,-0.060,-0.07%,0.41
2018-08-22,COL,SDP,"W,6-2",5,6.1,5,2,2,1,5,1,0,4.67,25,89,58,18,12,7,12,6,2,0,59,,,1,0,0,24,1,0,0,0,0,0,.88,0.207,0.25%,1.38
2018-08-27,COL,LAA,"L,7-10",4,6.2,7,5,5,0,1,2,0,4.76,27,89,58,12,4,11,15,9,1,0,41,,,1,0,0,27,1,0,0,0,0,0,.80,-0.297,-0.38%,-1.72
2018-09-01,COL,SDP,"W,4-2",4,6.0,7,2,2,1,1,2,0,4.70,26,88,56,15,3,13,11,2,2,0,50,,,0,0,0,25,2,0,0,0,0,0,1.21,0.095,0.12%,0.70
2018-09-07,COL,LAD,"L,2-4",5,4.0,4,2,2,5,4,1,0,4.69,20,85,49,20,8,7,5,1,1,0,45,,,0,0,0,15,1,0,0,1,0,0,1.13,0.028,0.06%,0.26
2018-09-12,COL,ARI,"W,5-4",4,4.0,4,4,4,2,6,2,1,4.80,19,94,57,17,13,6,4,1,0,0,42,,,2,0,0,15,1,0,0,1,1,0,1.02,-0.199,-0.44%,-1.74
2018-09-17,COL,LAD,"L,2-8",4,2.0,7,6,6,2,1,2,0,5.07,14,50,31,11,0,4,7,2,0,0,17,,,0,0,0,12,1,0,0,0,0,0,.67,-0.323,-0.94%,-5.43
2018-09-24,COL,PHI,"W,10-1",6,7.0,4,1,1,3,7,1,0,4.91,25,105,68,22,11,8,7,3,1,0,69,,,0,0,1,22,0,0,0,2,0,0,.65,0.205,0.46%,2.96
2018-09-29,COL,WSN,"L,2-12",4,2.0,7,5,5,0,1,1,0,5.12,14,41,27,6,2,8,5,2,1,0,23,,,0,0,0,13,1,0,0,0,0,1,1.03,-0.308,-0.52%,-3.87
2019-03-31,COL,MIA,"L,0-3",99,6.2,5,3,3,1,10,1,1,4.05,26,86,63,16,15,9,5,4,0,0,61,,,1,0,0,24,0,0,0,1,0,0,.82,-0.026,-0.02%,0.37
