date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,NYY,TOR,"L,3-5",99,0.1,1,0,0,0,1,0,0,0.00,2,7,5,2,1,0,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.34,-0.142,-0.10%,-0.68
2018-04-03,NYY,TBR,"W,11-4",2,0.1,4,3,3,0,1,0,0,40.50,5,13,11,4,1,1,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.55,-0.231,-0.15%,-2.08
2018-04-06,NYY,BAL,"L,3-7",2,2.0,2,4,3,1,2,1,0,20.25,10,42,25,6,3,2,5,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,1,2.40,-0.342,-0.23%,-2.98
2018-04-21,NYY,TOR,"W,9-1",14,2.0,0,0,0,0,2,0,0,11.57,6,22,15,4,3,0,4,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.002,0.00%,1.02
2018-04-24,NYY,MIN,"W,8-3",2,1.0,0,0,0,0,2,0,0,9.53,3,19,12,7,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.51
2018-04-27,NYY,LAA,"W,4-3",2,1.0,0,0,0,0,0,0,0,8.10,3,12,7,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.031,0.02%,0.50
2018-04-30,NYY,HOU,"L,1-2",2,1.0,1,0,0,0,0,0,0,7.04,3,9,8,2,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.55,0.031,0.02%,0.51
2018-05-06,NYY,CLE,"W,7-4",5,1.0,1,1,0,0,0,0,0,6.23,4,17,11,2,0,1,3,3,0,0,,2,2,0,0,0,3,1,0,0,0,1,0,.98,-0.127,-0.09%,-1.49
2018-05-09,NYY,BOS,"W,9-6",2,0.2,0,0,0,1,1,0,0,5.79,3,9,5,2,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,1,0,0,0,2.12,0.140,0.13%,1.42
2018-05-10,NYY,BOS,"L,4-5",0,2.0,0,0,0,0,2,0,0,4.76,6,18,15,5,3,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.23,0.034,0.03%,1.02
2018-05-12,NYY,OAK,"W,7-6",1,1.0,0,0,0,0,1,0,0,4.38,3,17,9,3,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.076,0.06%,0.51
2018-05-18,NYY,KCR,"L,2-5",5,1.0,1,0,0,0,2,0,0,4.05,4,12,10,3,4,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.007,0.01%,0.51
2018-05-21,NYY,TEX,"W,10-5",2,1.0,0,0,0,0,1,0,0,3.77,3,14,9,4,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.010,0.01%,0.56
2018-05-23,NYY,TEX,"L,10-12",1,0.2,1,0,0,0,1,0,0,3.60,3,14,10,0,1,2,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.84,0.061,0.04%,0.58
2018-05-26,NYY,LAA,"L,4-11",2,1.1,0,0,0,1,3,0,0,3.31,5,20,13,5,4,0,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.77,0.078,0.06%,0.75
2018-05-29,NYY,HOU,"W,6-5",2,2.0,1,0,0,0,1,0,0,2.95,8,24,19,5,4,1,6,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,.85,0.074,0.06%,1.02
2018-06-02,NYY,BAL,"W,8-5",3,0.2,1,0,0,0,1,0,0,2.84,3,16,9,2,4,0,2,2,0,0,,2,1,0,0,0,3,1,0,0,0,0,0,2.55,0.030,0.02%,-0.09
2018-06-04,NYY,DET,"W,7-4",1,0.2,2,2,0,0,0,0,0,2.75,5,17,12,3,2,1,4,0,1,0,,0,0,0,0,0,5,2,0,0,0,0,1,.47,-0.009,-0.01%,-1.81
2018-06-08,NYY,NYM,"W,4-1",3,1.0,0,0,0,0,0,0,0,2.61,3,12,7,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.98,0.071,0.05%,0.44
2018-06-10,NYY,NYM,"L,0-2",1,1.0,0,0,0,0,2,0,0,2.49,3,15,9,2,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.44
2018-06-13,NYY,WSN,"L,4-5",2,1.0,1,0,0,0,0,0,0,2.38,4,15,10,1,2,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.55,0.039,0.02%,0.51
2018-06-15,NYY,TBR,"W,5-0",1,1.0,0,0,0,1,0,0,0,2.28,3,19,11,3,2,1,1,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,1.12,0.081,0.05%,0.51
2018-06-18,NYY,WSN,"W,4-2",2,1.0,0,0,0,0,2,0,0,2.19,3,20,15,3,3,0,1,0,1,0,,2,0,0,0,0,3,0,0,0,0,0,0,3.00,0.305,0.18%,1.86
2018-06-20,NYY,SEA,"W,7-5",1,2.1,0,0,0,0,2,0,1,2.00,8,32,21,4,3,2,3,0,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,.36,0.062,0.04%,1.26
2018-06-24,NYY,TBR,"L,6-7",3,2.1,0,0,0,0,2,0,0,1.84,7,25,18,5,5,2,3,0,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,.68,0.123,0.07%,1.31
2018-06-27,NYY,PHI,"L,0-3",2,1.0,1,0,0,0,1,0,0,1.78,4,14,11,3,1,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.27,0.012,0.01%,0.49
2018-06-30,NYY,BOS,"L,0-11",2,1.0,2,1,1,0,0,0,0,2.01,5,19,11,3,1,3,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,0.00%,-0.49
2018-07-02,NYY,ATL,"L,3-5",1,2.0,2,0,0,0,1,0,0,1.89,8,24,18,2,3,2,5,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.20,0.130,0.08%,1.02
2018-07-04,NYY,ATL,"W,6-2",1,1.0,1,0,0,0,0,0,0,1.83,4,13,8,3,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.27,0.015,0.01%,0.51
2018-07-07,NYY,TOR,"W,8-5",2,1.0,2,1,1,0,0,0,0,2.04,5,16,11,2,1,1,4,1,0,0,,0,0,0,0,0,4,1,0,0,0,1,0,1.26,-0.009,-0.01%,-0.50
2018-07-09,NYY,BAL,"L,4-5",1,1.0,1,0,0,1,1,0,0,1.98,5,20,12,1,3,0,3,0,2,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.28,0.047,0.03%,0.50
2018-07-10,NYY,BAL,"L,5-6",0,0.2,0,0,0,0,0,0,0,1.95,2,5,4,0,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.73,0.036,0.02%,0.27
2018-07-13,NYY,CLE,"L,5-6",2,2.0,1,0,0,1,2,0,0,1.85,8,26,16,7,2,2,3,1,1,0,,1,1,0,0,0,7,0,0,0,0,0,0,.55,0.033,0.02%,0.98
2018-07-20,NYY,NYM,"L,5-7",6,1.0,0,0,0,0,1,0,0,1.80,3,14,9,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,0.01%,0.51
2018-07-21,NYY,NYM,"W,7-6",0,1.0,0,0,0,0,1,0,0,1.76,3,9,5,2,0,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.94,0.072,0.03%,0.51
2018-07-25,NYY,TBR,"L,2-3",3,0.2,2,1,1,0,1,1,0,1.94,4,16,10,4,1,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.45,-0.098,-0.05%,-0.74
2018-07-28,NYY,KCR,"W,5-4",2,1.0,1,1,1,1,1,0,0,2.11,5,27,17,3,3,1,2,1,1,0,,3,0,0,0,0,3,0,0,0,0,0,0,2.37,0.115,0.06%,0.85
2018-08-01,NYY,BAL,"L,5-7",3,1.0,2,0,0,0,1,0,0,2.06,5,17,12,2,1,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.03,0.002,0.00%,0.51
2018-08-02,NYY,BOS,"L,7-15",0,0.0,5,7,7,1,0,1,0,3.50,7,25,14,4,1,1,5,3,0,0,,0,0,2,0,0,6,3,0,0,0,0,0,1.28,-0.613,-0.46%,-6.63
2018-08-05,NYY,BOS,"L,4-5",2,0.2,2,1,1,1,1,0,0,3.65,5,17,11,4,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,2.70,-0.357,-0.19%,-0.92
2018-08-07,NYY,CHW,"W,4-3",1,1.0,0,0,0,1,0,0,0,3.57,4,12,6,1,2,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.32,0.138,0.05%,0.50
2018-08-08,NYY,CHW,"W,7-3",0,1.0,1,0,0,0,1,0,0,3.50,4,19,14,4,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.23,0.018,0.01%,0.50
2018-08-12,NYY,TEX,"W,7-2",3,2.0,0,0,0,2,4,0,0,3.35,8,44,25,8,7,0,2,0,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,.37,0.057,0.02%,2.02
2018-08-15,NYY,TBR,"L,1-6",2,0.2,0,0,0,0,2,0,0,3.31,2,12,8,3,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.23,0.011,0.00%,0.27
2018-08-18,NYY,TOR,"W,11-6",2,0.1,1,0,0,0,0,0,0,3.28,1,4,3,1,0,0,1,1,0,0,,3,3,0,0,0,1,0,0,0,0,0,0,.88,-0.051,-0.01%,-2.22
2018-08-19,NYY,TOR,"W,10-2",0,1.2,0,0,0,0,1,0,0,3.18,4,20,13,3,3,0,3,1,2,0,,1,0,0,1,0,4,0,0,0,0,0,0,.32,0.045,0.01%,1.20
2018-08-21,NYY,MIA,"W,2-1",1,1.0,0,0,0,0,3,0,0,3.12,4,16,11,3,4,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.86,0.128,0.03%,0.45
2018-08-25,NYY,BAL,"W,5-1",3,1.2,1,0,0,1,2,0,0,3.02,7,29,16,5,2,2,2,1,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,.76,0.064,0.01%,1.03
2018-08-28,NYY,CHW,"W,5-4",2,2.1,2,1,1,0,1,0,0,3.05,9,24,20,5,1,1,7,2,1,0,,2,2,0,0,0,9,0,0,0,0,0,0,.68,-0.186,-0.05%,-1.54
2018-08-31,NYY,DET,"W,7-5",2,0.2,2,1,1,0,0,0,0,3.18,4,10,8,1,0,0,4,2,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.72,0.013,0.00%,0.07
2018-09-01,NYY,DET,"W,2-1",0,1.0,1,0,0,0,1,0,0,3.12,3,8,6,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.23,0.122,0.02%,0.51
2018-09-05,NYY,OAK,"L,2-8",3,1.1,1,1,1,1,0,0,0,3.20,6,14,8,2,1,3,2,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.13,-0.006,0.00%,-0.28
2018-09-10,NYY,MIN,"W,7-2",4,1.0,0,0,0,0,1,0,0,3.15,3,8,7,2,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.008,0.00%,0.52
2018-09-15,NYY,TOR,"L,7-8",4,1.1,0,0,0,0,1,0,0,3.08,5,18,12,2,1,2,2,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,1,.17,0.015,0.00%,0.75
2018-09-19,NYY,BOS,"W,10-1",3,1.0,1,0,0,0,1,0,0,3.03,4,15,11,3,2,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,0.003,0.00%,0.51
2018-09-20,NYY,BOS,"L,6-11",0,0.1,0,0,0,1,0,0,0,3.02,2,6,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.05,0.001,0.00%,0.11
2018-09-22,NYY,BAL,"W,3-2",1,1.0,2,0,0,1,0,0,0,2.97,6,20,14,3,1,2,3,1,1,0,,0,0,1,0,0,5,1,0,1,0,0,0,3.81,0.140,0.02%,0.51
2018-09-24,NYY,TBR,"W,4-1",1,1.0,0,0,0,2,1,0,0,2.92,5,19,9,6,0,0,2,1,0,0,52,,,0,0,0,3,0,0,0,0,0,0,1.24,0.048,0.01%,0.50
2018-09-26,NYY,TBR,"L,7-8",1,1.0,0,0,0,1,0,0,0,2.88,4,19,12,4,0,0,3,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.50,0.080,0.01%,0.88
2018-09-29,NYY,BOS,"W,8-5",2,0.1,3,2,2,0,1,1,0,3.14,4,14,10,3,2,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.90,-0.039,0.00%,-2.02
2019-03-30,NYY,BAL,"L,3-5",99,2.0,3,2,1,0,2,0,0,4.50,10,36,30,7,1,5,3,1,0,0,,0,0,0,0,0,10,1,0,0,0,0,1,.39,-0.027,-0.02%,-0.92
2019-04-03,NYY,DET,"L,1-2",3,2.0,1,0,0,0,2,0,0,2.25,7,20,16,5,4,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.97,0.146,0.08%,1.08
