date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-06-15,NYY,TBR,"W,5-0",99,5.0,3,0,0,4,6,0,0,0.00,20,91,57,10,14,6,4,3,0,0,63,,,0,0,0,16,0,0,0,2,0,0,1.30,0.288,0.17%,2.56
2018-06-20,NYY,SEA,"W,7-5",4,3.2,6,3,3,2,4,0,0,3.12,18,84,51,14,7,7,5,3,1,0,39,,,0,0,0,16,1,0,0,1,0,0,1.28,0.022,0.01%,0.44
2018-06-25,NYY,PHI,"W,4-2",4,5.1,1,0,0,2,8,0,0,1.93,19,86,57,13,13,6,3,2,1,0,72,,,1,0,0,17,0,0,0,0,0,0,1.19,0.154,0.09%,1.56
2018-07-02,NYY,ATL,"L,3-5",6,4.0,5,3,3,0,3,1,0,3.00,17,92,62,9,12,10,4,1,1,0,43,,,0,0,0,17,3,0,0,0,0,0,1.02,-0.153,-0.09%,-0.96
2018-09-03,NYY,OAK,"L,3-6",62,2.0,1,0,0,0,4,0,0,2.70,7,25,20,6,6,0,3,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.13,0.019,0.00%,0.99
2018-09-11,NYY,MIN,"L,5-10",7,1.1,4,6,6,3,3,0,0,5.06,11,47,26,9,6,1,4,3,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.65,-0.140,-0.02%,-3.56
2018-09-21,NYY,BAL,"W,10-8",9,0.1,2,2,2,0,1,1,0,5.82,3,14,7,3,2,0,2,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.08,-0.075,-0.01%,-1.44
2018-09-27,NYY,TBR,"W,12-1",5,1.0,0,0,0,1,2,0,0,5.56,4,21,12,6,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.50
2018-09-30,NYY,BOS,"L,2-10",2,2.0,4,3,0,0,2,1,0,5.11,9,39,28,6,3,3,4,1,1,0,,0,0,0,0,0,9,1,0,0,1,0,0,.28,-0.079,0.00%,-1.94
2019-04-03,NYY,DET,"L,1-2",99,4.0,1,1,1,3,4,0,0,2.25,16,70,41,11,11,3,6,2,1,0,57,,,2,0,0,12,1,0,0,0,1,0,1.39,0.102,0.06%,1.17
2019-04-09,NYY,HOU,"L,3-6",5,3.0,4,2,2,2,5,1,0,3.86,15,71,42,11,11,2,6,3,0,0,46,,,1,0,0,12,1,0,0,0,1,0,1.16,-0.052,-0.03%,-0.29
2019-04-24,NYY,LAA,"W,6-5",14,3.0,2,0,0,1,1,0,0,2.70,11,45,29,6,7,4,5,1,1,0,,0,0,0,0,0,10,0,0,0,1,0,0,1.28,0.222,0.15%,1.62
2019-05-08,NYY,SEA,"L,1-10",13,4.0,6,4,4,2,3,1,0,4.50,20,83,52,11,11,7,8,4,2,0,35,,,1,0,0,17,3,0,0,0,1,0,.90,-0.181,-0.14%,-1.83
2019-08-15,NYY,CLE,"L,5-19",98,2.2,4,4,4,0,4,2,0,5.94,12,56,38,10,13,2,6,2,0,0,,0,0,0,0,0,12,0,0,0,0,0,0,.14,-0.099,-0.01%,-2.63
2019-08-20,NYY,OAK,"L,2-6",4,2.2,1,0,0,2,2,0,0,5.12,9,40,22,3,3,4,1,0,1,0,,1,0,0,0,0,7,0,0,0,2,0,0,.11,0.013,0.00%,1.59
2019-08-31,NYY,OAK,"W,4-3",10,1.0,1,0,0,1,2,0,1,4.87,6,27,13,4,5,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.60,0.078,0.01%,0.54
2019-09-03,NYY,TEX,"W,10-1",2,2.0,2,1,1,1,1,1,0,4.84,8,36,23,5,2,4,2,0,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.01,0.001,0.00%,0.08
2019-09-08,NYY,BOS,"W,10-5",4,1.0,0,0,0,0,2,0,0,4.63,3,9,8,3,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,0.00%,0.58
2019-09-10,NYY,DET,"L,11-12",1,0.1,2,1,1,2,0,0,0,4.94,5,23,11,2,2,0,3,3,0,0,,2,2,0,0,0,2,0,0,0,0,1,0,2.35,-0.374,-0.02%,-2.84
2019-09-14,NYY,TOR,"W,13-3",3,2.0,1,0,0,0,2,0,0,4.56,7,29,19,7,2,1,4,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.05,0.006,0.00%,1.07
2019-09-17,NYY,LAA,"W,8-0",2,2.0,0,0,0,1,3,0,0,4.23,7,33,21,8,4,3,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.10,0.012,0.00%,1.08
