date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-25,TBR,BAL,"W,8-4",99,0.1,0,0,0,0,0,0,0,0.00,1,4,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.38,0.035,0.01%,0.24
2018-04-29,TBR,BOS,"L,3-4",3,1.0,0,0,0,0,0,0,0,0.00,3,9,5,0,1,1,2,0,1,0,,2,0,0,0,0,3,0,0,0,0,0,0,1.68,0.125,0.07%,1.19
2018-05-01,TBR,DET,"L,1-2",1,1.0,1,0,0,1,0,0,0,0.00,5,9,6,2,0,4,0,0,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,.80,0.033,0.02%,0.53
2018-05-08,TBR,ATL,"L,0-1",6,1.0,0,0,0,0,0,0,0,0.00,3,7,5,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.50,0.037,0.01%,0.50
2018-05-11,TBR,BAL,"L,4-9",2,1.0,1,1,1,0,1,1,0,2.08,4,13,10,1,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,-0.006,0.00%,-0.50
2018-05-12,TBR,BAL,"W,10-3",0,1.0,0,0,0,0,0,0,0,1.69,3,16,10,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.37,0.028,0.01%,0.50
2018-05-14,TBR,KCR,"W,2-1",1,0.1,0,0,0,0,0,0,0,1.59,1,4,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.91,0.049,0.01%,0.24
2018-05-15,TBR,KCR,"W,6-5",0,0.2,1,0,0,0,1,0,0,1.42,3,9,7,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.062,0.02%,0.27
2018-05-18,TBR,LAA,"W,8-3",2,1.2,1,0,0,1,3,0,0,1.13,7,30,17,10,3,1,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.24,0.020,0.01%,0.77
2018-05-25,TBR,BAL,"L,0-2",6,0.1,0,0,0,0,0,0,0,1.08,1,5,3,2,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.47,0.013,0.01%,0.23
