date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-05,MIA,STL,"L,1-4",99,2.0,0,0,0,0,3,0,0,0.00,6,22,15,7,4,2,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.30,0.045,0.02%,1.00
2021-04-23,MIA,SFG,"L,3-5",17,1.0,0,0,0,1,1,0,0,0.00,4,21,11,6,3,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,0.00%,0.50
2021-04-26,MIA,MIL,"W,8-0",2,2.0,1,0,0,0,2,0,0,0.00,7,29,20,6,4,0,5,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.03,0.004,0.00%,1.03
2021-05-01,MIA,WSN,"L,2-7",4,2.0,1,0,0,0,1,0,0,0.00,7,29,19,6,2,5,1,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.05,0.006,0.00%,0.97
2021-05-05,MIA,ARI,"W,8-0",3,3.0,2,0,0,2,3,0,0,0.00,13,61,36,10,4,4,4,1,1,0,,0,0,0,0,0,11,1,0,0,0,0,0,.44,0.050,0.03%,1.50
2021-05-10,MIA,ARI,"L,2-5",4,3.2,5,4,3,3,1,0,0,1.98,18,68,44,15,7,5,9,4,2,0,35,,,0,0,0,15,4,0,0,1,0,0,.92,-0.219,-0.11%,-2.34
2021-05-15,MIA,LAD,"L,0-7",4,3.0,2,2,2,4,2,0,0,2.70,15,74,38,15,4,4,5,2,0,0,45,,,0,0,0,11,0,0,0,0,0,0,1.17,-0.113,-0.06%,-1.31
2021-05-21,MIA,NYM,"L,5-6",5,1.0,0,0,0,0,1,0,0,2.55,3,18,13,1,3,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.50,0.038,0.03%,0.50
2021-06-30,MIA,PHI,"W,11-6",39,3.0,4,5,5,5,5,1,0,4.35,18,66,32,7,8,4,4,1,0,0,31,,,0,0,0,12,0,1,0,0,1,0,.92,-0.340,-0.05%,-3.48
2021-07-07,MIA,LAD,"W,9-6",6,4.1,2,0,0,0,6,0,0,3.60,15,60,42,14,10,2,7,3,1,0,,2,0,0,0,0,15,1,0,0,0,0,0,.84,0.247,0.05%,2.44
2021-07-16,MIA,PHI,"W,7-0",8,5.0,0,0,0,2,6,0,0,3.00,19,72,49,15,7,6,5,2,1,0,,0,0,0,0,0,17,0,0,0,0,0,2,.44,0.134,0.03%,2.53
2021-07-22,MIA,SDP,"L,2-3",5,3.2,3,3,2,5,1,0,0,3.21,19,84,45,16,3,6,7,5,1,0,,0,0,1,0,0,13,0,0,0,0,1,0,1.06,-0.151,-0.01%,-1.23
2021-07-28,MIA,BAL,"L,7-8",5,2.1,3,5,4,4,4,2,0,4.00,14,60,32,10,9,2,4,1,1,0,33,,,1,0,0,10,0,0,0,0,0,0,1.13,-0.220,-0.02%,-2.95
