date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,SDP,MIL,"L,3-7",99,1.0,1,0,0,1,1,0,0,0.00,5,19,10,2,2,1,2,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.09,0.003,0.00%,0.45
2018-04-02,SDP,COL,"L,4-7",1,3.0,2,0,0,0,3,0,0,0.00,11,39,26,6,8,2,6,2,2,0,,0,0,0,0,0,11,0,0,0,0,0,0,.26,0.050,0.03%,1.35
2018-04-05,SDP,COL,"L,1-3",2,0.1,0,0,0,0,0,0,0,0.00,1,3,2,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.24,0.007,0.00%,0.47
2018-04-06,SDP,HOU,"W,4-1",0,2.0,0,0,0,0,4,0,0,0.00,6,28,19,6,2,0,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.03,0.156,0.06%,1.01
2018-04-09,SDP,COL,"W,7-6",2,1.0,2,2,2,2,0,1,0,2.45,7,29,17,3,3,3,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.45,-0.321,-0.14%,-2.45
2018-04-12,SDP,SFG,"L,0-7",2,2.0,0,0,0,0,2,0,1,1.93,7,28,16,7,2,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.34,0.048,0.02%,0.90
2018-04-15,SDP,SFG,"W,10-1",2,1.0,1,0,0,0,1,0,0,1.74,4,10,8,3,1,1,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.21,0.007,0.00%,0.45
2018-04-17,SDP,LAD,"L,3-7",1,2.0,1,0,0,0,1,0,0,1.46,7,31,21,5,2,5,1,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,1,.28,0.038,0.02%,0.90
2018-04-21,SDP,ARI,"L,2-6",3,1.0,2,2,2,2,1,0,0,2.70,6,27,16,7,1,1,2,1,0,0,,0,0,0,1,0,4,0,1,0,0,0,0,.25,-0.076,-0.04%,-1.49
2018-04-23,SDP,COL,"W,13-5",1,2.0,0,0,0,0,2,0,0,2.35,6,25,17,4,4,3,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.02,0.003,0.00%,1.13
2018-04-27,SDP,NYM,"L,1-5",3,1.0,0,0,0,1,1,0,0,2.20,4,18,11,3,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.45
2018-04-29,SDP,NYM,"L,2-14",1,1.2,5,4,4,1,0,1,0,4.00,11,45,27,5,4,2,8,3,2,0,,2,0,0,0,0,10,0,0,0,0,0,0,.75,-0.078,-0.02%,-2.17
2018-05-02,SDP,SFG,"L,4-9",2,1.2,0,0,0,0,0,0,0,3.66,5,17,9,2,1,0,5,0,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,.05,0.007,0.00%,1.80
2018-05-10,SDP,STL,"L,1-2",7,5.0,5,2,1,1,6,1,0,3.28,20,81,50,16,7,4,9,6,0,0,56,,,1,0,0,18,0,0,0,1,1,0,.93,-0.013,0.00%,0.25
2018-05-15,SDP,COL,"W,4-0",4,7.1,1,0,0,1,10,0,0,2.53,24,85,64,14,15,8,5,1,2,0,85,,,0,0,0,23,0,0,0,0,0,0,.62,0.312,0.06%,2.74
2018-05-20,SDP,PIT,"W,8-5",4,5.2,7,4,4,2,4,2,0,3.11,26,93,57,12,8,6,14,2,1,0,41,,,0,0,0,23,1,0,0,0,1,0,1.11,-0.240,-0.06%,-1.31
2018-05-26,SDP,LAD,"W,7-5",5,4.2,7,5,5,4,4,2,0,3.83,24,89,55,18,8,8,8,3,0,0,30,,,0,0,0,20,1,0,0,1,0,0,1.18,-0.415,-0.11%,-3.39
2018-05-31,SDP,MIA,"W,8-3",4,7.0,6,2,2,1,7,0,0,3.65,27,106,69,23,10,13,6,4,1,0,63,,,0,0,0,26,0,0,0,0,0,0,.92,0.071,0.02%,1.15
2018-06-05,SDP,ATL,"L,1-14",4,4.1,11,8,8,2,1,2,0,4.70,26,97,61,15,3,10,13,7,1,0,8,,,1,0,0,23,5,0,0,0,0,0,.73,-0.289,-0.10%,-5.99
2018-06-11,SDP,STL,"L,2-5",5,6.0,11,4,4,0,2,2,0,4.83,28,102,69,22,3,15,11,3,2,0,36,,,1,0,0,27,0,0,0,1,0,0,.83,-0.204,-0.07%,-1.19
2018-06-16,SDP,ATL,"L,0-1",4,7.0,5,1,1,0,6,1,0,4.46,26,95,66,17,9,12,8,1,2,0,69,,,0,0,0,26,0,0,0,0,0,0,.76,0.200,0.07%,2.41
2018-06-23,SDP,SFG,"L,3-5",6,0.0,0,0,0,0,0,0,0,4.46,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2018-07-29,SDP,ARI,"L,4-5",35,1.2,1,0,0,1,3,0,0,4.35,7,25,18,2,5,2,1,0,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,.72,0.078,0.00%,1.58
2018-07-31,SDP,SFG,"L,2-3",1,2.0,0,0,0,0,2,0,0,4.22,6,23,15,4,4,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.68,0.100,0.00%,0.90
2018-08-03,SDP,CHC,"L,4-5",2,1.0,3,1,1,0,1,0,0,4.29,6,18,15,2,3,2,3,0,1,0,,0,0,0,0,0,5,0,1,0,0,1,0,.21,-0.027,0.00%,-0.50
2018-08-10,MIL,ATL,"L,1-10",6,2.1,3,3,3,1,3,0,0,4.52,11,43,28,3,7,3,4,3,1,0,,2,1,0,0,0,9,1,0,0,0,1,0,.05,-0.004,-0.01%,-1.37
2018-08-17,MIL,STL,"L,2-5",6,1.2,3,2,2,2,1,0,1,4.66,11,42,25,3,5,3,4,2,1,0,,0,0,1,0,0,8,2,0,1,0,0,0,.55,-0.092,-0.12%,-1.64
2018-08-24,MIL,PIT,"W,7-6",6,2.0,2,2,1,3,3,0,0,4.66,11,35,22,4,5,3,2,0,0,0,,0,0,0,0,0,8,1,0,2,0,0,0,2.29,-0.275,-0.31%,-1.01
2018-08-28,MIL,CIN,"L,7-9",3,2.2,1,0,0,2,3,0,0,4.50,11,43,25,9,6,2,4,2,0,0,,3,2,0,0,0,9,0,0,0,0,0,0,.29,-0.010,-0.01%,0.55
2018-08-30,MIL,CIN,"W,2-1",1,0.1,0,0,0,0,0,0,0,4.48,1,2,2,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.84,0.080,0.09%,0.32
2018-09-01,MIL,WSN,"L,4-5",1,0.1,0,0,0,0,0,0,0,4.46,1,5,3,2,0,0,1,1,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,.76,-0.058,-0.06%,-0.49
2018-09-04,MIL,CHC,"W,11-1",2,1.0,1,0,0,0,2,0,0,4.41,4,15,11,3,2,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.001,0.00%,0.49
2018-09-15,MIL,PIT,"L,1-3",10,1.0,0,0,0,1,1,0,0,4.35,3,18,9,3,2,0,1,0,1,0,,0,0,0,1,0,2,0,0,0,0,0,0,.26,0.017,0.02%,0.49
2018-09-18,MIL,CIN,"L,1-3",2,1.0,0,0,0,0,2,0,0,4.30,3,17,9,5,0,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.017,0.01%,0.49
2018-09-23,MIL,PIT,"W,13-6",4,2.0,0,0,0,0,2,0,1,4.20,7,20,13,5,3,1,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.003,0.00%,0.93
2018-09-30,MIL,DET,"W,11-0",6,2.0,2,0,0,0,5,0,0,4.11,8,29,22,6,7,2,1,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.01,0.000,0.00%,0.99
2019-04-04,PIT,CIN,"W,2-0",99,5.0,3,0,0,3,2,0,0,0.00,20,80,48,7,9,7,8,4,0,0,60,,,0,0,0,17,1,0,1,1,0,0,1.00,0.282,0.16%,2.54
2019-04-10,PIT,CHC,"W,5-2",5,6.0,3,1,1,1,10,1,0,0.82,22,87,55,17,13,5,6,1,1,0,71,,,1,0,0,21,0,0,0,0,0,0,.99,0.227,0.15%,2.24
2019-04-19,PIT,SFG,"W,4-1",8,6.0,4,0,0,1,6,0,0,0.53,20,86,56,15,7,6,7,2,1,0,69,,,0,0,0,19,1,0,0,2,0,0,.69,0.221,0.15%,3.05
2019-04-24,PIT,ARI,"L,2-11",4,5.0,8,5,4,0,3,2,0,2.05,22,81,53,13,5,6,13,4,0,0,36,,,0,0,0,21,2,1,0,0,1,0,.61,-0.271,-0.18%,-2.46
2019-04-30,PIT,TEX,"W,6-4",5,4.0,3,2,2,4,5,0,0,2.42,18,96,52,12,9,5,4,1,1,0,49,,,0,1,0,14,0,0,0,0,0,0,1.18,0.005,0.00%,0.45
2019-05-05,PIT,OAK,"W,5-3",4,6.2,5,1,1,3,3,0,0,2.20,27,100,61,22,6,11,10,7,1,0,60,,,0,0,0,24,1,0,0,1,0,0,1.30,0.222,0.12%,2.32
2019-05-11,PIT,STL,"W,2-1",5,6.0,1,1,1,3,6,0,0,2.09,22,101,62,19,8,3,10,4,1,0,69,,,0,0,0,19,1,0,0,0,0,0,.90,0.264,0.17%,2.11
2019-05-17,PIT,SDP,"W,5-3",5,7.0,5,1,1,1,12,1,0,1.97,27,104,73,18,20,8,6,3,1,0,74,,,0,0,0,26,0,0,0,1,0,1,1.20,0.369,0.21%,2.52
2019-05-23,PIT,COL,"W,14-6",5,5.2,7,6,6,1,6,0,0,2.81,25,91,64,18,12,7,11,8,1,0,36,,,0,0,0,24,2,0,0,0,0,0,.46,0.066,0.04%,-1.39
2019-05-28,PIT,CIN,"L,6-11",4,4.0,3,3,3,2,3,1,0,3.09,17,72,44,10,6,5,7,3,1,0,45,,,0,0,0,15,1,1,0,0,0,0,.68,-0.104,-0.06%,-0.82
2019-06-02,PIT,MIL,"L,2-4",4,6.0,8,4,4,1,5,1,0,3.38,27,109,75,18,9,10,11,5,0,0,44,,,0,0,0,26,2,0,0,0,0,0,.96,-0.160,-0.10%,-0.95
2019-06-08,PIT,MIL,"L,3-5",5,3.0,5,3,3,4,5,1,0,3.64,18,92,51,13,9,2,7,2,1,0,38,,,1,0,0,14,1,0,0,0,0,0,1.23,-0.164,-0.09%,-1.40
2019-06-29,PIT,MIL,"L,1-3",20,6.0,5,3,3,2,5,1,1,3.71,26,103,68,15,12,10,8,5,2,0,53,,,0,0,0,22,1,1,0,0,0,0,.90,-0.054,-0.04%,0.21
2019-07-04,PIT,CHC,"L,3-11",4,4.0,10,7,7,1,7,3,0,4.36,23,78,50,8,11,4,11,4,1,0,20,,,0,0,0,22,4,1,0,0,0,0,.85,-0.414,-0.32%,-3.97
