date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,TBR,BOS,"L,0-1",99,1.0,2,0,0,0,1,0,0,0.00,4,16,12,3,3,3,0,0,0,0,,1,1,0,0,0,4,0,0,0,1,0,0,1.73,-0.033,-0.02%,0.12
2018-04-01,TBR,BOS,"L,1-2",1,1.0,1,1,1,0,1,0,0,4.50,4,17,13,2,3,2,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.15,0.132,0.08%,1.10
2018-04-04,TBR,NYY,"L,2-7",2,1.0,0,0,0,0,1,0,0,3.00,3,8,6,4,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.51
2018-04-05,TBR,BOS,"L,2-3",0,1.0,0,0,0,0,2,0,0,2.25,3,8,7,4,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.21,0.094,0.05%,0.53
2018-04-08,TBR,BOS,"L,7-8",2,1.0,0,0,0,1,0,0,0,1.80,4,15,9,4,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.57,0.022,0.01%,0.53
2018-04-09,TBR,CHW,"W,5-4",0,0.1,1,0,0,0,0,0,0,1.69,2,7,4,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.18,0.007,0.00%,0.03
2018-04-11,TBR,CHW,"L,1-2",1,1.0,0,0,0,1,2,0,0,1.42,5,20,11,3,2,1,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,1,2.30,0.066,0.03%,0.50
2018-04-13,TBR,PHI,"L,1-2",1,0.2,1,0,0,1,2,0,0,1.29,4,9,9,0,4,0,1,0,0,0,,2,1,0,0,0,3,0,0,1,0,0,0,3.19,-0.025,-0.01%,-0.09
2018-04-18,TBR,TEX,"W,4-2",4,1.0,0,0,0,0,1,0,0,1.13,3,11,7,4,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.55,0.042,0.01%,0.50
2018-04-20,TBR,MIN,"W,8-7",1,0.2,0,1,1,1,2,0,0,2.08,3,14,9,4,4,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.02,0.044,0.01%,0.20
2018-04-22,TBR,MIN,"W,8-6",1,1.1,2,2,2,0,1,0,0,3.60,5,14,10,1,3,3,1,1,0,0,,2,0,0,0,0,5,0,0,0,1,0,0,2.04,0.171,0.05%,1.24
2018-04-25,TBR,BAL,"W,8-4",2,1.0,0,0,0,0,1,0,0,3.27,3,15,10,2,4,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,0.01%,0.50
2018-04-26,TBR,BAL,"W,9-5",0,1.0,0,0,0,0,0,0,0,3.00,2,8,4,0,1,2,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,1.15,0.099,0.04%,1.42
2018-04-28,TBR,BOS,"W,12-6",1,1.1,1,0,0,0,2,0,0,2.70,5,16,12,3,3,3,0,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.39,0.107,0.06%,0.87
2018-04-30,TBR,DET,"W,3-2",1,0.2,1,0,0,1,0,0,0,2.57,4,21,11,2,2,2,1,0,0,0,,3,2,0,0,0,3,0,0,0,0,0,0,7.45,0.208,0.09%,-0.40
2018-05-02,TBR,DET,"L,2-3",1,0.2,0,0,0,0,0,0,0,2.45,2,8,6,1,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.23,0.063,0.03%,0.28
2018-05-05,TBR,TOR,"W,5-3",2,0.1,0,0,0,0,0,0,0,2.40,1,3,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.71,0.020,0.01%,0.23
2018-05-12,TBR,BAL,"W,10-3",6,1.1,0,0,0,1,1,0,0,2.20,4,19,8,4,1,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.41,0.149,0.04%,0.86
2018-05-14,TBR,KCR,"W,2-1",1,0.1,0,0,0,0,0,0,0,2.16,1,3,2,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.26,0.033,0.01%,0.11
2018-05-15,TBR,KCR,"W,6-5",0,1.2,2,2,2,1,1,0,0,2.95,8,28,15,2,3,5,1,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.81,0.049,0.01%,0.41
2018-05-20,TBR,LAA,"L,2-5",4,1.1,1,1,1,2,1,0,1,3.20,8,28,13,4,4,0,4,2,1,0,,1,1,2,0,0,3,1,0,0,0,2,0,1.27,-0.116,-0.06%,-0.88
2018-05-23,TBR,BOS,"L,1-4",2,1.2,0,0,0,0,4,0,0,2.95,5,30,17,7,5,0,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.34,0.168,0.07%,0.89
2018-05-28,TBR,OAK,"W,1-0",4,1.1,1,0,0,1,1,0,0,2.78,6,23,14,4,2,2,2,2,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,1.76,-0.031,-0.01%,-0.27
2018-06-01,TBR,SEA,"L,3-4",3,1.2,2,0,0,1,2,0,0,2.59,8,26,17,5,1,3,2,1,0,0,,0,0,0,0,0,7,1,0,1,0,0,0,2.58,0.157,0.07%,0.53
2018-06-03,TBR,SEA,"L,1-2",1,1.0,2,2,1,1,3,0,0,2.84,7,21,13,4,2,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,2.60,-0.547,-0.21%,-1.52
2018-06-06,TBR,WSN,"L,2-11",2,1.0,2,1,0,0,0,0,0,2.73,5,22,15,4,2,3,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,0.00%,-0.49
2018-06-10,TBR,SEA,"L,4-5",3,1.0,1,2,2,1,2,1,0,3.29,5,20,9,2,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.06,-0.286,-0.05%,-1.51
2018-06-12,TBR,TOR,"W,4-1",1,1.2,0,0,0,0,1,0,0,3.10,5,23,16,5,1,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.51,0.065,0.01%,0.76
2018-06-17,TBR,NYY,"W,3-1",4,0.1,1,0,0,2,1,0,0,3.07,4,19,8,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.33,-0.045,-0.01%,-0.28
2018-06-18,TBR,HOU,"L,4-5",0,0.1,2,0,0,0,1,0,0,3.03,3,10,7,3,0,2,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,1.84,-0.067,-0.01%,-0.49
2018-06-19,TBR,HOU,"W,2-1",0,0.1,1,0,0,0,0,0,0,3.00,2,7,4,0,1,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,4.44,-0.009,0.00%,-0.02
2018-06-22,TBR,NYY,"W,2-1",2,1.1,0,0,0,0,0,0,0,2.87,4,15,7,0,0,1,3,1,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.19,0.238,0.02%,1.09
2018-06-24,TBR,NYY,"W,7-6",1,1.1,0,1,1,1,2,0,0,3.03,5,25,14,8,2,1,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.53,0.141,0.02%,1.46
2018-06-26,TBR,WSN,"W,1-0",1,0.0,2,0,0,1,0,0,0,3.03,3,11,5,2,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,4.28,-0.401,-0.06%,-1.43
2018-06-29,TBR,HOU,"W,3-2",2,0.1,0,0,0,0,0,0,0,3.00,1,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.79,0.079,0.01%,0.23
2018-06-30,TBR,HOU,"W,5-2",0,1.1,0,0,0,1,2,0,0,2.88,5,21,13,0,2,2,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.34,0.089,0.01%,0.93
2018-07-03,TBR,MIA,"W,9-6",2,0.2,0,0,0,1,0,0,0,2.83,3,14,7,4,0,2,0,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,.92,0.042,0.01%,0.14
2018-07-06,TBR,NYM,"L,1-5",2,0.2,0,0,0,0,1,0,0,2.78,3,11,8,3,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,2.30,0.053,0.01%,0.24
2018-07-07,TBR,NYM,"W,3-0",0,0.1,1,0,0,0,0,0,0,2.75,2,5,3,1,0,0,2,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.35,0.009,0.00%,-0.03
2018-07-09,TBR,DET,"W,10-9",1,0.1,1,1,0,0,0,0,0,2.72,2,5,3,1,0,1,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.75,-0.032,0.00%,-0.55
