date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,LAD,SFG,"L,0-1",99,1.0,0,0,0,0,1,0,0,0.00,3,13,9,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.65,0.048,0.03%,0.47
2018-04-01,LAD,SFG,"W,9-0",2,1.0,0,0,0,0,1,0,0,0.00,3,9,7,4,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.011,0.01%,0.47
2018-04-02,LAD,ARI,"L,7-8",0,1.0,1,0,0,0,2,0,0,0.00,4,15,11,2,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.97,0.052,0.03%,0.51
2018-04-07,LAD,SFG,"L,5-7",4,1.0,1,0,0,0,1,0,0,0.00,4,14,11,2,1,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.85,0.127,0.07%,0.45
2018-04-08,LAD,SFG,"W,2-1",0,1.0,0,0,0,0,0,0,0,0.00,3,11,7,1,0,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.74,0.127,0.07%,0.45
2018-04-11,LAD,OAK,"L,6-16",2,1.0,2,1,1,0,2,0,0,1.50,5,27,17,4,4,1,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.16,-0.011,-0.01%,-0.53
2018-04-13,LAD,ARI,"L,7-8",1,1.0,0,0,0,1,2,0,0,1.29,4,22,14,5,4,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.25,0.013,0.01%,0.47
2018-04-16,LAD,SDP,"W,10-3",2,1.0,0,0,0,1,1,0,0,1.13,4,16,8,4,0,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.023,0.01%,0.45
2018-04-17,LAD,SDP,"W,7-3",0,1.0,1,0,0,0,2,0,0,1.00,4,15,10,3,3,0,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.20,0.015,0.01%,0.45
2018-04-22,LAD,WSN,"W,4-3",4,1.0,1,0,0,1,2,0,0,0.90,4,14,8,5,0,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.34,0.085,0.05%,0.47
