date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2017-04-05,NYM,ATL,"L,1-3",99,0.1,0,0,0,0,1,0,0,0.00,1,5,3,0,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.64,0.019,0.01%,0.59
2017-04-07,NYM,MIA,"L,2-7",1,0.1,3,2,2,2,1,0,0,27.00,6,27,11,4,3,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.47,-0.074,-0.05%,-3.07
2017-04-08,NYM,MIA,"L,1-8",0,1.0,0,0,0,1,1,0,0,10.80,4,19,11,2,5,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.78,0.036,0.02%,0.49
2017-04-10,NYM,PHI,"W,4-3",1,0.2,1,0,0,1,0,0,0,7.71,4,14,9,3,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.24,0.014,0.01%,0.07
2017-04-13,NYM,MIA,"W,9-8",2,3.0,1,0,0,1,5,0,0,3.38,11,38,26,9,9,3,2,0,1,0,,0,0,0,0,0,10,0,0,0,0,0,0,2.26,0.391,0.30%,1.40
2017-04-16,NYM,MIA,"L,2-4",2,1.0,0,0,0,0,1,0,0,2.84,3,8,6,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.021,0.02%,0.47
2017-04-18,NYM,PHI,"L,2-6",1,1.0,1,0,0,0,2,0,0,2.45,4,18,12,6,1,1,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.63,0.120,0.08%,0.69
2017-04-21,NYM,WSN,"L,3-4",2,1.1,1,1,1,1,1,0,0,3.12,6,22,16,3,1,1,3,1,1,0,,0,0,0,0,0,5,1,0,1,0,0,0,2.12,0.053,0.04%,0.08
2017-04-23,NYM,WSN,"L,3-6",1,1.0,2,2,2,0,0,1,0,4.66,5,18,11,1,1,1,4,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.60,-0.167,-0.10%,-1.52
2017-04-27,NYM,ATL,"L,5-7",3,2.2,0,0,0,0,4,0,0,3.65,8,41,28,6,7,2,2,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.26,0.052,0.02%,1.23
2017-04-30,NYM,WSN,"L,5-23",2,1.0,5,6,5,1,0,2,0,6.75,10,34,22,7,2,3,6,2,0,0,,0,0,0,0,0,9,2,0,0,0,0,1,.00,-0.002,0.00%,-5.46
2017-05-02,NYM,ATL,"L,7-9",1,0.1,2,2,2,0,0,0,0,7.90,3,6,4,0,0,2,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.22,-0.021,-0.01%,-0.91
2017-05-03,NYM,ATL,"W,16-5",0,1.0,0,0,0,0,2,0,0,7.36,3,15,10,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.52
2017-05-05,NYM,MIA,"W,8-7",1,1.0,2,2,2,1,2,0,2,8.04,8,32,21,9,3,2,1,1,0,0,,2,2,1,0,0,5,2,0,1,0,0,0,.82,-0.200,-0.11%,-3.28
2017-05-07,NYM,MIA,"L,0-7",1,0.1,0,0,0,2,0,0,0,7.88,3,14,6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,0.00%,0.10
2017-05-23,NYM,SDP,"W,9-3",15,1.0,1,1,1,0,2,1,0,7.94,4,13,11,3,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.25,0.000,0.00%,-0.52
2017-05-24,NYM,SDP,"L,5-6",0,1.0,2,1,1,0,0,1,0,8.00,5,19,12,4,1,2,3,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.22,-0.202,-0.09%,-0.52
2017-05-30,NYM,MIL,"W,5-4",5,3.0,2,0,0,1,4,0,0,6.86,12,48,33,9,7,4,3,2,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,2.58,0.403,0.17%,1.46
2017-06-02,NYM,PIT,"L,7-12",2,1.0,2,0,0,0,1,0,0,6.55,5,15,12,2,2,1,3,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.02,0.001,0.00%,0.49
2017-06-04,NYM,PIT,"L,1-11",1,1.0,3,3,3,1,1,1,0,7.43,7,27,20,8,3,2,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.00,-0.001,0.00%,-2.52
2017-06-06,NYM,TEX,"L,8-10",1,2.0,3,2,2,1,3,0,0,7.56,10,33,21,6,4,4,2,0,0,0,,0,0,1,0,0,9,1,0,0,0,0,0,.22,-0.019,-0.01%,-0.84
2017-06-13,NYM,CHC,"L,3-14",6,4.0,6,3,3,4,5,1,0,7.45,21,81,50,10,12,7,5,2,1,0,,1,0,1,0,0,17,1,0,1,1,0,0,.09,-0.005,0.00%,-1.17
2017-07-22,NYM,OAK,"W,6-5",38,1.0,1,0,0,0,0,0,0,7.20,4,17,11,4,0,1,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.008,0.00%,0.49
2017-07-23,NYM,OAK,"L,2-3",0,1.0,1,0,0,1,0,0,0,6.97,4,21,11,3,1,1,2,1,1,0,,0,0,1,1,0,3,0,0,0,0,0,0,.89,0.036,0.01%,0.49
2017-07-29,NYM,SEA,"L,2-3",5,1.0,1,0,0,0,2,0,0,6.75,4,24,13,4,3,1,1,0,0,0,,2,0,0,0,0,4,1,0,0,0,0,0,.32,0.024,0.00%,0.62
2017-07-30,NYM,SEA,"L,1-9",0,1.0,1,1,1,1,0,0,0,6.82,5,17,10,2,1,1,3,1,0,0,,0,0,0,0,0,3,1,0,0,0,1,0,.02,-0.003,0.00%,-0.50
2017-08-01,NYM,COL,"L,4-5",1,0.2,0,0,0,1,1,0,0,6.68,3,6,6,2,2,0,1,0,0,0,,1,0,0,0,0,2,0,0,1,0,0,0,1.34,0.069,0.01%,0.75
2017-08-03,NYM,COL,"L,4-5",1,0.2,0,0,0,0,1,0,0,6.55,2,9,4,1,1,0,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.20,0.067,0.01%,0.55
2017-08-04,NYM,LAD,"L,0-6",0,0.1,1,2,2,1,0,1,0,7.01,3,14,7,4,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.42,-0.083,-0.01%,-1.77
2017-08-06,NYM,LAD,"L,0-8",1,1.0,3,2,2,0,0,1,0,7.32,6,25,14,5,1,4,2,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.04,-0.012,0.00%,-1.52
2017-08-09,NYM,TEX,"L,1-5",2,2.0,5,1,1,2,3,0,0,7.17,12,52,30,8,4,4,3,2,0,0,,0,0,0,1,1,10,1,0,0,0,0,0,.38,-0.033,0.00%,-0.86
2017-08-11,NYM,PHI,"W,7-6",1,0.1,1,0,0,0,0,0,0,7.11,2,4,3,0,0,2,0,0,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,2.24,-0.111,0.00%,-0.84
