date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,CIN,PIT,"W,5-2",99,0.1,0,0,0,0,1,0,0,0.00,1,5,4,0,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.77,0.049,0.03%,0.22
2015-04-08,CIN,PIT,"W,5-4",1,1.0,0,0,0,0,0,0,0,0.00,3,14,7,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.38,0.102,0.07%,0.46
2015-04-09,CIN,PIT,"W,3-2",0,1.0,1,0,0,0,3,0,0,0.00,4,16,12,2,4,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.73,0.102,0.07%,0.46
2015-04-12,CIN,STL,"L,5-7",2,1.0,2,2,2,1,0,1,1,5.40,7,16,8,1,1,1,4,1,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.76,-0.273,-0.20%,-1.54
2015-04-13,CIN,CHC,"L,6-7",0,1.0,1,2,2,1,0,1,0,8.31,5,25,14,2,6,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.75,-0.353,-0.25%,-1.55
2015-04-18,CIN,STL,"L,2-5",4,1.0,1,0,0,0,2,0,0,6.75,5,21,13,4,1,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,.10,0.006,0.00%,0.47
2015-04-21,CIN,MIL,"W,16-10",2,1.0,1,0,0,0,2,0,0,5.68,4,20,13,3,3,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,0.010,0.01%,0.46
2015-04-24,CIN,CHC,"L,3-7",2,1.0,0,0,0,0,1,0,0,4.91,3,13,8,1,4,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.38,0.102,0.07%,0.46
2015-04-29,CIN,MIL,"L,3-8",4,1.0,3,5,5,0,2,1,1,9.72,8,34,22,3,5,2,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.11,-0.234,-0.14%,-4.54
2015-05-02,CIN,ATL,"W,8-4",2,0.1,1,0,0,0,1,0,0,9.35,2,7,4,2,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.05,0.006,0.00%,0.07
2015-05-05,CIN,PIT,"W,7-1",2,1.0,0,0,0,0,0,0,0,8.38,2,7,6,1,0,1,1,1,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,2.81,0.179,0.10%,1.43
2015-05-10,CIN,CHW,"L,3-4",4,1.0,1,1,1,0,0,0,0,8.44,4,13,7,1,0,4,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.61,-0.058,-0.03%,-0.53
2015-05-11,CIN,ATL,"L,1-2",0,1.0,0,0,0,0,1,0,0,7.71,3,16,10,4,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.38,0.102,0.06%,0.46
2015-05-12,CIN,ATL,"W,4-3",0,1.0,1,0,0,1,0,0,0,7.11,5,19,10,4,0,1,3,2,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.08,0.102,0.05%,0.46
2015-05-14,CIN,SFG,"W,4-3",1,0.2,0,0,0,0,0,0,0,6.75,2,4,3,0,1,0,2,2,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.10,0.105,0.06%,0.49
2015-05-16,CIN,SFG,"L,2-11",1,1.0,0,0,0,0,2,0,0,6.28,3,20,13,2,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.46
2015-05-17,CIN,SFG,"L,8-9",0,1.0,1,1,1,0,1,1,0,6.46,4,14,9,2,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.51,-0.092,-0.05%,-0.54
2015-05-22,CIN,CLE,"L,3-7",4,1.0,3,2,2,0,0,0,0,7.16,6,18,13,5,1,3,3,3,0,0,,0,0,0,0,0,6,1,1,0,0,0,0,.26,-0.041,-0.02%,-1.48
2015-05-24,CIN,CLE,"L,2-5",1,1.0,1,0,0,0,1,0,0,6.75,4,12,9,3,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.29,0.013,0.01%,0.52
2015-05-25,CIN,COL,"L,4-5",0,1.0,0,0,0,0,3,0,0,6.38,3,18,11,2,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.085,0.03%,0.46
2015-05-26,CIN,COL,"W,2-1",0,1.0,1,0,0,0,1,0,0,6.05,4,16,10,0,4,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.03,0.102,0.03%,0.46
2015-05-29,CIN,WSN,"W,5-2",2,0.2,1,0,0,0,2,0,0,5.85,3,13,9,2,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.025,0.01%,0.16
2015-06-02,CIN,PHI,"L,4-5",3,1.0,2,2,2,0,0,1,0,6.43,5,14,9,3,0,1,4,2,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.20,-0.355,-0.12%,-1.55
