date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-29,COL,ARI,"L,3-5",99,1.0,1,0,0,1,1,0,0,0.00,5,16,8,3,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.41,0.014,0.01%,0.51
2021-05-01,COL,ARI,"W,14-6",1,1.0,1,0,0,0,3,0,0,0.00,4,19,12,4,3,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.01,0.001,0.00%,0.51
2021-05-04,COL,SFG,"W,8-6",2,0.1,0,2,2,2,1,0,0,7.71,3,17,6,4,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.96,-0.058,-0.02%,-0.41
2021-05-08,COL,STL,"L,8-9",3,2.0,3,2,2,1,1,0,0,8.31,9,34,18,6,2,2,5,3,1,0,,0,0,1,0,0,7,2,0,0,1,1,0,.35,-0.097,-0.03%,-1.06
2021-05-15,COL,CIN,"L,5-6",6,0.1,0,0,0,0,0,0,0,7.71,1,4,2,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,4.67,0.123,0.03%,0.82
2021-05-16,COL,CIN,"L,6-7",0,0.1,3,1,1,0,0,0,0,9.00,4,12,8,2,1,2,2,1,0,0,,3,3,0,0,0,3,0,0,0,0,1,0,1.95,-0.181,-0.04%,-2.82
2021-05-19,COL,SDP,"L,0-3",2,0.1,1,0,0,0,0,0,0,8.44,2,7,5,2,0,1,1,1,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,.30,-0.029,0.00%,-0.69
2021-06-19,COL,MIL,"L,5-6",30,2.0,0,0,0,0,1,0,0,6.14,6,22,15,3,3,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.89,0.141,0.01%,1.15
2021-06-25,COL,MIL,"L,4-5",5,0.2,0,0,0,1,2,0,0,5.63,3,11,7,1,3,0,0,0,0,0,,0,0,0,0,0,2,0,0,1,0,0,0,3.34,0.200,0.01%,0.70
2021-06-27,COL,MIL,"L,0-5",1,2.0,1,1,1,1,4,0,0,5.40,8,32,18,6,5,0,3,2,0,0,,1,1,0,0,0,7,1,0,0,0,0,0,.26,-0.042,0.00%,-0.58
2021-07-02,COL,STL,"L,3-9",4,0.2,1,1,1,2,1,0,0,5.91,5,22,10,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.51,-0.325,-0.01%,-1.08
2021-07-04,COL,STL,"W,3-2",1,1.0,1,0,0,1,0,0,0,5.40,4,18,9,5,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,3.02,0.152,0.00%,0.57
2021-07-08,COL,ARI,"W,9-3",3,1.0,0,0,0,1,1,0,0,4.97,4,13,6,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.58,0.088,0.00%,0.51
2021-07-09,COL,SDP,"L,2-4",0,1.0,1,0,0,1,0,0,0,4.61,4,10,5,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.29,0.013,0.00%,0.47
2021-07-16,COL,LAD,"L,4-10",6,1.0,2,3,3,3,1,0,0,6.14,8,25,13,3,2,2,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,.73,-0.124,0.00%,-2.43
2021-07-23,COL,LAD,"W,9-6",6,1.0,0,0,0,0,1,0,0,5.74,3,12,8,5,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.32,0.024,0.00%,0.51
2021-07-26,COL,LAA,"L,2-6",2,0.1,2,2,2,1,0,0,0,6.75,4,11,7,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.32,-0.043,0.00%,-1.69
2021-07-27,COL,LAA,"W,12-3",0,0.1,2,1,1,2,0,0,0,7.16,5,24,12,6,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,-0.008,0.00%,-2.08
2021-09-01,COL,TEX,"W,9-5",35,0.1,2,3,3,2,0,0,0,8.64,4,17,6,1,2,2,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.78,-0.151,0.00%,-1.69
