date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-24,SDP,LAD,"L,0-3",99,1.1,1,1,1,1,0,0,0,6.75,6,35,23,2,1,4,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,1,0,.34,-0.020,-0.02%,-0.35
2015-04-27,SDP,HOU,"L,4-9",2,1.0,0,0,0,1,1,0,0,3.86,4,17,10,5,0,1,1,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.39,0.028,0.02%,1.05
2015-04-28,SDP,HOU,"L,3-14",0,1.1,3,2,1,0,2,0,0,4.91,7,25,17,4,4,3,2,2,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,.08,-0.005,0.00%,-1.10
2015-05-01,SDP,COL,"W,14-3",2,1.0,0,0,0,0,1,0,0,3.86,3,12,12,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.33,0.024,0.02%,0.44
2015-05-03,SDP,COL,"W,8-6",1,1.0,1,0,0,0,2,0,0,3.18,4,21,15,2,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.91,0.040,0.03%,0.44
2015-05-05,SDP,SFG,"L,0-6",1,1.0,1,0,0,1,1,0,0,2.70,5,24,13,3,0,0,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.02,0.001,0.00%,0.46
2015-05-07,SDP,ARI,"L,0-11",1,1.0,1,0,0,0,1,0,0,2.35,4,11,9,3,2,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,0.00%,0.49
2015-05-09,SDP,ARI,"W,6-4",1,2.0,1,0,0,0,3,0,0,1.86,7,33,23,8,4,3,1,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.76,0.223,0.15%,0.98
2015-05-14,SDP,WSN,"W,8-3",4,1.2,1,1,1,1,0,0,0,2.38,7,39,22,3,2,3,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,1,0,.21,0.005,0.00%,-0.42
2015-05-16,SDP,WSN,"L,1-4",1,1.0,1,0,0,0,0,0,0,2.19,3,9,6,1,0,2,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.14,0.009,0.01%,0.44
2015-05-20,SDP,CHC,"L,2-3",3,1.0,1,0,0,2,1,0,0,2.03,6,24,12,3,4,0,3,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,.85,0.032,0.02%,0.44
2015-05-23,SDP,LAD,"L,0-2",2,1.0,0,0,0,0,2,0,0,1.88,3,11,8,3,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.019,0.01%,0.44
2015-05-25,SDP,LAA,"L,3-4",1,0.1,1,1,1,1,0,0,0,2.45,3,15,7,2,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.27,-0.191,-0.09%,-0.69
2015-05-28,SDP,PIT,"L,5-11",2,1.0,2,0,0,1,1,0,0,2.30,6,28,17,3,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.03,0.001,0.00%,0.44
2015-05-30,SDP,PIT,"L,2-5",1,1.0,3,2,2,1,1,0,0,3.24,7,30,16,4,4,2,3,2,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,.55,-0.115,-0.06%,-1.56
2015-06-01,SDP,NYM,"L,0-7",1,1.0,2,1,1,0,1,0,0,3.57,4,17,12,3,2,0,3,3,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.08,-0.005,0.00%,-0.56
2015-06-06,SDP,CIN,"W,9-7",4,0.1,2,0,0,0,0,0,0,3.50,2,7,5,3,0,0,2,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.42,-0.037,-0.02%,-0.79
2015-06-08,SDP,ATL,"W,5-3",1,1.1,1,0,0,0,1,0,0,3.26,4,15,9,4,1,3,0,0,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,.56,0.055,0.03%,1.18
2015-06-10,SDP,ATL,"L,1-4",1,1.0,2,0,0,0,0,0,0,3.10,5,22,14,3,0,3,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.12,0.005,0.00%,0.45
2015-06-24,SDP,SFG,"L,0-6",13,1.0,0,0,0,0,1,0,0,2.95,3,12,8,2,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.46
2015-06-27,SDP,ARI,"W,7-2",2,1.0,0,0,0,0,1,0,0,2.82,3,24,16,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.44
