date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-28,TEX,CHC,"L,4-12",99,2.0,4,3,3,2,1,1,0,13.50,11,36,20,2,4,4,4,1,0,0,,0,0,0,0,0,9,1,0,0,1,0,0,.03,-0.006,0.00%,-1.77
2019-04-04,TEX,LAA,"W,11-4",6,2.0,0,1,0,0,3,0,0,6.75,8,33,23,5,4,5,0,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,.04,0.003,0.00%,0.08
2019-04-15,TEX,LAA,"W,12-7",10,2.2,1,1,1,2,1,0,0,5.40,11,39,24,10,2,3,5,3,0,0,,1,0,0,0,0,8,0,0,0,0,1,0,.72,0.117,0.06%,0.85
2019-04-19,TEX,HOU,"L,2-7",3,3.2,2,0,0,2,3,0,0,3.48,13,57,32,10,7,4,4,3,0,0,,2,1,0,0,0,11,1,0,0,1,0,0,.15,0.013,0.01%,2.13
2019-04-24,TEX,OAK,"L,5-6",4,3.0,4,3,3,3,2,1,0,4.73,16,66,41,14,7,2,9,5,1,0,38,,,0,0,0,13,0,0,0,0,0,0,1.06,-0.170,-0.12%,-1.43
2019-04-26,TEX,SEA,"L,4-5",1,0.1,1,1,1,2,1,0,0,5.27,5,28,13,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.38,-0.360,-0.23%,-2.08
2019-05-01,TEX,PIT,"L,5-7",4,1.1,3,3,3,3,1,0,0,6.60,10,46,22,2,5,2,4,3,0,0,,0,0,1,0,0,6,2,0,0,0,0,0,1.06,-0.291,-0.17%,-3.30
2019-05-05,TEX,TOR,"W,10-2",3,2.0,1,0,0,0,0,0,0,5.82,6,20,12,3,1,3,3,2,1,0,,0,0,0,0,0,6,0,0,0,1,0,0,.25,0.032,0.02%,1.23
2019-05-08,TEX,PIT,"W,9-6",2,1.0,2,2,2,0,1,1,0,6.50,5,15,9,2,2,1,3,2,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.34,-0.095,-0.05%,-1.49
2019-05-11,TEX,HOU,"L,4-11",2,1.0,6,4,4,0,1,1,0,8.05,8,25,18,6,3,3,4,4,0,0,,3,3,0,0,0,8,0,0,0,1,0,0,.79,-0.270,-0.17%,-4.15
2019-05-14,TEX,KCR,"L,5-11",2,2.1,1,0,0,0,1,0,1,7.17,9,39,25,7,1,4,3,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.17,0.021,0.01%,1.10
2019-05-18,TEX,STL,"L,2-8",3,0.1,1,1,1,2,1,0,0,7.48,4,20,10,5,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.39,-0.042,-0.02%,-0.87
2019-05-26,TEX,LAA,"L,6-7",7,0.2,0,1,0,2,1,0,0,7.25,4,14,6,2,1,0,1,1,0,0,,2,2,0,0,0,1,0,0,1,0,1,0,1.82,-0.301,-0.17%,-1.55
