date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-05-13,SEA,CLE,"L,2-4",99,4.0,5,4,4,0,5,2,0,9.00,18,71,52,9,10,0,13,6,2,0,41,,,1,0,0,18,0,0,0,0,0,0,.63,-0.223,-0.13%,-2.02
2021-05-19,SEA,DET,"L,2-6",5,2.2,4,3,3,2,2,0,0,9.45,14,74,43,8,6,3,7,4,0,0,38,,,0,0,0,12,1,0,0,0,0,0,1.33,-0.212,-0.11%,-1.95
2021-05-25,SEA,OAK,"W,4-3",5,4.0,4,2,2,0,4,0,1,7.59,17,78,51,12,5,5,7,5,0,0,50,,,0,0,0,16,2,0,0,0,0,0,1.04,0.000,0.00%,-0.02
2021-05-31,SEA,OAK,"W,6-5",5,6.0,5,2,2,1,5,0,1,5.94,24,80,47,15,6,4,13,7,1,0,58,,,0,0,0,21,4,0,0,1,1,0,.92,0.121,0.10%,0.97
2021-06-06,SEA,LAA,"W,9-5",5,5.0,2,1,1,4,7,1,1,4.98,23,105,64,8,18,4,7,2,1,0,62,,,1,0,0,17,1,0,1,0,0,1,1.27,0.193,0.10%,1.66
2021-06-13,SEA,CLE,"W,6-2",6,6.2,4,1,1,1,6,0,0,4.13,24,92,60,14,16,9,8,1,2,0,67,,,1,0,0,23,0,0,0,1,0,0,.68,0.232,0.09%,2.45
2021-06-19,SEA,TBR,"W,6-5",5,5.2,6,4,4,0,7,2,0,4.50,23,100,68,18,13,8,8,2,2,0,48,,,0,0,0,22,1,0,0,0,1,0,.84,-0.111,-0.05%,-1.13
2021-06-26,SEA,CHW,"W,3-2",6,2.0,1,0,0,0,3,0,0,4.25,6,28,19,4,5,2,1,0,0,0,57,,,0,0,0,6,0,0,0,1,0,0,.92,0.101,0.05%,1.05
2021-07-02,SEA,TEX,"W,5-4",5,5.2,5,3,2,2,6,0,0,4.10,23,101,65,11,11,7,8,5,0,0,53,,,0,0,0,21,1,0,0,0,0,1,.81,-0.080,-0.05%,-0.26
2021-07-08,SEA,NYY,"W,4-0",5,7.0,1,0,0,0,8,0,1,3.51,23,103,67,11,16,5,9,2,1,0,83,,,0,0,0,22,1,0,0,0,0,0,.84,0.329,0.16%,3.47
2021-07-18,SEA,LAA,"W,7-4",9,5.1,4,2,2,2,9,0,2,3.50,24,94,60,13,16,3,8,3,1,0,59,,,1,0,0,19,1,0,0,0,0,0,.98,0.204,0.13%,1.75
2021-07-24,SEA,OAK,"W,5-4",5,2.2,5,3,3,1,5,0,0,3.81,14,75,48,12,5,2,6,4,0,0,40,,,0,0,0,13,1,0,0,0,0,0,1.25,-0.227,-0.17%,-1.95
2021-07-30,SEA,TEX,"W,9-5",5,5.2,6,4,4,1,6,2,0,4.04,24,90,60,13,16,7,10,4,0,0,46,,,0,0,0,23,2,0,0,0,0,0,.50,0.039,0.02%,-1.01
2021-08-04,SEA,TBR,"L,3-4",4,5.0,4,3,3,4,6,0,0,4.14,23,86,52,11,11,7,6,3,0,0,49,,,0,0,0,18,2,1,0,0,1,0,.99,-0.150,-0.10%,-0.61
2021-08-10,SEA,TEX,"L,4-5",5,6.0,5,2,2,0,5,1,0,4.05,23,97,64,19,8,5,13,7,1,0,59,,,1,0,0,23,1,0,0,0,0,0,1.05,0.084,0.04%,0.97
2021-08-15,SEA,TOR,"L,3-8",4,4.0,8,5,5,0,3,2,0,4.42,20,88,60,9,7,6,11,3,4,0,29,,,1,0,0,20,1,0,0,0,0,0,.74,-0.329,-0.16%,-3.02
2021-08-21,SEA,HOU,"L,1-15",5,4.2,8,9,9,1,5,2,0,5.16,23,94,61,16,12,8,9,3,0,0,16,,,0,0,0,22,2,1,0,0,0,0,.49,-0.284,-0.20%,-4.82
2021-08-27,SEA,KCR,"L,7-8",5,4.0,9,5,5,1,5,1,0,5.44,22,91,60,15,10,7,9,4,0,0,28,,,1,0,0,21,3,0,0,0,0,0,1.09,-0.294,-0.18%,-3.02
2021-09-01,SEA,HOU,"W,1-0",4,5.0,4,0,0,0,4,0,0,5.14,19,94,62,11,18,4,11,5,3,0,63,,,0,0,0,19,1,0,0,0,0,0,.94,0.279,0.15%,2.48
2021-09-07,SEA,HOU,"L,4-5",5,4.1,6,2,2,1,5,1,0,5.10,21,84,53,11,11,2,13,3,1,0,47,,,0,0,0,20,1,0,0,0,0,1,.79,-0.121,-0.12%,-0.58
2021-09-13,SEA,BOS,"W,5-4",5,6.0,5,2,2,1,9,1,0,4.97,24,99,64,12,15,1,13,5,2,0,62,,,0,0,0,23,1,0,0,0,0,0,1.29,0.116,0.09%,0.97
2021-09-19,SEA,KCR,"W,7-1",5,7.0,3,1,1,1,5,0,0,4.74,25,99,61,10,10,6,13,2,4,0,71,,,2,0,0,24,1,0,0,0,0,0,.49,0.210,0.03%,2.83
2021-09-24,SEA,LAA,"W,6-5",4,5.1,5,4,4,3,4,1,0,4.83,24,110,70,12,9,7,10,4,0,0,43,,,1,0,0,21,2,0,1,0,0,0,1.02,0.027,0.02%,0.25
2021-09-29,SEA,OAK,"W,4-2",4,5.2,3,1,1,2,4,1,0,4.68,22,92,55,10,12,3,13,4,1,0,61,,,0,0,0,20,0,0,0,0,0,0,.99,0.144,0.23%,1.75
