date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-19,STL,CHC,"L,5-8",99,0.2,0,0,0,0,0,0,0,0.00,1,6,3,1,1,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,1,0,0,.15,0.004,0.00%,1.58
2018-04-21,STL,CIN,"W,4-3",1,0.2,1,1,1,0,0,0,0,6.75,3,9,6,2,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.58,0.024,0.02%,0.25
2018-04-24,STL,NYM,"L,5-6",2,0.2,0,0,0,0,1,0,0,4.50,2,7,5,1,2,0,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.10,0.106,0.07%,0.50
2018-04-26,STL,NYM,"W,4-3",1,0.2,2,1,1,2,0,0,0,6.75,6,24,11,3,2,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.22,-0.357,-0.26%,-1.28
2018-04-28,STL,PIT,"L,2-6",1,0.0,1,2,2,1,0,0,0,13.50,2,6,2,1,0,0,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,.81,-0.067,-0.05%,-0.98
2018-04-29,STL,PIT,"L,0-5",0,1.0,0,0,0,0,1,0,0,9.82,3,7,6,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,0.00%,0.46
2018-05-01,STL,CHW,"W,3-2",1,1.0,0,0,0,0,2,0,0,7.71,3,12,7,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.70,0.052,0.03%,0.47
2018-05-04,STL,CHC,"W,3-2",2,0.2,0,0,0,0,1,0,0,6.75,2,10,5,1,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.93,0.051,0.04%,0.65
2018-05-06,STL,CHC,"W,4-3",1,0.2,0,0,0,0,1,0,0,6.00,2,9,6,1,3,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.34,0.074,0.06%,0.65
2018-05-07,STL,MIN,"L,0-6",0,1.0,0,0,0,0,1,0,0,5.14,3,12,8,1,4,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.47
2018-05-11,STL,SDP,"W,9-5",3,1.0,2,2,2,0,1,1,0,6.75,5,14,11,4,2,2,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.09,0.002,0.00%,-1.55
2018-05-15,STL,MIN,"L,1-4",3,0.1,2,2,2,0,0,1,0,8.64,3,10,7,1,0,2,1,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,1.21,-0.239,-0.17%,-2.13
2018-07-13,STL,CIN,"L,1-9",58,0.2,1,0,0,1,0,0,0,8.00,4,14,6,3,0,0,3,1,1,0,,0,0,0,0,0,3,1,0,0,0,0,0,.63,-0.006,0.00%,-0.11
2018-07-14,STL,CIN,"L,2-8",0,0.1,0,0,0,0,0,0,0,7.71,1,3,2,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.11,0.003,0.00%,0.42
2018-07-20,STL,CHC,"W,18-5",5,1.0,2,0,0,0,1,0,0,6.97,5,14,9,1,2,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,1,0,1,.04,0.001,0.00%,0.50
2018-07-21,STL,CHC,"L,2-7",0,1.1,1,0,0,1,2,0,0,6.17,6,32,17,6,2,2,1,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.03,0.003,0.00%,0.73
2018-07-25,STL,CIN,"L,3-7",3,1.0,2,2,2,1,1,0,0,7.11,6,18,11,2,1,2,2,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.19,-0.045,-0.02%,-1.51
2015-04-06,HOU,CLE,"W,2-0",99,1.0,0,0,0,0,1,0,0,0.00,3,6,6,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.92,0.069,0.04%,0.47
2015-04-10,HOU,TEX,"W,5-1",3,1.0,1,0,0,0,2,0,0,0.00,4,15,11,3,3,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.54,0.019,0.01%,0.51
2015-04-12,HOU,TEX,"W,6-4",1,1.0,0,0,0,0,0,0,0,0.00,3,13,9,1,3,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.83,0.140,0.09%,0.51
2015-04-15,HOU,OAK,"W,6-1",2,1.0,1,0,0,0,0,0,0,0.00,4,11,8,2,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.006,0.00%,0.47
2015-04-18,HOU,LAA,"W,4-0",2,1.0,0,0,0,0,2,0,0,0.00,3,16,11,4,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.01%,0.47
2015-04-19,HOU,LAA,"W,4-3",0,1.0,0,0,0,0,1,0,0,0.00,3,9,7,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.09,0.156,0.10%,0.47
2015-04-20,HOU,SEA,"W,7-5",0,1.0,0,0,0,1,1,0,0,0.00,4,16,10,2,5,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.27,0.083,0.06%,0.46
2015-04-24,HOU,OAK,"W,5-4",3,1.0,3,2,2,0,1,0,0,2.25,5,22,15,4,1,3,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,2.06,-0.415,-0.31%,-1.53
2015-04-26,HOU,OAK,"W,7-6",1,1.0,0,0,0,0,0,0,0,2.00,3,6,4,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.56,0.191,0.15%,0.47
2015-04-29,HOU,SDP,"W,7-2",2,1.0,0,1,0,0,0,0,0,1.80,4,12,9,3,0,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,1,.09,0.002,0.00%,-0.56
2015-04-30,HOU,SEA,"W,3-2",0,1.0,1,0,0,0,0,0,0,1.64,3,11,10,1,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.91,0.132,0.11%,0.47
2015-05-01,HOU,SEA,"W,4-3",0,1.0,2,2,2,0,1,2,0,3.00,5,20,14,3,3,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.30,0.031,0.03%,-1.53
2015-05-03,HOU,SEA,"W,7-6",1,1.0,0,0,0,1,1,0,0,2.77,3,17,9,1,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.91,0.156,0.13%,0.47
