date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-06-05,SFG,ARI,"L,2-3",99,6.0,8,2,2,0,3,0,0,3.00,25,82,58,17,10,15,7,6,1,0,51,,,0,0,0,24,3,0,0,1,0,0,.84,0.022,0.02%,0.70
2018-06-11,SFG,MIA,"L,5-7",5,5.1,6,4,4,1,3,1,0,4.76,24,91,50,13,5,6,14,7,3,0,42,,,0,0,0,22,2,1,0,0,1,1,1.29,-0.410,-0.28%,-2.14
2018-06-16,SFG,LAD,"L,1-3",4,6.0,5,3,3,4,3,2,0,4.67,27,112,64,18,5,9,11,4,2,0,49,,,0,0,0,22,1,0,1,0,0,0,.91,-0.133,-0.08%,-0.16
2018-06-21,SFG,SDP,"W,3-0",4,8.0,3,0,0,2,8,0,0,3.20,29,100,69,26,8,9,10,3,3,0,82,,,0,0,0,27,2,0,1,0,0,0,1.22,0.551,0.35%,3.60
2018-06-27,SFG,COL,"W,1-0",5,7.0,2,0,0,2,8,0,0,2.51,25,101,66,18,11,5,10,3,2,0,79,,,0,0,0,23,1,0,0,0,0,0,1.10,0.424,0.30%,3.15
2018-07-02,SFG,COL,"L,2-5",4,6.0,8,3,2,3,5,0,0,2.58,29,89,61,13,9,9,12,7,3,0,48,,,0,0,0,26,1,0,0,0,0,0,1.42,0.088,0.08%,1.55
2018-07-08,SFG,STL,"W,13-8",5,5.1,7,4,4,2,6,1,1,3.09,25,101,61,22,13,6,10,6,0,0,42,,,1,0,0,22,0,0,0,1,0,0,1.23,-0.277,-0.16%,-1.78
2018-07-13,SFG,OAK,"W,7-1",4,6.0,3,1,1,3,5,1,0,2.90,24,102,64,17,8,7,9,5,0,0,64,,,1,0,0,21,0,0,0,0,0,0,1.13,-0.135,-0.09%,-0.12
2018-07-21,SFG,OAK,"L,3-4",7,4.0,2,3,3,6,5,0,0,3.19,19,92,47,12,10,3,5,1,4,0,45,,,1,0,0,13,1,0,0,1,0,0,1.30,-0.223,-0.14%,-1.86
2018-07-27,SFG,MIL,"L,1-3",5,8.0,6,3,2,1,5,0,0,3.06,32,108,76,19,12,14,12,8,2,0,64,,,1,0,0,30,3,0,0,0,0,1,1.27,-0.078,-0.04%,0.60
2018-08-02,SFG,ARI,"W,8-1",5,5.0,7,1,1,3,5,0,0,2.97,25,101,66,9,10,7,10,7,0,0,51,,,1,0,0,21,2,0,0,0,1,0,1.57,0.183,0.09%,1.54
2018-08-07,SFG,HOU,"L,1-2",4,7.0,5,0,0,3,7,0,0,2.69,28,100,64,19,13,7,11,4,1,0,71,,,3,0,0,25,1,2,1,0,0,0,1.42,0.445,0.14%,3.15
2018-08-13,SFG,LAD,"W,5-2",5,6.0,7,2,2,2,4,1,0,2.71,26,97,62,20,7,8,12,6,2,0,52,,,2,0,0,24,1,0,0,0,0,0,.96,0.031,0.01%,0.84
2018-08-18,SFG,CIN,"L,1-7",4,6.0,8,6,5,2,6,2,0,3.05,28,100,69,16,9,5,15,7,1,0,38,,,1,0,0,25,3,0,0,0,1,0,.80,-0.206,-0.04%,-3.04
2018-08-23,SFG,NYM,"W,3-1",4,8.0,5,1,1,0,8,1,1,2.88,29,109,71,14,11,9,11,6,1,0,76,,,0,0,0,28,0,0,0,1,0,0,1.26,0.376,0.02%,2.55
2018-08-28,SFG,ARI,"W,1-0",4,7.0,4,0,0,4,5,0,0,2.68,31,107,66,19,11,7,15,7,3,0,70,,,0,0,0,27,1,0,0,0,0,2,1.77,0.424,0.06%,3.15
2018-09-03,SFG,COL,"L,8-9",5,5.0,8,7,6,1,6,3,1,3.07,24,92,57,12,7,6,10,3,1,0,30,,,0,0,0,22,1,0,0,2,0,1,.60,-0.332,-0.01%,-4.17
2018-09-09,SFG,MIL,"L,3-6",5,6.0,4,5,5,1,4,1,1,3.30,24,95,59,17,15,5,13,5,1,0,47,,,1,0,0,22,1,0,0,0,0,0,1.20,-0.325,0.00%,-2.04
2018-09-15,SFG,COL,"W,3-0",5,6.0,5,0,0,1,2,0,1,3.14,24,64,41,10,3,14,6,4,0,0,63,,,1,0,0,21,1,0,0,2,0,1,1.08,0.272,0.00%,2.70
2018-09-21,SFG,STL,"L,3-5",5,6.0,8,3,3,1,5,0,0,3.20,27,98,64,22,7,12,9,4,1,0,48,,,0,0,0,25,2,0,0,0,0,0,.99,-0.095,0.00%,-0.19
2018-09-28,SFG,LAD,"L,1-3",6,6.0,7,3,3,1,6,1,0,3.26,26,112,81,22,7,8,11,5,1,0,51,,,0,0,0,25,0,0,0,1,0,1,1.13,-0.120,0.00%,-0.30
2019-03-28,SFG,SDP,"L,0-2",99,7.0,5,2,2,1,9,1,0,2.57,25,92,66,15,15,4,11,4,1,0,67,,,0,1,1,24,1,0,0,1,0,0,.69,0.071,0.05%,1.52
2019-04-02,SFG,LAD,"L,5-6",4,6.0,5,5,0,2,4,1,0,1.38,25,95,58,19,7,9,10,4,2,0,54,,,0,0,0,23,0,0,0,0,0,1,.85,-0.233,-0.14%,-1.95
2019-04-08,SFG,SDP,"L,5-6",5,6.0,4,5,5,1,3,2,2,3.32,25,93,63,18,8,8,11,4,2,0,46,,,0,0,0,21,1,0,0,0,0,0,.86,-0.086,-0.04%,-1.51
2019-04-13,SFG,COL,"W,5-2",4,7.0,6,2,2,0,7,1,0,3.12,26,98,67,17,10,8,11,6,0,0,64,,,0,0,0,26,2,0,0,0,0,0,1.07,0.075,0.04%,0.85
2019-04-19,SFG,PIT,"L,1-4",5,6.0,6,4,4,1,7,0,0,3.66,25,100,66,17,13,8,9,6,2,0,50,,,1,1,1,24,1,0,0,0,0,1,.38,-0.221,-0.10%,-0.95
2019-04-26,SFG,NYY,"L,3-7",6,5.2,11,5,5,0,5,0,0,4.30,27,104,72,14,9,10,12,8,0,0,32,,,0,0,0,25,3,0,0,0,0,0,.86,-0.247,-0.11%,-2.62
2019-05-01,SFG,LAD,"W,2-1",4,6.0,4,1,1,2,8,0,0,3.92,24,114,78,16,15,4,10,3,1,0,66,,,1,0,0,22,1,0,0,0,0,0,1.42,0.199,0.08%,1.98
2019-05-07,SFG,COL,"W,14-4",5,6.0,8,3,3,1,8,2,0,3.99,26,102,69,16,15,6,11,4,1,0,51,,,0,0,0,25,1,1,0,0,0,0,.94,0.117,0.05%,0.75
2019-05-12,SFG,CIN,"W,6-5",4,6.0,8,4,3,0,7,1,0,4.04,26,107,71,13,14,6,12,7,1,0,49,,,1,0,0,25,2,0,0,0,0,0,.91,-0.146,-0.04%,-1.02
2019-05-18,SFG,ARI,"W,8-5",5,6.1,5,4,4,3,6,1,0,4.21,27,105,67,18,9,6,12,5,0,0,50,,,0,0,0,23,2,0,0,1,0,1,1.00,-0.023,-0.01%,-0.70
2019-05-23,SFG,ATL,"L,4-5",4,6.0,6,2,2,2,6,1,0,4.10,25,102,71,15,17,8,9,5,1,0,56,,,0,0,0,23,0,0,0,1,0,0,1.24,0.109,0.04%,0.98
2019-05-29,SFG,MIA,"L,2-4",5,6.0,6,2,2,1,4,0,1,4.01,25,81,55,10,5,8,11,5,1,0,55,,,0,0,0,22,1,0,1,0,1,0,1.12,0.172,0.02%,1.60
2019-06-04,SFG,NYM,"W,9-3",5,6.0,6,3,3,2,5,2,1,4.05,25,95,64,14,11,5,12,5,3,0,51,,,0,0,0,22,0,0,0,2,0,0,1.26,-0.172,-0.02%,-0.08
2019-06-09,SFG,LAD,"L,0-1",4,7.0,4,1,1,1,5,1,0,3.83,24,86,55,14,9,8,10,3,1,0,69,,,0,0,0,23,0,0,0,2,0,0,.78,0.250,0.03%,2.48
2019-06-15,SFG,MIL,"W,8-7",5,6.0,5,5,3,3,6,1,0,3.87,27,101,69,17,14,4,14,5,3,0,49,,,0,0,0,22,1,0,0,0,2,1,.76,-0.191,-0.03%,-2.02
2019-06-20,SFG,LAD,"L,8-9",4,3.2,10,6,6,1,3,2,1,4.28,23,88,59,13,11,6,12,8,0,0,19,,,2,0,0,21,2,0,0,0,0,0,.76,-0.251,-0.03%,-4.75
2019-06-25,SFG,COL,"W,4-2",4,6.0,3,2,2,3,11,1,0,4.21,24,97,64,15,17,3,7,1,2,0,66,,,0,0,0,21,2,0,1,0,0,0,1.23,0.106,0.01%,0.98
2019-06-30,SFG,ARI,"W,10-4",4,7.0,4,1,1,0,9,0,0,4.02,25,96,67,14,9,6,10,7,1,0,74,,,0,0,0,24,0,1,0,0,1,0,.76,0.265,0.02%,2.48
2019-07-06,SFG,STL,"W,8-4",5,2.0,4,1,1,0,2,0,0,4.03,10,39,27,3,6,3,5,1,1,0,46,,,0,0,0,9,0,0,0,0,0,0,1.34,-0.004,0.00%,-0.01
2019-07-13,SFG,MIL,"L,4-5",6,5.0,7,1,0,1,6,0,0,3.86,22,103,66,15,12,7,8,4,1,0,56,,,4,0,0,21,4,0,0,0,0,1,1.42,0.156,0.03%,1.67
2019-07-18,SFG,NYM,"W,3-2",4,9.0,5,1,1,1,6,0,0,3.65,31,94,64,14,15,12,12,6,1,0,78,,,0,0,0,30,2,0,1,2,0,0,1.21,0.559,0.19%,3.47
2019-07-23,SFG,CHC,"W,5-4",4,7.0,6,3,3,1,7,0,1,3.66,28,102,67,15,14,10,9,6,0,0,59,,,2,0,0,26,2,0,0,1,0,0,1.03,0.070,0.03%,0.48
2019-07-28,SFG,SDP,"W,7-6",4,7.0,4,4,4,2,6,1,1,3.74,27,86,61,14,8,5,13,1,1,0,57,,,0,0,0,23,0,0,0,1,1,0,1.28,0.022,0.01%,-0.49
2019-08-03,SFG,COL,"W,6-5",5,5.0,8,5,5,1,2,2,0,3.92,24,91,57,14,5,2,19,5,3,0,32,,,0,0,0,23,2,0,0,0,0,0,1.05,-0.223,-0.09%,-1.88
