date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,CIN,PIT,"W,5-2",99,0.0,1,0,0,0,0,0,0,---,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.95,-0.025,-0.02%,-0.12
2015-04-10,CIN,STL,"W,5-4",3,0.1,1,0,0,1,0,0,0,0.00,2,5,1,0,0,1,0,0,0,0,,2,1,0,0,0,1,0,0,1,0,0,0,3.05,-0.118,-0.09%,-0.55
2015-04-11,CIN,STL,"L,1-4",0,0.2,0,0,0,0,1,0,0,0.00,2,5,4,0,3,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.26,0.016,0.01%,1.15
2015-04-13,CIN,CHC,"L,6-7",1,0.0,1,1,1,2,0,0,0,9.00,3,18,7,2,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.60,-0.306,-0.21%,-1.82
2015-04-15,CIN,CHC,"L,0-5",1,1.0,2,0,0,0,0,0,0,4.50,5,15,9,0,1,3,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,.06,0.004,0.00%,0.46
2015-04-18,CIN,STL,"L,2-5",2,0.1,0,0,0,0,0,0,0,3.86,1,4,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.22,0.006,0.00%,0.31
2015-04-23,CIN,MIL,"L,2-4",4,1.0,2,1,0,0,2,0,0,2.70,5,16,11,5,2,1,2,2,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.62,-0.058,-0.04%,-0.54
2015-05-27,CIN,COL,"L,4-6",33,1.2,0,0,0,0,1,0,0,1.80,5,20,16,3,1,2,2,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.09,0.012,0.00%,0.83
2015-05-31,CIN,WSN,"W,8-2",3,1.0,0,0,0,0,0,0,0,1.50,3,15,10,2,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,0.00%,0.46
2015-06-03,CIN,PHI,"L,4-5",2,0.2,0,0,0,0,0,0,0,1.35,2,10,7,1,0,1,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,4.61,0.200,0.06%,0.86
2015-06-08,CIN,PHI,"W,6-4",4,1.0,0,0,0,0,1,0,0,1.17,3,11,9,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.89,0.067,0.02%,0.46
2015-06-09,CIN,PHI,"W,11-2",0,0.2,0,0,0,0,0,0,0,1.08,2,3,3,1,0,1,1,1,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,.72,0.029,0.01%,0.53
2015-06-13,CIN,CHC,"L,3-4",3,1.0,0,0,0,0,1,0,0,0.96,3,18,11,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.98,0.072,0.03%,0.46
2015-06-14,CIN,CHC,"L,1-2",0,0.1,0,0,0,0,1,0,0,0.93,1,7,4,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.46,0.040,0.01%,0.21
