date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-08-06,BAL,TBR,"L,6-10",99,1.2,0,0,0,0,3,0,0,0.00,5,22,14,4,3,1,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.09,0.012,0.00%,1.49
2021-08-10,BAL,DET,"L,4-9",3,2.0,0,0,0,0,1,0,0,0.00,6,22,14,6,2,2,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.29,0.045,0.00%,1.07
2021-08-12,BAL,DET,"L,4-6",1,1.2,0,0,0,1,1,0,0,0.00,6,33,20,5,1,2,2,0,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,.43,0.057,0.00%,1.51
2021-08-15,BAL,BOS,"L,2-6",2,1.0,0,0,0,0,1,0,0,0.00,3,16,9,1,2,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.47,0.037,0.00%,0.57
2021-08-17,BAL,TBR,"L,0-10",1,1.0,1,1,0,0,1,0,0,0.00,5,18,13,1,5,2,2,1,1,0,,1,1,0,0,0,5,1,0,0,0,0,1,.08,-0.010,0.00%,-1.14
2021-08-19,BAL,TBR,"L,2-7",1,1.2,1,0,0,1,3,0,0,0.00,7,32,19,5,5,1,2,1,0,0,,3,3,0,0,0,6,0,0,0,0,0,0,.31,-0.033,0.00%,-0.98
2021-08-21,BAL,ATL,"L,4-5",1,2.0,0,0,0,1,1,0,0,0.00,7,31,19,4,3,2,3,0,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.89,0.118,0.00%,1.07
2021-08-24,BAL,LAA,"L,8-14",2,1.1,3,1,1,0,2,0,0,0.73,7,22,17,3,3,2,3,3,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.11,-0.004,0.00%,-0.22
2021-08-25,BAL,LAA,"W,10-6",0,0.0,3,3,3,1,0,1,0,2.92,4,14,7,3,1,1,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.06,-0.266,0.00%,-3.39
2021-08-27,BAL,TBR,"L,3-6",1,2.0,0,0,0,0,1,0,0,2.51,6,23,16,5,1,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.08,0.013,0.00%,1.07
2021-08-30,BAL,TOR,"L,3-7",2,1.1,1,3,3,2,0,1,0,4.02,7,29,14,3,1,3,2,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.69,-0.034,0.00%,-1.61
2021-09-01,BAL,TOR,"L,4-5",1,0.2,0,0,0,0,0,0,0,3.86,1,3,2,1,0,0,1,0,0,0,,2,1,0,0,0,0,0,0,0,0,1,0,3.05,-0.054,0.00%,0.44
2021-09-04,BAL,NYY,"W,4-3",2,1.0,2,1,1,0,0,0,0,4.15,4,14,9,2,1,3,1,0,0,0,,2,1,0,0,0,4,0,0,0,1,0,0,2.72,0.045,0.00%,0.14
2021-09-05,BAL,NYY,"W,8-7",0,1.0,1,1,1,1,0,1,0,4.42,5,19,8,3,0,0,4,0,1,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.00,-0.156,0.00%,-1.48
2021-09-08,BAL,KCR,"W,9-8",2,0.2,1,1,1,0,0,1,0,4.74,3,11,7,2,0,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,-0.027,0.00%,-0.71
2021-09-11,BAL,TOR,"L,10-11",2,0.2,2,2,2,2,0,0,0,5.49,6,19,8,2,1,2,2,0,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.64,-0.076,0.00%,-1.99
2021-09-14,BAL,NYY,"L,2-7",2,1.0,0,0,0,2,1,0,0,5.23,4,24,14,3,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.22,0.014,0.00%,0.54
2021-09-17,BAL,BOS,"L,1-7",2,1.0,1,0,0,0,1,0,0,4.98,4,27,17,2,4,1,2,1,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,.83,-0.024,0.00%,-0.03
2021-09-21,BAL,PHI,"L,2-3",3,2.0,2,0,0,1,2,0,0,4.56,8,34,23,4,5,3,2,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.93,0.106,0.00%,1.01
2021-09-25,BAL,TEX,"W,3-2",3,2.0,2,0,0,2,2,0,0,4.21,9,35,22,9,5,2,3,1,0,0,,0,0,0,0,0,7,1,0,0,1,0,0,1.33,0.130,0.00%,1.07
2021-09-28,BAL,BOS,"W,4-2",2,2.0,1,1,1,0,3,1,0,4.23,7,22,18,6,5,1,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.68,-0.022,0.00%,0.07
2021-10-01,BAL,TOR,"L,4-6",2,1.0,0,0,0,0,0,0,0,4.08,3,15,8,4,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,0.00%,0.53
2021-10-03,BAL,TOR,"L,4-12",1,1.1,1,2,2,1,1,1,0,4.50,6,27,16,1,4,1,3,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.49,-0.060,0.00%,-1.02
