date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-02,CLE,LAA,"W,6-0",99,1.0,1,0,0,0,0,0,1,0.00,5,15,10,4,2,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.003,0.00%,0.50
2018-04-03,CLE,LAA,"L,2-13",0,2.0,0,0,0,0,1,0,0,0.00,6,23,14,3,2,1,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.00,0.001,0.00%,1.00
2018-04-12,CLE,DET,"W,9-3",8,1.0,0,0,0,0,0,0,0,0.00,3,11,8,1,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,0.00%,0.53
2018-04-13,CLE,TOR,"L,4-8",0,1.1,3,3,3,0,1,0,1,5.06,8,33,21,3,2,2,4,4,0,0,,0,0,1,0,0,7,2,0,0,0,0,0,.82,-0.099,-0.07%,-2.65
2018-04-18,CLE,MIN,"L,1-2",4,1.0,3,1,1,0,0,1,0,5.68,6,13,11,2,2,3,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.62,-0.294,-0.25%,-0.48
2018-04-24,CLE,CHC,"L,3-10",5,1.0,2,2,2,1,0,0,0,7.36,6,21,11,2,2,3,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.01,-0.002,0.00%,-1.47
2018-04-28,CLE,SEA,"L,4-12",3,2.1,0,0,0,0,1,0,0,5.59,7,24,19,3,1,1,5,0,2,0,,2,0,0,0,0,7,0,0,0,0,0,0,.05,0.009,0.01%,1.57
2018-05-01,CLE,TEX,"L,6-8",2,1.0,0,0,0,0,1,0,0,5.06,3,13,10,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,0.00%,0.53
2018-06-13,MIN,DET,"L,2-5",42,0.1,0,0,0,0,0,0,0,4.91,1,1,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.20,0.005,0.00%,0.33
2018-06-16,MIN,CLE,"W,9-3",2,1.0,3,0,0,0,1,0,0,4.50,6,19,15,4,1,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.19,0.008,0.01%,0.53
2018-06-17,MIN,CLE,"L,1-4",0,0.2,0,0,0,0,1,0,0,4.26,2,14,10,1,2,0,1,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,.32,0.014,0.01%,0.55
2018-06-21,MIN,BOS,"L,2-9",3,1.0,4,3,3,0,1,1,0,5.93,7,23,16,6,1,1,5,2,1,0,,0,0,0,0,0,7,2,0,0,0,0,0,.06,-0.015,-0.01%,-2.48
2018-06-22,MIN,TEX,"L,1-8",0,1.0,5,4,4,0,1,0,0,7.98,8,25,14,2,2,4,3,2,0,0,,0,0,0,0,0,8,2,0,0,0,0,0,.24,-0.033,-0.01%,-3.48
2018-06-26,MIN,CHW,"L,4-8",3,1.0,0,0,0,1,2,0,0,7.47,4,23,15,1,6,0,1,0,1,0,,3,1,0,0,0,3,0,0,0,0,0,0,.15,0.005,0.00%,1.34
2018-06-29,MIN,CHC,"L,6-10",2,1.0,2,1,1,1,0,0,0,7.56,6,13,8,2,1,3,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.04,-0.006,0.00%,-0.50
2018-06-30,MIN,CHC,"L,9-14",0,1.2,2,0,0,0,2,0,0,6.87,6,16,14,3,4,2,2,2,0,0,,3,0,0,0,0,6,1,0,0,1,0,0,.08,0.009,0.00%,2.08
2018-07-06,MIN,BAL,"W,6-2",5,1.0,0,0,0,0,0,0,0,6.52,3,10,6,0,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.31,0.024,0.00%,0.52
2018-07-08,MIN,BAL,"W,10-1",1,1.0,0,0,0,0,0,0,0,6.20,3,11,8,3,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.52
2018-07-10,MIN,KCR,"L,4-9",1,1.1,1,0,0,1,2,0,0,5.82,6,29,18,3,4,3,0,0,0,0,,2,0,1,0,0,5,0,0,0,0,0,0,.38,0.029,0.01%,1.03
2018-07-13,MIN,TBR,"W,11-8",2,0.1,0,0,0,0,1,0,0,5.73,1,3,3,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.33,0.038,0.01%,0.24
2018-07-14,MIN,TBR,"L,6-19",0,1.0,6,5,5,0,1,1,0,7.43,8,26,19,3,4,4,3,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.29,-0.070,-0.03%,-4.48
2018-07-20,MIN,KCR,"L,5-6",5,1.0,0,0,0,0,0,0,0,7.13,3,18,13,3,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.51
2018-07-23,MIN,TOR,"W,8-3",2,1.2,1,0,0,1,3,0,0,6.66,7,28,17,4,5,2,1,0,0,0,,3,0,0,0,0,6,0,0,0,0,0,0,.37,0.041,0.01%,2.08
2018-07-25,MIN,TOR,"W,12-6",1,2.0,3,0,0,0,2,0,0,6.18,8,26,20,2,7,0,6,5,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,3.03,0.275,0.10%,1.00
2018-07-27,MIN,BOS,"L,3-4",1,0.0,1,1,1,0,0,1,0,6.51,1,2,2,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.29,-0.357,-0.15%,-1.00
2018-07-31,MIN,CLE,"L,2-6",3,0.2,3,2,2,1,0,0,0,6.99,6,14,10,5,0,3,2,1,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,1.66,-0.202,-0.13%,-1.99
