date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-07-02,SFG,MIA,"L,4-5",99,5.0,7,5,5,4,2,2,0,9.00,25,89,51,14,4,9,10,5,2,0,31,,,1,0,0,21,1,0,0,1,0,0,1.13,-0.436,-0.37%,-2.78
2015-07-07,SFG,NYM,"W,3-0",4,6.0,2,0,0,2,7,0,0,4.09,21,95,66,14,12,6,6,1,0,0,73,,,0,0,0,19,1,1,0,0,0,0,.98,0.303,0.21%,2.76
2015-07-17,SFG,ARI,"W,6-5",9,5.0,8,4,4,0,5,1,0,5.06,23,83,57,15,11,5,13,9,0,0,40,,,1,0,0,21,3,1,0,0,2,0,.80,-0.212,-0.18%,-1.56
2015-07-22,SFG,SDP,"W,7-1",4,6.0,5,1,1,1,6,1,0,4.09,24,101,62,16,12,4,13,3,2,0,63,,,1,1,0,23,1,0,0,0,0,1,.92,0.168,0.16%,1.64
2015-07-28,SFG,MIL,"L,2-5",5,6.0,8,4,4,0,3,0,0,4.50,26,82,62,15,8,6,17,10,5,0,43,,,0,0,0,25,3,1,0,0,1,0,.65,-0.202,-0.19%,-1.24
2015-08-03,SFG,ATL,"L,8-9",5,5.0,10,4,4,1,1,1,1,4.91,25,80,54,13,3,10,12,7,0,0,31,,,0,0,0,23,2,0,0,2,0,0,.65,-0.021,-0.02%,-1.36
2015-08-08,SFG,CHC,"L,6-8",4,4.0,6,5,5,5,2,1,2,5.59,24,98,56,19,8,6,9,6,0,0,27,,,0,0,0,17,2,0,0,1,0,0,1.38,-0.283,-0.31%,-2.15
2015-08-14,SFG,WSN,"W,8-5",5,4.2,6,5,5,1,3,2,1,6.05,23,83,48,10,6,8,10,4,0,0,34,,,1,0,0,19,2,0,0,0,1,1,.88,-0.250,-0.25%,-3.12
2015-08-19,SFG,STL,"L,3-4",4,6.0,6,2,2,1,6,1,0,5.66,24,88,58,19,11,7,10,6,1,0,57,,,0,0,0,23,1,0,0,0,0,0,.83,0.061,0.06%,0.81
2015-08-25,SFG,CHC,"L,5-8",5,5.0,8,6,6,2,3,2,0,6.15,23,73,45,18,2,9,9,7,0,0,28,,,0,0,0,21,1,0,0,2,0,0,.74,-0.306,-0.35%,-3.70
2015-09-19,SFG,ARI,"L,0-6",24,1.0,1,1,1,2,2,0,0,6.20,6,32,19,2,6,2,0,0,0,0,,0,0,3,0,0,4,0,0,0,0,0,0,.25,-0.024,0.00%,-0.54
2015-09-26,SFG,OAK,"W,14-10",6,2.0,2,2,2,0,0,1,0,6.31,8,24,14,2,3,0,8,3,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,.48,-0.144,0.00%,-1.06
2015-10-04,SFG,COL,"L,3-7",7,5.0,2,0,0,1,1,0,0,5.79,19,65,43,8,3,3,14,5,5,0,63,,,0,0,0,18,0,1,0,0,0,1,.85,0.254,0.00%,2.30
2017-04-07,SFG,SDP,"L,6-7",99,4.1,6,4,4,3,3,2,0,8.31,24,85,45,9,6,9,9,3,3,0,35,,,1,0,0,21,1,0,0,0,0,2,.95,-0.261,-0.15%,-3.11
2017-04-12,SFG,ARI,"W,6-2",4,5.0,5,1,1,3,6,0,0,4.82,23,92,51,21,5,6,7,4,0,1,56,,,1,0,0,19,1,1,0,0,1,0,.88,0.008,0.00%,0.54
2017-04-18,SFG,KCR,"W,2-1",5,7.0,4,1,1,2,3,1,0,3.31,25,86,55,11,7,5,15,4,3,0,66,,,1,1,1,23,1,0,0,1,0,0,1.09,0.299,0.13%,2.74
2017-04-24,SFG,LAD,"W,2-1",5,6.0,2,0,0,1,3,0,0,2.42,21,70,43,17,3,9,8,4,1,0,70,,,0,0,0,20,0,0,0,0,0,0,.99,0.369,0.14%,3.04
2017-04-29,SFG,SDP,"L,4-12",4,5.0,6,1,1,0,7,0,0,2.30,20,86,57,19,9,7,6,4,0,0,58,,,2,1,0,20,0,0,0,0,0,0,1.01,0.135,0.06%,1.53
2017-05-05,SFG,CIN,"L,3-13",5,3.1,10,9,9,6,2,0,0,4.70,24,78,46,15,2,6,10,7,1,0,0,,,4,0,0,17,0,0,1,0,1,0,.78,-0.382,-0.13%,-5.51
2017-05-10,SFG,NYM,"W,6-5",4,5.0,4,3,2,2,3,1,0,4.54,22,78,47,18,3,8,9,2,4,0,50,,,1,0,0,20,1,0,0,0,0,1,1.04,-0.122,-0.03%,-0.57
2017-05-15,SFG,LAD,"W,8-4",4,6.2,5,1,1,3,5,0,0,4.04,26,112,67,21,7,4,14,7,0,0,62,,,0,0,0,23,2,0,0,1,0,0,.76,0.172,0.05%,2.31
2017-05-21,SFG,STL,"L,3-8",5,5.1,9,7,7,3,1,1,0,4.91,27,103,64,18,4,8,15,7,0,0,20,,,0,0,0,22,3,0,0,1,1,0,.64,-0.294,-0.10%,-4.65
2017-05-26,SFG,ATL,"L,0-2",4,7.0,7,2,1,1,3,0,0,4.45,28,92,64,18,3,17,7,4,0,0,59,,,0,0,0,27,2,0,1,1,0,0,1.23,0.075,0.02%,1.55
2017-05-31,SFG,WSN,"L,1-3",4,5.0,9,3,3,1,3,1,0,4.53,24,94,59,20,1,11,9,6,0,0,39,,,0,0,0,23,2,0,0,1,0,0,.74,-0.107,-0.02%,-0.47
2017-06-06,SFG,MIL,"L,2-5",5,5.0,10,5,5,2,3,1,0,4.87,25,87,56,19,4,12,8,2,1,0,28,,,0,1,0,23,2,0,0,1,0,0,.66,-0.264,-0.04%,-2.39
