date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,LAA,OAK,"W,8-3",99,5.2,4,3,3,4,4,0,0,4.76,24,90,54,17,12,7,9,5,0,0,49,,,0,0,0,20,2,0,0,1,0,0,.72,0.208,0.13%,0.54
2018-09-03,LAA,TEX,"W,3-1",99,5.0,2,0,0,1,3,0,0,2.53,17,62,42,12,4,4,9,5,0,0,65,,,0,0,0,16,0,0,0,1,0,0,1.01,0.294,0.00%,2.81
2018-09-08,LAA,CHW,"W,12-3",4,5.0,7,3,3,1,4,0,0,3.45,21,74,48,17,9,6,10,5,3,0,44,,,1,0,0,20,4,0,0,2,0,0,.82,0.035,0.00%,-0.50
2018-09-14,LAA,SEA,"L,0-5",5,4.2,5,3,3,0,8,0,0,3.98,20,77,54,14,12,8,4,4,0,0,50,,,0,0,0,20,1,0,0,0,0,1,.98,-0.135,0.00%,-0.99
2018-09-20,LAA,OAK,"L,3-21",5,2.2,5,5,5,2,4,1,0,5.48,15,63,37,6,11,3,6,4,0,0,30,,,0,0,0,13,1,0,0,0,0,0,1.22,-0.354,0.00%,-3.62
2018-09-25,LAA,TEX,"W,4-1",4,5.0,4,1,1,0,7,1,1,4.82,20,73,48,14,11,7,5,2,1,0,62,,,0,0,0,19,0,0,0,0,0,0,1.07,0.136,0.00%,1.51
2018-09-30,LAA,OAK,"W,5-4",4,3.0,2,2,2,2,3,1,0,4.94,13,60,37,6,6,3,5,1,0,0,48,,,0,0,0,11,0,0,0,0,0,0,.97,-0.047,0.00%,-0.50
2019-03-29,TOR,DET,"W,6-0",99,7.0,2,0,0,2,7,0,0,0.00,25,87,59,12,15,8,8,3,4,0,78,,,0,0,0,23,1,1,0,0,0,0,.83,0.322,0.17%,3.75
2019-04-03,TOR,BAL,"W,5-3",4,7.0,2,0,0,1,8,0,1,0.00,23,92,63,13,17,7,6,4,0,0,80,,,0,1,0,21,1,0,0,0,0,0,.96,0.423,0.24%,3.75
2019-04-09,TOR,BOS,"W,7-5",5,5.2,5,4,2,2,4,2,0,0.92,23,93,57,19,7,10,7,2,1,0,49,,,0,1,0,21,0,0,0,1,0,1,.89,0.029,0.01%,0.22
2019-04-15,TOR,MIN,"W,5-3",5,6.0,4,3,3,4,4,1,0,1.75,26,100,58,12,13,8,10,3,2,0,52,,,0,0,0,22,1,0,0,1,0,1,.95,-0.076,-0.03%,0.32
2019-04-20,TOR,OAK,"W,10-1",4,3.0,3,0,0,0,1,0,0,1.57,11,46,34,8,4,5,5,3,1,0,54,,,0,0,0,11,0,0,0,0,0,0,.96,0.161,0.08%,1.57
2021-04-05,MIN,DET,"W,15-6",99,6.0,3,1,1,0,5,1,0,1.50,22,92,65,12,10,5,12,4,0,0,67,,,1,0,0,22,0,0,0,0,0,0,.23,0.115,0.08%,2.00
2021-04-11,MIN,SEA,"L,6-8",5,5.0,7,4,4,1,7,2,1,4.09,24,91,59,17,9,6,9,2,3,0,43,,,0,0,0,21,1,0,0,0,0,0,.87,0.034,0.02%,-1.44
