date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,PIT,DET,"W,13-10",99,0.0,3,4,4,1,0,0,0,inf,4,17,8,3,0,0,3,3,0,0,,0,0,0,0,0,3,2,0,0,0,0,0,2.33,-0.616,-0.34%,-3.63
2018-04-01,PIT,DET,"W,1-0",1,1.0,1,0,0,0,1,0,0,36.00,4,11,9,2,1,0,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.15,0.110,0.06%,0.53
2018-04-02,PIT,MIN,"W,5-4",0,1.0,0,0,0,2,1,0,0,18.00,5,21,12,2,3,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.95,0.116,0.07%,0.46
2018-04-05,PIT,CIN,"W,5-2",2,1.0,0,0,0,1,1,0,0,12.00,4,19,12,4,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.49,0.026,0.02%,0.46
2018-04-07,PIT,CIN,"L,4-7",1,1.0,0,0,0,0,1,0,0,9.00,3,12,9,2,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.085,0.06%,0.46
2018-04-12,PIT,CHC,"W,6-1",4,1.0,1,0,0,0,1,0,0,7.20,4,14,10,4,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.26,0.020,0.02%,0.50
2018-04-14,PIT,MIA,"W,1-0",1,1.0,0,0,0,0,1,0,0,6.00,3,13,7,3,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.084,0.06%,0.45
2018-04-15,PIT,MIA,"W,7-3",0,0.1,0,0,0,0,1,0,0,5.68,2,8,7,3,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,.56,0.009,0.01%,0.09
2018-04-20,PIT,PHI,"L,1-2",4,1.0,1,0,0,0,2,0,0,4.91,4,16,12,4,1,0,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.54,0.087,0.06%,0.49
2018-04-21,PIT,PHI,"L,2-6",0,0.2,1,1,1,0,2,1,0,5.63,3,16,13,4,4,0,1,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,1.32,-0.344,-0.24%,-1.82
2018-04-22,PIT,PHI,"L,2-3",0,1.0,1,0,0,0,3,0,0,5.00,4,20,13,2,6,1,0,0,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,1.54,0.087,0.06%,0.49
2018-04-25,PIT,DET,"W,8-3",2,1.0,0,0,0,1,0,0,0,4.50,4,22,11,3,1,0,3,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.27,0.067,0.04%,0.46
2018-04-28,PIT,STL,"W,6-2",2,1.0,1,0,0,0,1,0,0,4.09,4,17,11,4,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.36,0.093,0.07%,0.46
2018-04-29,PIT,STL,"W,5-0",0,1.0,1,0,0,0,0,0,0,3.75,3,27,20,1,0,0,3,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.65,0.021,0.02%,0.46
