date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-08-21,CHW,MIN,"L,2-5",99,2.0,3,0,0,0,4,0,1,0.00,10,52,35,8,6,1,4,1,0,0,54,,,0,0,0,9,0,0,0,0,0,0,1.20,0.099,0.00%,1.00
2018-08-26,CHW,DET,"W,7-2",4,6.0,7,1,1,0,4,0,2,1.13,26,86,61,14,9,7,13,7,1,0,58,,,0,0,0,24,2,0,0,1,0,0,1.14,0.223,0.00%,2.16
2018-08-31,CHW,BOS,"W,6-1",4,3.0,1,0,0,1,1,0,2,0.82,12,36,22,8,1,2,6,1,4,0,57,,,0,1,0,9,1,0,0,0,0,0,.92,0.135,0.00%,1.50
2018-09-05,CHW,DET,"L,2-10",4,3.1,9,7,7,1,6,4,0,5.02,20,82,55,13,10,3,10,6,1,0,19,,,1,0,0,19,2,0,0,0,0,0,.72,-0.292,0.00%,-4.68
2021-04-02,CHW,LAA,"W,12-8",99,2.0,0,0,0,1,3,0,0,0.00,7,33,21,6,6,1,2,0,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.47,0.103,0.06%,0.67
2021-04-05,CHW,SEA,"W,6-0",2,2.0,1,0,0,1,5,0,0,0.00,8,34,20,7,7,2,0,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.21,0.025,0.01%,0.99
2021-04-11,CHW,KCR,"L,3-4",5,2.1,0,0,0,0,3,0,0,0.00,7,26,18,1,7,1,3,2,1,0,,2,0,0,0,0,7,0,0,0,0,0,0,1.24,0.225,0.15%,1.51
2021-04-15,CHW,CLE,"L,2-4",3,1.1,1,1,1,1,2,0,0,1.17,7,33,21,6,3,2,2,0,0,0,,1,0,2,0,0,6,0,0,0,0,0,1,.61,-0.020,-0.01%,-0.10
2021-04-18,CHW,BOS,"W,5-1",2,3.0,1,1,1,1,4,0,0,1.69,11,41,25,7,3,4,2,1,1,0,56,,,0,0,0,10,0,0,0,0,0,0,.92,0.114,0.06%,0.68
2021-04-25,CHW,TEX,"W,8-4",6,5.0,4,1,1,0,10,1,0,1.72,18,87,60,20,13,5,3,2,0,0,65,,,1,0,0,18,0,0,0,1,0,0,.57,0.068,0.05%,1.64
2021-05-01,CHW,CLE,"W,7-3",5,3.0,1,0,0,0,3,0,0,1.45,10,44,31,4,8,3,4,0,2,0,,0,0,0,0,0,10,0,0,0,0,0,0,.39,0.090,0.07%,1.58
2021-05-05,CHW,CIN,"L,0-1",3,1.2,1,0,0,4,4,0,0,1.33,10,43,21,6,8,0,2,1,1,0,,0,0,0,0,0,6,0,0,1,0,0,0,2.38,0.102,0.07%,0.33
2021-05-08,CHW,KCR,"W,9-1",2,2.0,3,1,1,0,1,0,0,1.61,9,28,18,5,2,2,6,2,2,0,,0,0,0,0,0,9,1,1,0,0,0,0,.14,0.008,0.01%,0.09
2021-05-14,CHW,KCR,"W,3-1",5,4.0,2,1,1,2,5,1,0,1.71,16,65,40,11,6,2,7,1,2,0,57,,,0,0,0,14,0,0,0,0,0,0,1.00,0.162,0.14%,1.11
2021-05-18,CHW,MIN,"L,4-5",3,1.0,1,0,0,0,0,0,0,1.65,4,14,8,3,0,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.16,0.083,0.07%,0.51
2021-05-21,CHW,NYY,"L,1-2",2,1.0,3,1,1,0,2,1,0,1.91,6,28,21,6,2,1,3,2,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,1.45,-0.392,-0.31%,-1.83
2021-05-24,CHW,STL,"W,5-1",2,2.0,2,0,0,0,3,0,0,1.78,8,28,21,8,4,2,3,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.38,0.041,0.03%,1.05
2021-05-26,CHW,STL,"L,0-4",1,1.0,0,0,0,1,0,0,0,1.72,4,18,9,3,1,0,3,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.81,0.058,0.05%,0.53
2021-07-01,CHW,MIN,"W,8-5",35,1.0,0,0,0,1,0,0,0,1.67,3,11,5,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.37,0.077,0.06%,0.53
2021-07-06,CHW,MIN,"W,4-1",4,1.0,1,0,0,0,0,0,0,1.62,4,15,11,4,2,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.37,0.109,0.08%,0.51
2021-07-09,CHW,BAL,"W,12-1",2,1.0,0,0,0,0,3,0,0,1.57,3,15,12,1,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,0.00%,0.54
