date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-05-03,STL,PIT,"W,3-2",99,1.0,0,0,0,0,1,0,0,0.00,3,15,10,5,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.76,0.131,0.11%,0.47
2015-05-04,STL,CHC,"W,10-9",0,1.0,1,0,0,0,1,0,0,0.00,4,8,7,2,1,3,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.77,0.032,0.03%,0.47
2015-05-05,STL,CHC,"W,7-4",0,0.2,0,0,0,1,1,0,0,0.00,3,14,7,2,3,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.33,0.088,0.08%,0.88
2015-05-09,STL,PIT,"L,5-7",3,0.1,0,0,0,0,0,0,0,0.00,1,2,1,0,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.19,0.005,0.00%,0.10
2015-05-12,STL,CLE,"W,8-3",2,1.2,1,0,0,0,3,0,0,0.00,6,24,17,4,3,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.18,0.015,0.01%,0.80
2015-05-15,STL,DET,"L,4-10",2,1.0,3,1,1,0,2,0,0,1.59,6,27,20,6,3,3,1,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.33,-0.026,-0.02%,-0.53
2015-05-20,STL,NYM,"W,9-0",4,2.0,0,0,0,0,0,0,0,1.17,6,17,12,6,0,2,4,2,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.001,0.00%,0.90
2015-06-19,STL,PHI,"W,12-4",29,2.0,1,1,1,2,1,0,0,1.86,9,38,22,7,3,2,4,3,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.02,0.001,0.00%,-0.10
2015-06-21,STL,PHI,"L,2-9",1,1.0,1,0,0,0,0,0,0,1.69,4,19,12,2,3,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.45
2015-06-30,STL,CHW,"L,1-2",8,1.0,1,1,1,0,2,1,0,2.31,4,20,12,4,4,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.40,-0.311,-0.09%,-0.53
2015-07-02,STL,SDP,"L,3-5",1,1.2,1,0,0,2,1,0,0,2.03,8,31,17,3,5,1,4,0,3,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.14,0.099,0.04%,0.52
2015-07-07,STL,CHC,"L,4-7",4,1.0,2,1,0,1,1,0,0,1.88,7,31,21,5,3,3,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,1,.04,-0.005,0.00%,-0.55
2015-07-08,STL,CHC,"W,6-5",0,0.2,1,0,0,1,2,0,0,1.80,4,16,8,1,2,1,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.85,0.015,0.01%,0.24
2015-07-10,STL,PIT,"L,2-5",1,2.0,0,0,0,0,1,0,0,1.59,6,26,20,6,1,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.10,0.016,0.01%,0.92
2015-07-11,STL,PIT,"L,5-6",0,1.0,0,0,0,1,0,0,0,1.50,4,15,6,1,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,1.87,0.129,0.09%,0.46
2015-07-18,STL,NYM,"W,12-2",6,0.2,2,1,1,1,0,0,0,1.93,5,19,9,2,1,1,3,2,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.08,-0.003,0.00%,-0.95
2015-07-19,STL,NYM,"L,1-3",0,1.0,1,0,0,0,0,0,0,1.83,4,11,7,1,1,3,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.34,0.131,0.06%,0.47
2015-07-22,STL,CHW,"W,3-2",2,1.0,1,0,0,0,2,0,0,1.74,4,22,15,3,5,1,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.51,0.021,0.01%,0.47
2015-07-26,STL,ATL,"L,2-3",3,1.0,1,0,0,0,1,0,0,1.66,4,18,10,3,4,2,1,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.59,0.035,0.01%,0.47
2015-07-28,STL,CIN,"L,0-4",1,1.0,1,0,0,0,0,0,0,1.59,4,9,7,1,0,2,2,0,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,.18,-0.005,0.00%,0.08
2015-07-30,STL,COL,"W,9-8",1,0.2,0,0,0,0,0,0,0,1.54,2,7,5,1,0,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.52,0.026,0.01%,0.50
2015-09-02,STL,WSN,"L,3-4",33,1.0,0,0,0,0,2,0,0,1.48,3,15,8,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.70,0.052,0.01%,0.47
2015-09-04,STL,PIT,"L,3-9",1,0.2,3,1,1,0,2,0,0,1.80,5,19,16,6,2,3,0,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.13,-0.016,-0.01%,-0.95
2015-09-07,STL,CHC,"L,0-9",2,1.0,1,0,0,0,1,0,0,1.73,4,14,10,2,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.000,0.00%,0.47
2015-09-10,STL,CIN,"L,0-11",2,0.1,0,0,0,0,0,0,0,1.71,1,3,2,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,0.00%,0.22
2015-09-18,STL,CHC,"L,3-8",7,0.1,0,0,0,0,0,0,0,1.69,1,6,3,1,1,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,.15,0.004,0.00%,0.41
2015-09-23,STL,CIN,"W,10-2",4,1.0,0,0,0,0,1,0,0,1.63,3,11,8,4,0,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.47
2015-09-30,STL,PIT,"L,2-8",6,2.0,3,1,1,1,2,0,0,1.82,10,35,22,6,3,4,3,2,0,0,,0,0,1,0,0,8,1,0,0,0,0,0,.14,-0.010,0.00%,-0.08
2017-04-06,STL,CHC,"L,4-6",99,2.0,1,0,0,0,1,0,1,0.00,8,27,18,6,3,2,4,0,1,0,,2,1,0,0,0,7,0,0,0,0,0,0,.97,0.074,0.05%,1.36
2017-04-09,STL,CIN,"L,0-8",2,1.0,2,1,1,1,0,0,0,3.00,6,23,16,5,2,1,4,2,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.05,-0.006,0.00%,-0.49
2017-04-11,STL,WSN,"L,3-8",1,2.0,4,1,0,0,1,0,1,1.80,11,36,26,6,6,5,4,2,1,0,,0,0,0,0,0,10,2,0,0,0,0,0,.18,-0.001,0.00%,0.08
2017-04-15,STL,NYY,"L,2-3",3,1.0,0,0,0,0,2,0,0,1.50,3,12,8,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,0.01%,0.55
2017-04-16,STL,NYY,"L,3-9",0,0.0,3,5,5,2,0,0,0,9.00,5,24,14,3,2,1,2,2,0,0,,0,0,0,0,0,3,2,0,0,0,0,0,.31,-0.063,-0.03%,-4.63
2017-04-20,STL,MIL,"L,5-7",3,1.0,1,0,0,0,1,0,0,7.71,4,20,13,4,2,1,2,0,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.29,0.015,0.01%,0.52
2017-04-25,STL,TOR,"L,5-6",4,2.2,1,1,0,0,1,0,0,5.59,9,27,20,6,4,3,5,2,1,0,,1,0,0,0,0,9,1,0,0,1,0,1,2.04,-0.120,-0.07%,0.54
2017-04-28,STL,CIN,"W,7-5",2,0.2,3,4,4,1,0,1,0,8.71,6,24,13,6,0,1,4,1,2,0,,0,0,0,0,0,5,0,0,0,0,0,0,.28,-0.024,-0.02%,-1.93
2017-05-01,STL,MIL,"L,5-7",2,0.1,0,0,0,0,0,0,0,8.44,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,0.00%,0.11
2017-05-05,STL,ATL,"W,10-0",3,1.0,0,0,0,0,2,0,0,7.71,3,11,8,2,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.52
2017-05-08,STL,MIA,"W,9-4",2,3.0,2,1,1,0,1,1,0,6.75,10,35,24,7,2,4,5,2,0,0,,0,0,0,0,0,10,0,0,0,1,0,0,.11,0.018,0.01%,0.40
2017-05-16,STL,BOS,"L,3-6",7,1.2,1,0,0,0,0,0,0,6.06,5,19,14,6,1,2,3,0,1,0,,3,2,0,0,0,4,0,0,0,1,1,1,.76,-0.071,-0.05%,0.09
2017-05-21,STL,SFG,"W,8-3",4,1.0,2,2,2,0,3,2,0,6.75,5,25,17,7,3,0,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.08,-0.004,0.00%,-1.49
2017-05-25,STL,LAD,"L,3-7",3,1.0,2,1,1,0,2,0,0,6.87,5,20,11,3,3,1,2,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.35,-0.029,-0.02%,-0.51
2017-05-26,STL,COL,"L,0-10",0,0.1,5,4,4,0,0,0,0,8.68,6,20,14,7,0,1,5,4,0,0,,0,0,0,0,0,6,2,0,0,0,0,0,.01,-0.003,0.00%,-3.87
2016-07-21,STL,SDP,"W,6-5",99,1.2,1,1,1,1,3,1,0,5.40,7,35,21,4,7,0,3,0,1,0,,2,0,1,0,0,6,0,0,0,0,0,0,.31,0.007,0.00%,0.38
2016-07-23,STL,LAD,"L,2-7",1,2.0,0,0,0,1,2,0,0,2.45,7,29,18,6,4,3,1,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.05,0.005,0.00%,0.97
2016-08-28,STL,OAK,"L,4-7",35,1.0,0,0,0,0,0,0,0,1.93,3,7,5,1,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.01%,0.49
2016-08-29,STL,MIL,"W,6-5",0,1.2,0,0,0,1,4,0,0,1.42,6,24,16,6,5,0,1,0,1,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.62,0.172,0.12%,2.09
2016-08-31,STL,MIL,"L,1-3",1,1.0,0,0,0,0,0,0,0,1.23,3,9,6,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.31,0.024,0.02%,0.51
2016-09-03,STL,CIN,"L,1-9",2,0.1,1,1,1,0,0,0,0,2.35,2,8,5,1,1,1,1,0,1,0,,0,0,1,0,0,2,0,0,0,0,0,0,.94,-0.018,-0.01%,-0.18
2016-09-05,STL,PIT,"W,12-6",1,2.0,3,2,2,0,1,1,0,3.72,9,26,18,5,1,3,5,2,0,0,,0,0,0,0,0,8,0,1,0,0,1,0,.02,0.002,0.00%,-1.02
2016-09-08,STL,MIL,"L,5-12",2,0.1,0,0,0,0,1,0,0,3.60,1,5,3,2,1,0,0,0,0,0,,2,0,1,0,0,1,0,0,0,0,0,0,.73,0.019,0.02%,0.49
2016-09-12,STL,CHC,"L,1-4",3,2.0,0,0,0,0,2,0,0,3.00,6,18,12,3,1,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.12,0.018,0.02%,0.97
