date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,STL,NYM,"L,4-9",99,1.0,2,0,0,0,1,0,0,0.00,5,20,16,6,1,0,4,3,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.23,0.008,0.01%,0.44
2018-04-08,STL,ARI,"L,1-4",9,1.0,1,1,1,0,0,1,0,4.50,4,16,9,1,1,1,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.29,-0.049,-0.03%,-0.53
2018-04-12,STL,CIN,"W,13-4",3,3.0,2,0,0,1,2,0,0,1.80,12,46,29,11,3,5,4,3,0,0,,0,0,0,0,0,11,1,0,0,0,0,0,.02,0.005,0.00%,1.48
2018-04-28,STL,PIT,"L,2-6",15,1.2,3,1,0,1,1,0,0,1.35,10,41,25,7,1,3,5,2,1,0,,2,1,0,0,0,9,0,0,0,0,0,1,.45,-0.023,-0.02%,-0.39
2018-05-06,STL,CHC,"W,4-3",7,3.0,3,1,1,0,1,1,0,1.86,12,46,32,7,3,5,6,2,1,0,,0,0,0,0,0,12,0,0,0,0,0,0,1.95,-0.049,-0.04%,0.41
2018-05-12,STL,SDP,"L,1-2",5,0.0,1,0,0,0,0,0,0,1.86,1,1,1,0,0,0,1,1,0,0,,2,1,0,0,0,1,1,0,0,0,0,0,3.37,-0.193,-0.14%,-1.50
2018-05-18,STL,PHI,"W,12-4",5,1.0,1,1,1,0,1,1,0,2.53,4,15,10,2,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,-0.53
2018-05-22,STL,KCR,"L,1-5",3,0.2,0,0,0,1,0,0,0,2.38,3,18,11,1,1,0,2,1,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,.65,0.026,0.02%,0.50
2018-05-23,STL,KCR,"L,2-5",0,0.1,0,0,0,0,0,0,0,2.31,1,1,1,0,0,0,1,0,1,0,,3,0,0,0,0,1,0,0,0,0,0,0,.38,0.009,0.01%,0.75
2018-05-28,STL,MIL,"L,3-8",4,2.0,3,1,1,1,2,0,0,2.63,10,49,28,10,3,1,6,4,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.98,-0.045,-0.04%,-0.01
2018-05-31,STL,PIT,"W,10-8",2,1.1,0,0,0,0,2,0,0,2.40,4,12,9,3,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.10,0.010,0.01%,0.57
2018-06-01,STL,PIT,"L,0-4",0,0.2,1,0,0,0,1,0,0,2.30,3,13,9,3,0,0,2,2,0,0,,1,1,0,0,0,2,1,0,0,0,1,0,.22,-0.010,-0.01%,-0.08
2018-06-09,STL,CIN,"W,6-4",7,1.0,2,1,1,0,1,0,0,2.70,5,21,13,2,1,2,2,1,0,0,,1,0,0,0,0,5,2,0,0,0,0,0,1.02,-0.007,-0.01%,-0.60
2018-06-10,STL,CIN,"L,3-6",0,1.1,0,0,0,1,2,0,0,2.50,4,15,10,2,5,0,1,1,0,0,,2,0,0,1,0,3,0,0,0,0,0,0,.47,0.040,0.03%,0.93
2018-06-12,STL,SDP,"L,2-4",1,1.0,1,1,1,0,0,0,0,2.84,4,10,5,0,0,3,1,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.36,-0.034,-0.03%,-0.53
2018-06-13,STL,SDP,"L,2-4",0,0.1,0,0,0,0,1,0,0,2.79,1,6,4,2,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.29,0.007,0.01%,0.10
2018-06-15,STL,CHC,"L,5-13",1,1.0,3,2,2,0,1,0,0,3.54,5,19,14,6,2,3,1,1,0,0,,1,1,0,0,0,5,2,0,0,0,0,0,.07,-0.012,-0.01%,-2.16
2018-06-18,STL,PHI,"L,5-6",2,2.0,0,0,0,1,3,0,0,3.22,8,41,25,6,5,3,1,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,1,.35,0.040,0.03%,0.99
2018-06-20,STL,PHI,"L,3-4",1,1.1,0,0,0,0,3,0,0,3.04,4,17,13,5,3,1,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.46,0.048,0.03%,0.72
2018-06-24,STL,MIL,"W,8-2",3,0.1,0,0,0,0,1,0,0,3.00,1,4,3,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.47,0.012,0.01%,0.43
2018-06-26,STL,CLE,"W,11-2",1,1.0,0,0,0,0,1,0,0,2.88,3,16,13,5,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2018-06-29,STL,ATL,"L,1-5",2,0.2,0,0,0,0,1,0,0,2.81,2,5,5,0,2,1,0,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,2.77,0.149,0.11%,1.53
2018-07-01,STL,ATL,"L,5-6",1,0.2,2,2,2,0,0,0,0,3.42,5,19,11,2,1,3,2,1,0,0,,1,1,0,0,0,4,0,0,0,0,1,0,.38,-0.089,-0.06%,-2.35
2018-07-02,STL,ARI,"W,6-3",0,1.0,1,0,0,0,0,0,0,3.29,3,12,8,4,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.68,0.035,0.02%,0.51
2018-07-08,STL,SFG,"L,8-13",5,1.2,1,0,0,0,1,0,0,3.10,6,18,14,2,1,1,4,0,2,0,,3,0,0,0,0,6,0,0,0,0,0,0,1.39,0.152,0.09%,1.96
2018-07-11,STL,CHW,"L,0-4",2,1.0,3,2,2,0,1,0,0,3.60,5,20,12,3,2,1,3,2,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.56,-0.140,-0.08%,-1.50
2018-07-14,STL,CIN,"L,2-8",2,1.0,2,1,1,1,0,0,0,3.77,5,14,8,2,1,2,2,1,0,0,,0,0,0,1,1,4,2,0,1,0,0,0,2.15,-0.044,-0.02%,-0.53
2018-07-21,STL,CHC,"L,2-7",6,2.0,0,0,0,0,0,0,0,3.55,5,23,14,4,0,3,2,0,0,0,,2,1,1,0,0,4,0,0,0,0,1,0,.75,0.073,0.05%,1.35
2018-07-22,STL,CHC,"L,2-7",0,2.0,2,2,2,1,1,1,1,3.86,10,31,18,4,5,2,5,2,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,.95,-0.195,-0.12%,-1.00
2018-07-24,STL,CIN,"W,4-2",1,0.2,0,0,0,0,1,0,0,3.79,2,9,5,2,2,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.98,0.049,0.02%,0.26
2018-07-27,STL,CHC,"W,5-2",2,1.0,0,0,0,0,0,0,0,3.68,3,10,6,2,1,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.58,0.043,0.02%,0.47
2018-07-31,STL,COL,"L,3-6",3,1.0,1,0,0,0,0,0,0,3.58,3,13,9,3,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.16,0.007,0.00%,0.47
2018-08-01,STL,COL,"W,6-3",0,1.0,1,1,1,1,3,0,0,3.72,5,20,12,2,5,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.28,0.013,0.01%,-0.53
2018-08-04,STL,PIT,"W,8-4",2,1.0,1,0,0,1,1,0,0,3.63,5,20,12,5,3,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.11,0.046,0.02%,0.46
2018-08-05,STL,PIT,"W,2-1",0,0.1,1,0,0,1,1,0,0,3.60,3,17,9,3,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.38,-0.051,-0.02%,-0.23
2018-08-08,STL,MIA,"W,7-1",2,1.0,1,0,0,0,1,0,0,3.51,4,18,14,4,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.05,0.002,0.00%,0.45
