date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-05-01,ATL,NYM,"W,3-2",99,6.0,6,1,1,0,5,1,0,1.50,23,80,58,13,13,8,10,6,0,0,61,,,0,0,0,23,1,0,0,1,0,0,.91,0.197,0.17%,1.66
2018-05-06,ATL,SFG,"L,3-4",4,4.0,7,4,4,3,3,0,0,4.50,22,84,49,13,5,7,9,7,0,0,32,,,1,0,0,17,0,0,0,1,1,0,1.38,-0.252,-0.19%,-2.05
2018-05-12,ATL,MIA,"W,10-5",5,4.2,8,5,1,1,7,0,0,3.68,24,90,59,15,14,7,9,6,0,0,42,,,0,0,0,23,3,0,0,0,0,1,1.29,-0.425,-0.33%,-3.03
2018-06-13,ATL,NYM,"W,2-0",31,6.1,1,0,0,1,4,0,0,2.57,20,74,44,12,5,8,7,3,0,0,74,,,0,0,0,19,0,0,0,1,0,0,1.06,0.323,0.29%,2.74
2018-06-19,ATL,TOR,"W,11-4",5,4.2,8,4,4,2,2,0,0,3.51,24,77,48,13,6,8,12,9,0,0,32,,,0,0,0,22,6,0,0,0,0,0,.94,-0.024,-0.02%,-1.99
2019-04-18,ATL,ARI,"L,1-4",99,5.0,4,1,1,2,6,0,2,1.80,24,85,58,17,10,9,5,4,1,0,59,,,1,0,0,20,2,0,1,0,0,1,1.20,0.165,0.10%,1.78
2019-04-24,ATL,CIN,"W,3-1",5,5.2,5,1,1,3,7,0,0,1.69,25,109,67,20,12,10,5,5,0,0,59,,,0,0,0,22,0,0,0,0,0,0,1.34,0.164,0.10%,1.47
2019-04-29,ATL,SDP,"W,3-1",4,6.0,4,1,1,1,8,0,0,1.62,22,81,57,22,8,6,7,4,2,0,67,,,0,0,0,20,0,0,0,1,0,0,1.17,0.260,0.15%,2.34
2019-05-04,ATL,MIA,"W,9-2",4,7.0,3,2,0,2,6,0,1,1.14,30,89,60,15,9,16,5,2,0,0,71,,,0,0,0,26,0,0,0,0,0,2,.76,0.043,0.03%,1.48
2019-05-09,ATL,ARI,"L,2-3",4,6.0,4,1,1,3,4,0,2,1.21,26,102,60,13,8,10,7,3,0,0,61,,,2,0,0,21,1,1,0,1,0,0,1.24,0.256,0.16%,2.21
2019-05-15,ATL,STL,"W,4-0",5,7.0,3,0,0,3,3,0,1,0.98,27,93,57,15,6,10,10,3,2,0,71,,,0,0,0,22,0,0,0,1,0,0,1.19,0.435,0.27%,3.89
2019-05-20,ATL,SFG,"W,4-1",4,8.0,2,1,1,0,7,1,0,1.01,26,94,63,16,14,12,7,2,3,0,81,,,0,0,0,26,0,0,0,1,0,1,.94,0.385,0.28%,2.97
2019-05-25,ATL,STL,"L,3-6",4,6.0,5,2,1,1,5,0,1,1.07,25,81,58,15,11,11,6,4,1,0,60,,,0,0,0,22,0,0,0,1,0,0,1.14,0.049,0.04%,1.11
2019-06-01,ATL,DET,"W,10-5",6,6.2,7,4,3,0,5,0,0,1.41,27,100,68,13,17,12,10,5,2,0,51,,,0,1,0,27,2,0,0,0,0,1,.92,0.016,0.01%,0.64
2019-06-07,ATL,MIA,"W,7-1",5,8.0,3,1,1,2,6,0,0,1.38,28,99,67,14,11,14,6,5,0,0,76,,,0,0,0,26,1,0,0,1,0,0,.47,0.180,0.14%,3.59
2019-06-12,ATL,PIT,"W,8-7",4,5.0,10,5,5,1,3,1,0,1.92,25,98,68,12,7,9,12,9,2,0,29,,,1,0,0,24,1,0,0,1,0,0,1.30,-0.136,-0.12%,-2.22
2019-06-17,ATL,NYM,"W,12-3",4,6.0,6,3,3,1,2,1,0,2.12,23,68,49,9,7,12,8,6,1,0,49,,,1,0,0,22,1,0,0,2,0,0,1.17,0.052,0.05%,0.34
2019-06-23,ATL,WSN,"W,4-3",5,2.0,1,0,0,0,1,0,0,2.07,6,21,16,7,2,3,2,1,0,0,55,,,0,0,0,6,0,0,0,1,0,0,.78,0.104,0.09%,1.12
2019-06-28,ATL,NYM,"W,6-2",4,6.1,7,2,2,0,4,1,0,2.13,26,93,66,11,5,12,10,4,1,0,55,,,0,0,0,26,0,0,0,0,0,0,1.19,0.024,0.02%,0.51
2019-07-04,ATL,PHI,"W,12-6",5,4.2,9,4,4,2,6,0,0,2.42,24,100,63,13,11,9,7,5,0,0,34,,,1,0,0,22,0,0,0,1,0,0,.91,-0.139,-0.13%,-1.69
2019-07-14,ATL,SDP,"W,4-1",9,7.0,6,0,0,1,9,0,0,2.24,27,83,62,11,15,10,7,2,1,0,73,,,0,0,0,26,0,0,0,1,0,0,1.18,0.444,0.24%,3.52
2019-07-20,ATL,WSN,"L,3-5",5,6.0,9,4,4,2,4,1,0,2.46,27,84,57,13,9,11,10,6,1,0,40,,,0,0,0,25,2,0,0,2,0,0,1.06,-0.157,-0.12%,-0.66
2019-07-26,ATL,PHI,"W,9-2",5,4.2,8,1,1,1,5,0,0,2.44,22,88,60,14,7,7,9,3,2,0,48,,,0,0,0,21,1,0,0,1,0,0,1.12,0.161,0.15%,0.90
2019-07-31,ATL,WSN,"W,5-4",4,7.0,3,1,1,3,3,1,0,2.37,24,93,54,17,7,10,8,4,0,0,67,,,0,0,0,21,1,0,0,1,0,0,1.02,0.322,0.28%,2.93
2019-08-05,ATL,MIN,"L,3-5",4,7.0,6,3,3,1,3,1,0,2.45,27,93,58,15,10,10,13,5,3,0,55,,,0,0,0,26,0,0,0,0,0,0,.98,0.040,0.02%,0.87
2019-08-10,ATL,MIA,"L,6-7",4,7.0,3,0,0,1,6,0,0,2.32,24,82,54,14,9,8,9,7,1,0,76,,,0,0,0,23,1,0,0,0,0,0,1.09,0.442,0.22%,3.48
2019-08-16,ATL,LAD,"L,3-8",5,6.2,7,3,3,3,4,1,0,2.41,27,95,55,15,11,9,11,5,2,0,49,,,0,0,0,24,2,0,0,3,0,0,1.29,0.236,0.12%,1.64
2019-08-22,ATL,MIA,"W,3-2",5,7.0,5,2,2,0,5,0,0,2.41,26,101,69,22,8,13,8,5,0,0,64,,,0,0,0,26,1,0,0,0,0,0,1.13,0.079,0.03%,1.89
