date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2016-05-05,MIA,ARI,"W,4-0",99,1.0,1,0,0,0,0,0,0,0.00,4,9,6,2,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.95,0.066,0.04%,0.46
2016-05-06,MIA,PHI,"W,6-4",0,1.0,0,0,0,1,2,0,0,0.00,4,21,11,2,1,1,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.68,0.084,0.06%,0.46
2016-05-08,MIA,PHI,"L,5-6",1,1.0,1,1,1,0,0,0,0,3.00,4,17,11,2,0,3,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.47,-0.155,-0.11%,-0.54
2016-08-01,MIA,CHC,"L,0-5",84,2.0,1,0,0,0,1,0,0,1.80,7,31,19,1,5,3,3,3,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.03,0.004,0.00%,1.00
2016-08-06,MIA,COL,"L,6-12",4,1.1,5,3,3,2,2,0,0,5.68,11,42,24,7,3,4,3,3,0,0,,2,0,0,0,0,9,1,0,0,0,0,0,.04,-0.003,0.00%,-1.88
2016-09-02,MIA,CLE,"L,2-6",26,1.0,1,0,0,2,0,0,0,4.91,6,21,10,3,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.004,0.00%,0.55
2016-09-03,MIA,CLE,"L,3-8",0,1.0,0,1,0,2,1,0,0,4.32,7,21,10,4,1,3,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,1,.06,-0.006,0.00%,-0.45
2016-09-05,MIA,PHI,"L,2-6",1,1.0,0,0,0,0,0,0,0,3.86,3,10,6,0,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.46
2016-09-12,MIA,ATL,"L,7-12",6,1.0,0,0,0,0,0,0,0,3.48,3,7,5,0,0,2,1,0,0,0,,3,1,0,0,0,2,0,0,0,0,1,0,.04,0.002,0.00%,1.32
2016-09-17,MIA,PHI,"L,0-8",4,1.0,0,0,0,0,1,0,0,3.18,3,12,9,1,3,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.49
2016-09-22,MIA,ATL,"L,3-6",4,1.0,0,0,0,1,0,0,0,2.92,3,12,6,1,1,1,1,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.12,0.006,0.00%,0.46
2016-09-27,MIA,NYM,"L,1-12",4,0.2,0,0,0,0,0,0,0,2.77,1,1,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,.94,0.042,0.00%,0.87
2016-09-28,MIA,NYM,"L,2-5",0,1.2,1,0,0,0,1,0,0,2.45,6,17,14,5,3,3,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.26,0.031,0.00%,0.71
2016-10-02,MIA,WSN,"L,7-10",3,1.0,0,0,0,0,0,0,0,2.30,3,6,4,1,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,0.00%,0.51
