date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-05-15,CLE,DET,"L,8-9",99,1.1,0,0,0,0,1,0,0,0.00,4,15,12,2,2,1,2,1,1,0,,3,0,0,0,0,4,0,0,0,0,0,0,.91,0.093,0.09%,1.32
2018-05-18,CLE,HOU,"L,1-4",2,0.2,2,1,1,0,1,0,0,4.50,5,13,8,3,0,4,0,0,0,0,,2,1,1,0,0,5,0,0,0,0,0,0,.72,-0.025,-0.02%,-0.59
2018-05-19,CLE,HOU,"W,5-4",0,0.1,2,1,1,0,1,1,0,7.71,3,12,8,1,3,0,2,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.96,-0.108,-0.08%,-1.18
2018-05-24,CLE,HOU,"L,2-8",4,0.1,3,2,2,0,0,1,0,13.50,4,16,12,2,4,2,2,1,0,0,,2,2,1,0,0,4,1,0,0,0,0,0,.39,-0.168,-0.12%,-3.39
2018-05-28,CLE,CHW,"W,9-6",3,1.0,1,0,0,1,1,0,0,9.82,5,25,14,6,1,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.65,0.025,0.02%,0.53
2018-06-01,CLE,MIN,"L,4-7",3,2.0,1,0,0,1,2,0,0,6.35,8,22,19,4,6,0,5,2,0,0,,0,0,0,0,0,7,1,0,1,0,0,0,.52,0.044,0.04%,1.03
2018-06-03,CLE,MIN,"L,5-7",1,0.1,0,0,0,0,1,0,0,6.00,1,5,3,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.77,0.020,0.02%,0.24
2018-06-05,CLE,MIL,"W,3-2",1,1.0,0,0,0,0,1,0,0,5.14,3,9,7,3,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.00,0.078,0.06%,0.53
2018-06-06,CLE,MIL,"W,3-1",0,0.1,1,0,0,0,1,0,0,4.91,2,5,4,0,3,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.05,-0.007,-0.01%,-0.02
2018-06-09,CLE,DET,"L,2-4",2,2.0,1,0,0,0,0,0,0,3.86,7,30,21,3,6,3,4,1,3,0,,0,0,1,0,0,7,0,0,0,0,0,0,2.46,0.252,0.26%,1.05
2018-06-11,CLE,CHW,"W,4-0",1,1.0,0,0,0,0,2,0,0,3.48,3,11,8,2,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.018,0.01%,0.50
2018-06-14,CLE,CHW,"W,5-2",2,0.2,1,0,0,0,0,0,0,3.27,3,15,9,1,1,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.67,0.030,0.02%,0.27
2018-06-17,CLE,MIN,"W,4-1",2,1.0,0,0,0,1,1,0,0,3.00,4,19,11,4,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.82,0.045,0.05%,0.53
2018-06-18,CLE,CHW,"W,6-2",0,0.2,0,0,0,0,0,0,0,2.84,2,8,4,0,0,0,2,0,2,0,,2,0,0,0,0,2,0,0,0,0,0,0,.56,0.027,0.02%,0.94
2018-06-19,CLE,CHW,"W,6-3",0,0.1,0,0,0,0,0,0,0,2.77,1,2,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.38,0.011,0.01%,0.45
2018-06-23,CLE,DET,"W,4-1",3,1.0,0,0,0,1,2,0,0,2.57,4,12,8,2,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.59,0.045,0.05%,0.53
2018-06-24,CLE,DET,"W,12-2",0,0.1,0,0,0,0,1,0,0,2.51,1,3,3,1,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,0.00%,0.11
2018-06-27,CLE,STL,"W,5-1",2,1.2,0,0,0,0,1,0,0,2.25,5,19,14,3,2,1,3,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.42,0.052,0.03%,0.84
2018-07-01,CLE,OAK,"W,15-3",3,0.2,0,0,0,0,0,0,0,2.16,1,8,4,1,1,1,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,1.94,0.068,0.03%,0.18
2018-07-03,CLE,KCR,"W,6-4",1,1.0,0,0,0,0,2,0,1,2.04,4,24,15,4,2,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.25,0.004,0.00%,0.13
2018-07-06,CLE,OAK,"W,10-4",2,0.1,1,0,0,1,1,0,0,2.00,3,10,4,1,0,1,0,0,0,0,,2,1,0,0,0,2,1,0,0,0,0,0,3.12,-0.011,0.00%,-0.55
2018-07-07,CLE,OAK,"L,3-6",0,0.1,3,3,3,0,1,2,0,3.44,4,21,14,2,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.06,-0.379,-0.11%,-2.75
2018-07-12,CLE,NYY,"L,4-7",4,0.2,0,0,0,0,1,0,0,3.32,2,9,6,1,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.30,0.016,0.01%,0.36
2018-07-13,CLE,NYY,"W,6-5",0,0.2,0,0,0,0,1,0,1,3.20,2,11,6,1,4,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,1.50,0.040,0.02%,0.28
2018-07-14,CLE,NYY,"L,4-5",0,1.1,0,0,0,1,2,0,0,3.00,4,22,14,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.03,0.068,0.03%,0.64
2018-07-20,CLE,TEX,"W,9-8",5,1.0,0,1,1,2,1,0,0,3.27,5,21,9,4,1,0,2,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.49,0.039,0.02%,0.29
2018-07-22,CLE,TEX,"L,0-5",1,1.0,2,2,2,0,1,1,0,3.91,5,19,15,2,1,3,1,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.14,-0.023,-0.01%,-1.44
2018-07-24,CLE,PIT,"L,4-9",1,2.0,3,2,2,1,2,1,0,4.32,9,36,25,4,6,2,4,2,0,0,,0,0,0,0,0,8,0,0,0,1,0,0,.15,-0.035,-0.01%,-0.95
2018-07-28,CLE,DET,"L,1-2",3,1.2,0,0,0,0,2,0,0,4.05,5,12,10,0,5,0,3,0,1,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.12,0.153,0.07%,2.13
2018-07-30,CLE,MIN,"L,4-5",1,0.1,1,1,1,1,0,0,0,4.33,3,13,8,2,1,1,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,2.88,-0.359,-0.21%,-1.18
2018-08-03,CLE,LAA,"L,4-7",3,0.1,0,0,0,0,1,0,0,4.28,1,5,3,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.86,0.048,0.01%,0.25
2018-08-07,CLE,MIN,"L,2-3",3,1.0,1,0,0,0,2,0,0,4.13,4,15,11,3,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.70,0.041,0.02%,0.53
2018-08-10,CLE,CHW,"L,0-1",2,0.1,1,1,1,0,0,1,0,4.40,2,6,5,2,0,0,2,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.03,-0.312,-0.05%,-0.77
