date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-12,LAA,KCR,"W,7-1",99,6.2,6,0,0,2,6,0,0,0.00,26,88,56,18,9,7,11,7,0,0,66,,,0,0,0,24,1,0,0,1,0,0,1.04,0.398,0.28%,3.14
2018-04-19,LAA,BOS,"L,2-8",6,5.1,7,5,5,2,3,2,0,3.75,22,89,55,14,9,8,9,3,2,0,35,,,0,0,0,20,1,0,0,2,0,0,.85,-0.230,-0.17%,-1.52
2018-04-25,LAA,HOU,"L,2-5",5,5.1,4,4,4,3,6,1,1,4.67,23,91,47,14,10,3,10,4,1,0,47,,,0,0,1,19,2,0,0,0,0,0,.74,-0.149,-0.13%,-1.88
2018-05-01,LAA,BAL,"W,3-2",5,6.1,1,0,0,2,5,0,0,3.42,22,88,57,16,13,7,8,2,1,0,74,,,0,0,0,20,1,0,0,0,0,0,.91,0.390,0.25%,3.24
2018-05-12,LAA,MIN,"L,3-5",10,6.0,5,3,3,3,2,0,0,3.64,24,87,52,18,4,6,13,6,4,0,49,,,0,0,0,20,2,0,1,1,1,0,.80,-0.054,-0.04%,0.01
2018-05-18,LAA,TBR,"L,3-8",5,2.2,6,4,4,3,4,2,0,4.45,17,72,43,14,10,3,7,2,0,0,31,,,0,0,0,14,0,0,0,0,0,0,.70,-0.269,-0.19%,-3.27
2018-05-24,LAA,TOR,"W,8-1",5,7.1,4,1,1,1,6,1,0,3.86,25,92,61,14,14,6,12,4,3,0,71,,,0,0,0,24,1,0,0,2,0,0,.77,0.272,0.17%,2.74
2018-05-29,LAA,DET,"W,9-2",4,5.1,7,2,2,0,5,2,0,3.80,22,99,62,17,12,6,11,2,4,0,51,,,0,1,0,22,1,0,0,0,0,0,.69,0.110,0.06%,0.61
2018-06-04,LAA,KCR,"W,9-6",5,4.2,9,5,5,1,5,0,0,4.35,24,91,61,17,13,8,10,4,0,0,30,,,1,0,0,23,4,0,0,0,0,0,1.14,-0.310,-0.17%,-2.82
2018-06-10,LAA,MIN,"L,5-7",5,4.1,4,5,5,3,2,1,0,4.83,19,66,35,10,5,3,11,5,1,0,34,,,0,1,0,16,1,1,0,0,0,0,.97,-0.354,-0.23%,-2.62
2018-07-21,LAA,HOU,"L,0-7",40,5.0,2,2,1,4,5,0,0,4.58,22,75,42,12,10,6,7,3,0,0,58,,,0,0,0,17,1,0,1,0,1,1,1.15,0.004,0.00%,0.51
2018-07-26,LAA,CHW,"W,12-8",4,6.1,5,5,5,2,7,5,0,4.82,25,84,54,11,12,9,7,2,1,0,48,,,0,0,0,23,0,0,0,1,0,0,.76,-0.108,0.00%,-1.76
2018-08-01,LAA,TBR,"L,2-7",5,5.2,7,4,4,4,4,1,1,4.94,29,95,56,12,9,6,14,11,0,0,39,,,0,0,0,24,2,1,0,0,0,1,1.19,-0.217,-0.01%,-1.26
2018-08-06,LAA,DET,"W,6-2",4,5.0,1,1,1,1,4,1,0,4.74,16,62,37,8,8,5,6,1,2,0,64,,,0,1,0,15,0,0,0,0,0,0,.80,0.167,0.00%,1.51
2019-05-28,LAA,OAK,"W,6-4",99,5.0,5,3,3,2,4,2,0,5.40,21,87,53,13,10,4,11,5,3,0,,0,0,0,0,0,19,0,0,0,1,0,0,1.07,-0.114,-0.04%,-0.38
2019-06-09,LAA,SEA,"L,3-9",11,3.2,7,5,5,1,3,3,1,8.31,20,83,45,9,9,3,12,5,0,0,,0,0,1,0,0,18,1,0,0,0,0,0,.18,-0.091,-0.03%,-2.95
2019-07-26,LAA,BAL,"L,3-9",46,5.0,6,7,7,3,3,1,1,9.88,25,103,62,16,12,5,13,4,1,0,27,,,3,0,1,20,1,0,0,0,1,0,.63,-0.369,-0.12%,-4.29
2020-08-25,PIT,CHW,"L,0-4",99,4.0,3,0,0,0,4,0,0,0.00,15,40,31,9,8,3,8,5,1,0,,0,0,0,0,0,15,2,0,0,0,0,0,.19,0.050,0.01%,2.14
2020-08-30,PIT,MIL,"W,5-1",4,2.2,2,0,0,2,2,0,1,0.00,12,43,20,8,3,3,4,1,0,0,,0,0,0,0,0,9,0,0,0,1,0,0,.85,0.120,0.03%,1.15
2020-09-02,PIT,CHC,"L,2-8",2,1.0,2,1,1,1,1,1,0,1.17,7,28,16,3,1,1,3,1,1,0,,2,2,0,0,0,5,1,0,0,0,0,0,1.14,-0.136,-0.02%,-1.00
