date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-07-01,PHI,WSN,"W,4-3",99,0.1,1,0,0,0,0,0,0,0.00,2,11,8,1,2,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.66,-0.014,-0.01%,-0.06
2018-07-06,PHI,PIT,"W,17-5",4,1.0,1,0,0,0,2,0,0,0.00,4,15,8,2,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,0.00%,0.46
2018-07-09,PHI,NYM,"L,3-4",2,1.0,1,0,0,0,0,0,0,0.00,4,13,11,1,2,2,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.10,0.083,0.08%,0.44
2018-07-11,PHI,NYM,"L,0-3",1,1.0,0,0,0,0,0,0,0,0.00,3,9,7,2,1,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.13,0.083,0.08%,0.44
2018-07-13,PHI,MIA,"W,2-0",1,1.0,0,0,0,0,0,0,0,0.00,3,13,10,4,1,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.10,0.081,0.08%,0.45
2018-07-15,PHI,MIA,"L,5-10",1,0.2,1,0,0,0,1,0,0,0.00,3,12,8,3,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.005,0.01%,0.24
2018-07-20,PHI,SDP,"W,11-5",4,1.0,1,0,0,0,1,0,0,0.00,4,10,9,1,1,1,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.82,0.073,0.07%,0.49
2018-07-22,PHI,SDP,"W,5-0",1,1.0,0,0,0,0,1,0,0,0.00,3,11,8,4,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.49
2018-07-24,PHI,LAD,"W,7-4",1,1.0,1,0,0,1,1,0,0,0.00,5,12,12,4,2,1,1,0,0,1,,0,0,0,0,0,4,1,0,1,0,0,0,2.70,0.136,0.14%,0.49
2018-07-26,PHI,CIN,"W,9-4",1,1.0,0,0,0,0,1,0,0,0.00,3,8,6,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.71,0.054,0.05%,0.49
2018-07-30,PHI,BOS,"L,1-2",3,0.2,1,0,0,0,0,0,0,0.00,3,11,7,3,1,0,3,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.86,0.033,0.03%,0.20
2018-08-03,PHI,MIA,"W,5-1",3,0.2,3,1,1,0,1,0,0,0.87,5,21,14,4,2,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.65,-0.119,-0.13%,-1.00
2018-08-05,PHI,MIA,"W,5-3",1,1.0,0,0,0,0,1,0,0,0.79,3,13,10,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.40,0.106,0.11%,0.49
2018-08-07,PHI,ARI,"W,5-2",1,1.0,0,0,0,0,0,0,0,0.73,3,5,5,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.54,0.042,0.05%,0.51
2018-08-14,PHI,BOS,"L,1-2",6,1.0,0,0,0,1,1,0,0,0.68,4,16,10,2,3,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.24,0.087,0.10%,0.49
2018-08-15,PHI,BOS,"W,7-4",0,0.2,3,1,0,0,0,0,0,0.64,6,12,9,2,1,3,3,2,1,0,,0,0,0,0,0,6,0,0,0,0,0,1,1.76,-0.076,-0.09%,-1.27
2018-08-17,PHI,NYM,"W,4-2",1,1.0,1,0,0,0,0,0,0,0.60,4,18,13,4,2,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.45,0.073,0.09%,0.49
2018-08-22,PHI,WSN,"L,7-8",4,1.0,1,1,1,0,1,0,0,1.13,4,17,13,2,3,0,3,0,0,0,,0,0,0,0,0,3,0,1,0,0,1,0,1.90,0.001,0.00%,-0.49
2018-08-23,PHI,WSN,"W,2-0",0,1.0,0,0,0,0,1,0,0,1.06,3,13,9,4,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.22,0.094,0.11%,0.51
2018-08-28,PHI,WSN,"L,4-5",4,0.1,2,2,1,0,0,1,0,1.56,3,14,10,4,0,0,3,1,1,0,,1,1,0,0,0,3,1,0,0,0,0,0,1.92,-0.579,-0.63%,-1.80
2018-08-29,PHI,WSN,"W,8-6",0,0.0,1,0,0,0,0,0,0,1.56,1,5,3,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.16,-0.087,-0.08%,-0.38
2018-08-31,PHI,CHC,"W,2-1",1,1.0,0,0,0,0,0,0,0,1.47,2,5,4,2,0,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,2.38,0.218,0.24%,0.88
2018-09-04,PHI,MIA,"W,9-4",3,1.0,1,0,0,0,0,0,0,1.40,4,15,11,4,0,2,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.13,0.006,0.01%,0.45
2018-09-09,PHI,NYM,"L,4-6",4,0.2,0,0,0,1,1,0,0,1.35,3,11,6,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.33,0.013,0.01%,0.24
2018-09-11,PHI,WSN,"L,6-7",1,1.0,0,0,0,0,1,0,0,1.29,3,16,11,5,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.86,0.065,0.03%,0.49
2018-09-15,PHI,MIA,"W,5-4",3,1.0,0,0,0,0,0,0,0,1.23,3,11,10,3,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,1,2.96,0.161,0.03%,0.49
2018-09-18,PHI,NYM,"W,5-2",2,0.1,0,0,0,1,1,0,0,1.21,2,8,4,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.70,0.037,0.01%,0.50
2018-09-19,PHI,NYM,"W,4-0",0,1.0,1,0,0,0,0,0,0,1.16,4,16,13,5,1,0,4,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.64,0.031,0.01%,0.88
