date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-06-16,TOR,NYY,"L,2-3",99,1.0,0,0,0,0,1,0,0,0.00,3,14,8,4,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.54,0.041,0.02%,0.53
2021-06-18,TOR,BAL,"L,1-7",1,1.1,3,3,3,0,0,0,1,11.57,7,27,19,5,1,3,3,2,0,0,,0,0,0,0,0,6,1,0,0,1,0,0,.72,-0.061,-0.02%,-1.48
2021-06-24,TOR,BAL,"W,9-0",5,1.0,1,0,0,0,1,0,0,8.10,4,9,6,1,2,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.05,0.002,0.00%,0.53
2021-06-27,TOR,BAL,"W,5-2",2,1.2,1,0,0,2,1,0,0,5.40,7,32,17,6,2,3,1,1,0,0,,2,0,0,0,0,5,0,0,0,1,0,0,1.65,0.153,0.08%,1.62
2021-06-30,TOR,SEA,"L,7-9",2,0.1,2,3,2,0,0,1,0,8.44,3,9,5,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,4.56,-0.399,-0.25%,-2.12
2021-07-01,TOR,SEA,"L,2-7",0,1.2,1,0,0,1,1,0,0,6.43,7,27,14,3,1,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.32,0.020,0.01%,0.54
2021-07-28,TOR,BOS,"L,1-4",26,1.0,1,0,0,1,2,0,1,5.63,6,23,13,6,2,0,2,1,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,.58,0.043,0.02%,1.07
2021-08-08,TOR,BOS,"W,9-8",10,1.1,3,0,0,0,0,0,0,4.82,7,27,17,1,1,2,5,4,0,0,,3,3,0,0,0,7,0,0,0,0,0,0,.62,-0.149,-0.11%,-1.68
2021-08-26,WSN,MIA,"L,5-7",17,1.0,1,0,0,1,2,0,0,4.35,5,18,10,1,4,2,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.27,0.010,0.00%,0.50
2021-08-28,WSN,NYM,"L,3-5",1,0.2,0,0,0,0,1,0,0,4.09,2,8,6,0,2,1,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,1.64,0.077,0.00%,0.51
2021-08-30,WSN,PHI,"L,4-7",1,2.0,2,1,1,0,1,1,0,4.15,9,32,21,6,2,5,3,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,.30,-0.019,0.00%,-0.03
2021-09-02,WSN,PHI,"L,6-7",2,0.1,3,3,2,0,1,0,0,5.40,4,15,9,2,1,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.73,-0.167,0.00%,-1.69
2021-09-03,WSN,NYM,"L,2-6",0,2.0,2,0,0,0,5,0,1,4.70,9,39,25,8,7,3,0,0,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,.78,0.069,0.00%,0.97
2021-09-05,WSN,NYM,"L,6-13",1,2.0,1,0,0,0,2,0,1,4.15,7,19,11,2,2,2,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.37,0.053,0.00%,0.97
2021-09-08,WSN,ATL,"W,4-2",2,2.2,0,0,0,2,4,0,0,3.60,10,46,29,9,7,3,1,0,1,0,,2,0,0,0,0,8,0,0,0,0,0,0,1.27,0.208,0.00%,2.05
2021-09-10,WSN,PIT,"L,3-4",1,0.1,1,2,2,1,0,0,0,4.43,3,13,7,1,1,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,4.78,-0.342,0.00%,-0.91
2021-09-13,WSN,MIA,"L,0-3",2,1.0,3,2,2,0,0,0,0,5.06,6,14,10,1,2,1,5,3,0,0,,0,0,0,0,0,6,2,0,0,0,0,0,.51,-0.120,0.00%,-1.52
2021-09-17,WSN,COL,"L,8-9",3,1.0,0,0,0,0,0,0,0,4.84,3,20,12,1,1,0,3,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.67,0.050,0.00%,0.49
2021-09-20,WSN,MIA,"L,7-8",2,0.1,2,2,2,0,0,0,0,5.56,3,12,8,2,0,1,2,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.89,-0.152,0.00%,-1.44
2021-09-22,WSN,MIA,"W,7-5",1,1.0,0,0,0,0,1,0,0,5.32,3,9,5,1,0,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,0.00%,0.50
2021-09-24,WSN,CIN,"L,7-8",1,0.1,1,1,1,1,0,0,0,5.63,3,17,8,4,0,0,2,1,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.64,-0.017,0.00%,-0.41
2021-09-25,WSN,CIN,"L,6-7",0,1.1,1,1,1,0,2,1,0,5.68,5,21,15,2,5,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.73,-0.232,0.00%,-0.15
2021-09-28,WSN,COL,"L,1-3",2,1.0,1,0,0,1,2,0,0,5.47,5,16,12,3,3,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.30,0.018,0.00%,0.57
2021-10-01,WSN,BOS,"L,2-4",2,1.0,0,0,0,0,1,0,0,5.27,4,12,6,1,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.30,0.014,0.00%,0.49
2021-10-03,WSN,BOS,"L,5-7",1,0.2,1,0,0,0,1,0,0,5.14,3,7,6,2,1,1,1,0,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,1.43,0.024,0.00%,-0.10
