date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,TEX,OAK,"L,0-8",99,1.0,2,3,3,1,1,1,0,27.00,6,28,15,5,3,0,4,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.09,-0.023,-0.01%,-2.53
2015-04-08,TEX,OAK,"L,0-10",1,1.0,1,0,0,0,0,0,0,13.50,4,15,10,2,2,0,4,1,3,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2015-04-10,TEX,HOU,"L,1-5",1,0.1,0,0,0,0,0,0,0,11.57,1,4,3,1,0,0,1,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.08,0.002,0.00%,0.23
2015-04-11,TEX,HOU,"W,6-2",0,0.1,0,0,0,0,0,0,0,10.13,1,6,4,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,3.21,0.083,0.05%,0.78
2015-04-12,TEX,HOU,"L,4-6",0,1.0,0,0,0,1,1,0,0,7.36,4,16,9,2,2,1,1,0,1,0,,0,0,1,0,0,3,0,0,0,0,0,0,3.15,0.140,0.09%,0.51
2015-04-14,TEX,LAA,"W,8-2",1,1.0,2,1,1,0,1,0,0,7.71,5,21,16,3,2,1,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.15,0.002,0.00%,-0.49
2015-05-20,TEX,BOS,"W,2-1",35,5.1,5,1,1,1,4,1,0,4.50,23,81,56,13,6,6,12,7,3,0,57,,,0,0,0,22,1,0,0,0,0,1,1.14,0.108,0.04%,1.19
2015-05-25,TEX,CLE,"W,10-8",4,2.0,6,7,6,2,2,2,0,8.25,15,66,43,13,1,4,7,3,0,0,18,,,0,0,0,13,3,0,0,0,0,1,1.06,-0.568,-0.29%,-5.45
2015-07-27,TEX,NYY,"L,2-6",62,2.0,4,0,0,1,1,0,0,7.07,10,38,24,7,4,4,4,3,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.12,0.012,0.01%,1.02
2015-07-28,TEX,NYY,"L,5-21",0,3.0,2,1,0,2,2,0,0,5.82,13,49,30,9,4,8,1,0,1,0,,1,0,0,0,0,11,0,0,0,1,0,1,.02,0.000,0.00%,0.92
2015-08-05,TEX,HOU,"W,4-3",7,0.1,1,2,2,2,0,0,0,6.75,4,24,12,6,0,1,1,1,0,0,,0,0,2,0,0,2,0,0,0,0,0,0,1.22,-0.142,-0.12%,-1.41
2016-04-10,TEX,LAA,"L,1-3",99,1.0,0,0,0,0,1,0,0,0.00,3,13,9,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.01%,0.48
2016-04-12,TEX,SEA,"W,8-0",1,2.0,0,0,0,0,2,0,0,0.00,6,21,14,4,3,0,4,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.02,0.002,0.00%,0.98
2016-04-22,TEX,CHW,"L,0-5",9,1.1,2,0,0,0,1,0,0,0.00,6,26,20,8,2,2,3,2,0,0,,1,1,0,0,0,6,1,0,0,0,0,0,.09,-0.016,-0.01%,-0.20
2016-04-23,TEX,CHW,"L,3-4",0,1.0,0,0,0,0,3,0,0,0.00,3,11,9,2,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.80,0.135,0.09%,0.49
2016-04-25,TEX,NYY,"L,1-3",1,1.0,0,0,0,0,2,0,0,0.00,3,19,12,2,3,1,0,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,.76,0.060,0.04%,1.56
2016-04-30,TEX,LAA,"W,7-2",4,1.0,3,2,2,0,2,1,0,2.45,6,30,18,4,2,0,4,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.04,0.001,0.00%,-1.46
2016-05-03,TEX,TOR,"L,1-3",2,0.1,2,2,2,0,1,1,0,4.70,3,7,6,4,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.80,-0.359,-0.26%,-1.76
2016-05-05,TEX,TOR,"L,2-12",1,1.0,1,1,1,2,0,0,0,5.19,5,22,9,1,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.000,0.00%,-0.48
2016-08-03,PHI,SFG,"W,5-4",89,5.0,8,4,4,1,3,0,0,5.93,23,90,59,13,9,8,11,8,0,0,37,,,1,0,0,19,2,0,0,1,1,0,.83,-0.207,-0.01%,-1.55
2016-09-25,PHI,NYM,"L,0-17",52,0.1,2,3,3,2,0,0,1,7.71,6,22,10,3,2,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.51,-0.085,0.00%,-3.07
2016-09-28,PHI,ATL,"L,2-12",2,1.1,1,2,2,2,1,0,0,8.22,6,30,14,6,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.02,0.001,0.00%,0.08
2016-10-01,PHI,NYM,"L,3-5",2,4.0,4,1,1,2,3,0,0,6.98,16,67,45,16,5,4,7,3,1,0,51,,,0,0,0,14,1,0,1,2,0,0,1.13,0.075,0.00%,0.96
