date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,SFG,LAD,"L,0-5",99,1.0,0,0,0,0,0,0,0,0.00,3,9,6,3,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.47
2018-04-03,SFG,SEA,"L,4-6",2,2.0,1,0,0,1,1,0,0,0.00,7,25,16,5,1,1,4,0,0,0,,0,0,1,0,0,6,0,0,0,1,0,0,.13,0.012,0.01%,0.90
2018-04-07,SFG,LAD,"W,7-5",3,2.0,0,0,0,0,0,0,0,0.00,6,28,16,2,2,4,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.73,0.254,0.17%,0.90
2018-04-08,SFG,LAD,"L,1-2",0,1.0,2,1,1,1,1,0,0,1.50,6,26,15,3,3,1,3,2,0,0,,0,0,0,0,0,5,2,0,1,0,0,0,3.09,-0.317,-0.21%,-0.55
2018-04-11,SFG,ARI,"L,3-7",2,1.0,0,0,0,1,2,0,0,1.29,4,25,15,6,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,0.00%,0.45
2018-04-13,SFG,SDP,"L,1-5",1,1.0,0,0,0,0,2,0,0,1.13,3,15,8,3,2,0,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.18,0.013,0.01%,0.82
2018-04-14,SFG,SDP,"L,4-5",0,1.0,0,0,0,0,1,0,0,1.00,3,15,10,1,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.37,0.027,0.02%,0.45
2018-04-20,SFG,LAA,"W,8-1",5,1.0,2,1,1,0,1,1,0,1.80,5,18,13,4,2,1,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.03,0.001,0.00%,-0.50
2018-04-25,SFG,WSN,"L,2-15",4,1.1,3,2,2,0,0,0,0,3.18,7,23,18,3,2,4,3,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.22,-0.030,-0.02%,-1.46
2018-04-27,SFG,LAD,"W,6-4",1,1.2,1,0,0,1,1,0,0,2.77,7,27,17,2,1,2,3,0,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.98,0.086,0.04%,1.09
2018-04-30,SFG,SDP,"W,6-5",2,1.0,0,0,0,1,0,0,0,2.57,4,14,8,0,3,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.014,0.01%,0.45
2018-05-02,SFG,SDP,"W,9-4",1,1.0,2,0,0,0,1,0,0,2.40,5,19,14,3,6,1,3,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.85,0.028,0.02%,0.45
2018-05-05,SFG,ATL,"W,11-2",2,1.0,0,0,0,0,0,0,0,2.25,2,9,5,0,0,0,2,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.03,0.001,0.00%,1.48
2018-05-07,SFG,PHI,"L,0-11",1,1.0,1,1,1,0,0,0,0,2.65,4,15,11,4,2,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,0.00%,-0.51
2018-05-09,SFG,PHI,"L,3-11",1,0.2,3,6,6,3,0,0,0,5.60,8,35,17,6,2,3,2,0,0,0,,2,0,0,0,0,4,1,0,0,0,1,0,.15,-0.036,-0.02%,-3.64
2018-05-11,SFG,PIT,"L,2-11",1,1.0,0,0,0,0,1,0,0,5.30,3,15,9,1,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.25,0.019,0.01%,0.46
2018-05-14,SFG,CIN,"W,10-7",2,1.0,0,0,0,0,1,0,0,5.03,2,9,5,0,2,1,0,0,0,0,,1,0,0,1,0,2,0,0,0,0,0,0,1.89,0.114,0.07%,0.82
2018-05-15,SFG,CIN,"W,5-3",0,1.0,0,0,0,0,1,0,0,4.79,3,16,10,5,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.91,0.067,0.04%,0.45
2018-05-17,SFG,COL,"L,3-5",1,1.1,1,2,2,2,1,0,0,5.32,6,32,16,3,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,2.31,0.045,0.03%,0.04
