date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-08,OAK,TEX,"W,10-0",99,1.0,1,0,0,0,2,0,0,0.00,4,18,12,3,3,0,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,0.00%,0.47
2015-04-09,OAK,TEX,"L,1-10",0,1.0,1,1,1,0,2,1,0,4.50,4,11,8,1,3,0,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,-0.53
2015-04-10,OAK,SEA,"W,12-0",0,1.0,0,0,0,1,1,0,0,3.00,4,18,10,1,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2015-04-12,OAK,SEA,"L,7-8",1,1.0,0,0,0,1,1,0,0,2.25,4,19,11,1,5,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.003,0.00%,0.47
2015-04-15,OAK,HOU,"L,1-6",2,1.0,1,1,1,0,3,1,0,3.60,4,18,10,4,0,0,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,-0.005,0.00%,-0.53
2015-04-21,OAK,LAA,"L,1-14",5,1.0,5,7,6,3,3,0,0,12.00,11,48,27,8,7,1,4,4,0,0,,1,1,0,0,0,8,0,0,1,0,0,0,.20,-0.058,-0.04%,-5.90
2015-05-02,OAK,TEX,"L,7-8",10,0.0,1,0,0,0,0,0,0,12.00,1,3,1,0,0,1,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,2.50,-0.063,-0.03%,-1.00
2015-05-03,OAK,TEX,"W,7-1",0,1.0,0,0,0,0,1,0,0,10.29,3,8,8,2,3,1,1,0,0,0,,3,1,0,0,0,2,0,0,0,0,1,0,.26,0.019,0.01%,1.35
2015-05-04,OAK,MIN,"L,7-8",0,1.0,2,2,2,0,1,1,0,11.25,5,22,12,1,4,1,3,1,0,0,,2,2,0,0,0,5,0,0,0,0,0,0,1.93,-0.263,-0.12%,-2.03
2015-05-06,OAK,MIN,"L,0-13",1,1.0,2,3,3,1,2,1,0,13.00,7,35,20,3,6,1,3,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,1,.00,0.000,0.00%,-2.51
2015-07-30,OAK,CLE,"L,1-3",84,0.1,1,0,0,0,0,0,0,12.54,2,2,2,0,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.59,-0.001,0.00%,-0.03
2015-09-01,OAK,LAA,"L,2-6",32,1.0,0,0,0,0,2,0,0,11.32,3,16,10,4,0,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.47
2015-09-02,OAK,LAA,"L,4-9",0,0.2,2,1,1,0,1,0,0,11.45,4,17,11,3,3,1,2,1,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,.20,-0.040,0.00%,-1.34
2015-09-05,OAK,SEA,"L,3-8",2,1.0,2,1,1,1,1,0,0,11.25,6,29,14,4,0,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.14,-0.013,0.00%,-0.53
2015-09-09,OAK,HOU,"L,5-11",3,1.1,1,1,1,0,1,1,0,10.80,5,22,14,1,2,0,4,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,.27,-0.036,0.00%,-0.18
2015-09-13,OAK,TEX,"L,4-12",3,1.0,1,3,3,2,0,1,0,11.93,6,21,10,3,0,0,4,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,-0.005,0.00%,-2.49
2015-09-15,OAK,CHW,"W,17-6",1,1.0,1,0,0,2,2,0,0,11.15,5,19,8,2,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2015-09-16,OAK,CHW,"L,4-9",0,1.0,0,0,0,0,0,0,0,10.47,3,11,7,1,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2015-09-22,OAK,TEX,"L,6-8",5,0.2,1,0,0,0,0,0,0,10.06,3,8,7,1,1,0,3,1,1,0,,1,1,0,0,0,2,1,0,0,0,1,0,.59,-0.049,0.00%,-0.50
2015-09-23,OAK,TEX,"L,3-10",0,1.0,3,3,3,1,0,1,0,11.00,7,21,15,4,1,3,3,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.03,-0.012,0.00%,-2.53
2015-09-29,OAK,LAA,"L,1-8",5,2.0,2,0,0,1,0,0,0,9.90,9,28,16,1,2,4,4,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.03,0.003,0.00%,0.92
