date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-05-29,HOU,SDP,"L,8-11",99,1.0,2,3,2,1,1,1,0,18.00,6,19,11,3,0,1,3,0,0,0,,0,0,0,0,0,5,1,0,1,0,0,0,2.24,-0.400,-0.29%,-1.85
2021-06-13,HOU,MIN,"W,14-3",14,2.0,2,1,1,0,2,1,0,9.00,8,25,14,0,6,2,4,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.00,0.000,0.00%,0.02
2021-06-17,HOU,CHW,"W,10-2",3,1.0,0,0,0,0,1,0,0,6.75,3,10,7,3,2,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.53
2021-06-20,HOU,CHW,"W,8-2",2,1.0,1,0,0,2,2,0,0,5.40,6,25,13,4,4,0,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.07,0.003,0.00%,0.53
2021-06-23,HOU,BAL,"W,13-0",2,1.0,1,0,0,1,0,0,0,4.50,4,16,10,3,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.000,0.00%,0.54
2021-06-24,HOU,DET,"W,12-3",0,1.0,3,1,1,0,2,0,0,5.14,6,23,18,5,4,1,3,3,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.000,0.00%,-0.50
2021-06-28,HOU,BAL,"L,7-9",3,0.2,1,0,0,0,0,0,0,4.70,3,7,5,1,0,0,3,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,.10,-0.006,-0.01%,-0.30
2021-06-29,HOU,BAL,"L,3-13",0,1.2,1,1,1,0,3,0,0,4.82,6,29,22,7,4,0,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.57,0.096,0.08%,0.68
2021-07-11,HOU,NYY,"W,8-7",11,1.2,0,0,0,3,3,0,0,4.09,7,43,23,8,3,1,0,0,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,.09,0.009,0.01%,1.47
2021-08-14,MIN,TBR,"W,12-0",33,2.0,0,0,0,0,1,0,0,3.46,6,16,10,2,2,1,4,3,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.002,0.00%,1.02
2021-08-17,MIN,CLE,"L,1-3",2,1.0,1,0,0,0,0,0,0,3.21,4,13,10,3,2,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.37,0.021,0.00%,0.51
2021-08-18,MIN,CLE,"W,8-7",0,2.0,1,0,0,0,2,0,0,2.81,7,23,17,8,3,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.97,0.138,0.00%,1.02
2021-08-21,MIN,NYY,"L,1-7",2,2.0,2,1,1,1,2,1,0,3.00,9,31,18,5,1,3,3,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.03,-0.001,0.00%,0.04
2021-08-25,MIN,BOS,"W,9-6",3,1.0,2,2,1,0,0,1,0,3.32,4,24,16,3,0,1,3,1,1,0,,0,0,0,0,0,4,0,0,0,1,0,0,.45,0.023,0.00%,-0.80
2021-08-26,MIN,BOS,"L,2-12",0,0.1,0,0,0,0,1,0,0,3.26,1,4,4,1,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,0.00%,0.12
2021-08-29,MIN,MIL,"L,2-6",2,1.0,0,0,0,0,2,0,0,3.10,3,11,9,1,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,0.00%,0.51
2021-08-31,MIN,CHC,"L,1-3",1,1.0,0,0,0,1,1,0,1,2.95,5,17,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.018,0.00%,0.51
2021-09-03,MIN,TBR,"L,3-5",2,1.0,0,0,0,0,1,0,0,2.82,3,8,5,0,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.00%,0.48
2021-09-04,MIN,TBR,"L,4-11",0,1.0,0,0,0,2,0,0,0,2.70,5,23,9,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.48
2021-09-09,MIN,CLE,"L,1-4",4,1.0,1,1,1,0,1,1,0,2.96,4,19,12,3,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.24,-0.041,0.00%,-0.47
2021-09-12,MIN,KCR,"L,3-5",2,1.1,0,0,0,0,1,0,0,2.81,4,11,9,1,1,2,1,0,1,0,,3,0,0,0,0,4,0,0,0,0,0,0,1.39,0.142,0.00%,1.29
2021-09-13,MIN,NYY,"L,5-6",0,0.1,1,1,0,0,1,0,0,2.77,2,6,5,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.86,-0.186,0.00%,-0.39
2021-09-18,MIN,TOR,"L,2-6",4,1.0,2,0,0,0,0,0,0,2.67,5,17,12,5,1,0,5,3,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.60,0.035,0.00%,0.53
2021-09-23,MIN,TOR,"W,7-2",4,1.1,0,0,0,0,1,0,0,2.54,4,16,12,4,2,2,1,1,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,.28,0.031,0.00%,1.29
2021-09-26,MIN,TOR,"L,2-5",2,1.0,2,1,1,0,0,0,0,2.76,5,18,14,3,0,3,2,0,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.48,-0.050,0.00%,-0.49
2021-09-28,MIN,DET,"W,3-2",1,1.0,0,0,0,1,1,0,0,2.67,4,19,12,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.58,0.044,0.00%,0.51
2021-09-30,MIN,DET,"L,7-10",1,0.0,1,3,3,2,0,0,0,3.56,3,12,4,2,0,0,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,3.30,-0.510,0.00%,-2.49
