date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-01,CHC,PIT,"L,3-5",99,0.2,1,1,1,1,1,0,0,13.50,4,16,11,2,3,2,0,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,1.58,0.022,0.01%,0.20
2021-04-04,CHC,PIT,"W,4-3",2,0.2,3,1,1,0,0,0,0,13.50,4,19,11,4,1,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,2.65,-0.034,-0.02%,-0.73
2021-04-08,CHC,PIT,"W,4-2",3,1.1,0,0,0,0,3,0,0,6.75,4,18,10,4,1,0,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.49,0.152,0.09%,0.74
2021-04-11,CHC,PIT,"L,1-7",2,1.2,0,0,0,1,3,0,0,4.15,6,21,14,6,5,0,2,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.29,0.038,0.02%,1.41
2021-04-13,CHC,MIL,"W,3-2",1,1.0,0,0,0,0,1,0,0,3.38,3,14,9,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.58,0.049,0.03%,0.52
2021-04-16,CHC,ATL,"L,2-5",2,1.0,0,0,0,0,1,0,0,2.84,3,13,8,3,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,0.01%,0.51
2021-04-20,CHC,NYM,"W,3-1",3,1.0,0,0,0,0,2,0,0,2.45,3,15,8,3,2,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.86,0.066,0.03%,0.51
2021-04-21,CHC,NYM,"W,16-4",0,0.2,2,2,2,1,1,1,0,4.50,5,17,10,2,4,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.64,-0.074,-0.04%,-1.72
2021-04-24,CHC,MIL,"L,3-4",2,0.1,0,0,0,2,1,0,1,4.32,4,15,6,3,3,0,0,0,0,0,,2,2,0,0,0,1,0,0,0,0,0,0,3.47,-0.185,-0.13%,-1.49
2021-04-27,CHC,ATL,"L,0-5",2,1.0,0,0,0,0,2,0,0,3.86,3,13,8,1,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.34,0.027,0.01%,0.55
2021-05-01,CHC,CIN,"W,3-2",3,1.0,0,0,0,0,3,0,0,3.48,3,14,11,4,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.88,0.071,0.04%,0.58
2021-05-04,CHC,LAD,"W,4-3",2,0.1,0,0,0,0,1,0,0,3.38,1,5,3,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.83,0.052,0.03%,0.33
2021-05-05,CHC,LAD,"W,6-5",0,1.0,1,0,0,0,2,0,1,3.09,5,22,12,3,4,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.23,0.053,0.03%,0.51
2021-05-07,CHC,PIT,"W,3-2",1,0.1,1,0,0,0,0,0,1,3.00,3,11,5,1,0,0,2,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,5.97,0.080,0.05%,0.23
2021-05-11,CHC,CLE,"L,2-3",3,1.0,0,0,0,0,2,0,0,2.77,3,16,10,3,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.033,0.02%,0.53
2021-05-15,CHC,DET,"L,8-9",3,0.2,2,1,1,1,2,0,0,3.29,5,22,13,3,4,1,1,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.77,-0.124,-0.07%,-0.64
