date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-06-24,SDP,SFG,"L,2-3",99,1.0,1,0,0,0,2,0,0,0.00,4,18,12,4,3,2,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,3.16,0.127,0.02%,0.45
2018-06-25,SDP,TEX,"L,4-7",0,0.2,3,1,1,0,1,0,1,5.40,5,23,14,5,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.94,-0.087,-0.01%,-0.91
2018-06-29,SDP,PIT,"L,3-6",3,1.0,0,0,0,0,2,0,1,3.38,4,15,9,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.001,0.00%,0.45
2018-07-01,SDP,PIT,"L,5-7",1,0.1,1,0,0,0,0,0,0,3.00,3,6,5,0,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,.73,-0.044,0.00%,-0.68
2018-07-20,SDP,PHI,"L,5-11",18,0.2,6,4,4,0,1,0,0,12.27,7,21,12,2,3,3,3,3,0,0,,0,0,0,1,0,7,1,0,0,0,0,0,.20,-0.057,0.00%,-3.83
2018-07-24,SDP,NYM,"L,3-6",3,3.0,1,0,0,0,5,0,0,6.75,10,37,25,8,8,1,4,1,1,0,,0,0,0,0,0,10,1,0,0,0,0,0,.11,0.023,0.00%,1.33
2018-07-27,SDP,ARI,"L,2-6",2,2.0,1,0,0,0,2,0,0,5.19,8,29,20,5,3,2,4,0,2,0,,0,0,0,0,0,8,0,0,0,0,0,1,.08,0.008,0.00%,0.90
2018-07-29,SDP,ARI,"L,4-5",1,2.0,2,0,0,0,1,0,0,4.22,7,33,21,7,2,4,2,0,0,0,,0,0,0,1,0,7,0,0,0,0,0,0,.46,0.054,0.00%,0.90
2018-07-31,SDP,SFG,"L,2-3",1,1.0,2,0,0,1,1,0,0,3.86,6,23,16,5,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.62,0.046,0.00%,0.45
2018-08-03,SDP,CHC,"L,4-5",2,2.0,1,1,1,0,1,1,0,3.95,7,20,16,4,2,4,2,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.30,-0.012,0.00%,0.00
2018-08-07,SDP,MIL,"W,11-5",3,1.0,1,0,0,1,1,0,0,3.68,5,14,9,3,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.47,0.027,0.00%,0.49
2018-08-11,SDP,PHI,"L,1-5",3,2.2,2,0,0,0,4,0,0,3.12,10,42,29,8,6,4,2,2,0,0,,1,1,0,0,0,10,0,0,0,0,0,0,.18,-0.015,0.00%,0.38
2018-08-14,SDP,LAA,"L,3-7",2,2.0,1,1,0,1,1,0,0,2.79,7,29,16,7,2,1,4,2,1,0,,0,0,0,1,0,6,0,0,0,0,0,0,.44,-0.046,0.00%,-0.10
2018-08-16,SDP,ARI,"L,1-5",1,1.0,0,0,0,2,2,0,0,2.66,5,30,14,8,0,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.45
2018-08-17,SDP,ARI,"L,4-9",0,1.1,1,0,0,1,3,0,0,2.49,6,28,17,5,3,1,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.02,0.002,0.00%,0.54
2018-08-21,SDP,COL,"W,4-3",3,1.1,0,0,0,0,0,0,0,2.35,4,19,12,3,3,1,3,2,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.35,0.142,0.00%,0.83
2018-08-24,SDP,LAD,"L,1-11",2,1.0,0,0,0,1,2,0,0,2.25,4,16,8,4,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2018-08-25,SDP,LAD,"L,4-5",0,0.1,1,1,1,1,0,0,0,2.59,3,6,2,0,0,1,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,2.87,-0.368,0.00%,-1.18
2018-08-26,SDP,LAD,"L,3-7",0,1.0,1,0,0,0,0,0,0,2.49,3,14,8,2,0,2,1,0,0,0,,2,2,0,0,0,3,0,0,0,1,0,0,.75,-0.048,0.00%,-0.55
2018-08-30,SDP,COL,"W,3-2",3,3.0,2,0,0,1,0,0,0,2.22,12,35,26,10,0,8,3,1,1,0,,0,0,0,0,0,11,0,0,1,0,0,0,2.29,0.381,0.00%,1.35
2018-09-01,SDP,COL,"L,2-4",1,1.0,0,0,0,0,0,0,0,2.15,3,8,6,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.014,0.00%,0.45
2018-09-04,SDP,ARI,"L,0-6",2,1.2,3,3,2,1,1,0,0,2.61,8,32,18,6,2,4,2,1,0,0,,0,0,1,0,0,7,0,0,0,1,0,0,.52,-0.051,0.00%,-1.31
2018-09-06,SDP,CIN,"W,6-2",1,1.0,1,0,0,0,0,0,0,2.53,4,11,6,2,0,0,4,2,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.38,0.004,0.00%,0.11
2018-09-08,SDP,CIN,"L,2-7",1,2.0,0,0,0,1,2,0,0,2.38,6,18,11,6,1,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.16,0.016,0.00%,0.99
