date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-05-17,TEX,CLE,"W,5-1",99,1.0,0,0,0,0,1,0,0,0.00,3,14,8,4,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.05,0.081,0.03%,0.51
2015-05-20,TEX,BOS,"W,2-1",2,1.0,1,0,0,0,1,0,0,0.00,4,19,14,5,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.54,0.145,0.05%,0.52
2015-05-22,TEX,NYY,"W,10-9",1,1.0,1,1,1,1,2,1,0,3.00,5,18,11,1,4,0,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.16,0.089,0.04%,-0.51
2015-05-24,TEX,NYY,"W,5-2",1,0.2,1,0,0,1,0,0,0,2.45,4,29,16,3,3,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.94,0.002,0.00%,0.06
2015-05-26,TEX,CLE,"W,4-3",1,1.0,1,0,0,0,1,0,0,1.93,4,17,11,2,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.02,0.145,0.08%,0.52
2015-05-29,TEX,BOS,"W,7-4",2,1.0,2,2,2,0,2,1,0,4.76,5,22,13,3,4,1,2,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,1.32,-0.062,-0.03%,-1.49
2015-05-31,TEX,BOS,"W,4-3",1,1.0,1,0,0,1,1,0,0,4.05,5,21,11,4,1,2,1,0,1,0,,0,0,1,0,0,4,0,0,1,0,0,0,1.04,0.039,0.02%,0.51
2015-06-03,TEX,CHW,"L,2-9",2,1.0,0,0,0,1,1,0,0,3.52,4,18,6,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.51
2015-09-01,TEX,SDP,"W,8-6",89,1.0,1,0,0,0,0,0,0,3.12,4,23,16,2,1,1,3,1,1,0,,0,0,0,0,0,4,0,1,0,0,0,0,1.31,0.071,0.08%,0.44
2015-09-06,TEX,LAA,"L,0-7",4,1.0,0,0,0,1,1,0,0,2.79,3,10,5,2,1,0,1,0,0,0,,2,1,0,0,0,1,0,0,1,0,1,0,.03,0.002,0.00%,0.93
2015-09-12,TEX,OAK,"L,3-5",5,0.2,0,0,0,0,0,0,0,2.61,2,9,7,3,0,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.21,0.010,0.02%,0.27
2015-09-13,TEX,OAK,"W,12-4",0,1.0,0,0,0,1,2,0,0,2.38,4,29,18,2,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.51
2015-09-15,TEX,HOU,"W,6-5",1,0.2,0,0,0,0,1,0,0,2.25,2,11,5,3,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.85,0.099,0.24%,0.61
2015-09-17,TEX,HOU,"W,8-2",1,1.0,1,0,0,0,1,0,0,2.08,4,10,8,1,4,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.003,0.01%,0.51
2015-09-20,TEX,SEA,"L,2-9",2,0.2,3,1,1,0,1,1,0,2.63,5,19,11,4,1,0,4,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.18,-0.024,-0.03%,-0.73
2015-09-23,TEX,OAK,"W,10-3",2,1.0,0,0,0,0,0,0,0,2.45,3,13,7,1,1,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.47
2015-09-25,TEX,HOU,"W,6-2",1,1.1,0,0,0,0,2,0,0,2.25,4,25,16,4,3,2,0,0,0,0,,1,0,1,0,0,4,0,0,0,0,0,0,.69,0.063,0.06%,0.87
2015-09-27,TEX,HOU,"L,2-4",1,1.0,2,1,1,0,1,1,0,2.65,5,18,11,2,2,0,4,3,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.52,-0.077,-0.05%,-0.53
2015-09-30,TEX,DET,"W,6-2",2,1.1,1,0,0,0,0,0,0,2.45,5,23,15,1,3,4,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.85,0.070,0.08%,1.12
2015-10-01,TEX,LAA,"W,5-3",0,0.1,1,0,0,1,0,0,0,2.41,3,12,5,1,1,0,2,1,1,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.82,-0.118,-0.11%,-0.97
2015-10-03,TEX,LAA,"L,10-11",1,0.2,5,3,3,0,1,0,0,3.72,7,27,21,7,1,2,4,3,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,2.73,-0.754,-0.24%,-2.93
2016-04-04,CIN,PHI,"W,6-2",99,0.1,0,0,0,0,1,0,0,0.00,1,5,3,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.88,0.025,0.01%,0.23
2016-04-07,CIN,PHI,"W,10-6",2,1.0,0,0,0,0,1,0,1,0.00,4,10,7,3,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.30,0.014,0.01%,0.50
2016-04-08,CIN,PIT,"L,5-6",0,0.2,1,3,3,1,0,0,1,13.50,5,14,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.76,-0.042,-0.03%,-0.27
2016-04-10,CIN,PIT,"W,2-1",1,1.0,2,0,0,0,0,0,0,9.00,5,21,13,2,2,0,5,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.25,0.137,0.10%,0.50
2016-04-13,CIN,CHC,"L,2-9",2,1.0,0,0,0,0,1,0,0,6.75,3,8,6,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.50
2016-04-17,CIN,STL,"L,3-4",3,1.0,1,1,1,1,1,0,0,7.20,5,20,11,3,2,0,3,1,2,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.89,-0.236,-0.15%,-0.52
2016-04-18,CIN,COL,"L,1-5",0,1.2,2,3,3,1,4,1,0,9.45,8,32,21,6,5,1,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.13,-0.153,-0.08%,-0.44
2016-04-20,CIN,COL,"W,6-5",1,1.0,0,0,0,0,1,0,0,8.22,3,9,6,0,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.137,0.08%,0.50
2016-04-22,CIN,CHC,"L,1-8",1,0.1,0,0,0,0,0,0,0,7.88,1,4,2,0,1,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,.01,0.000,0.00%,0.32
2016-04-24,CIN,CHC,"L,0-9",1,1.1,0,0,0,0,1,0,0,6.75,4,14,9,2,1,2,1,0,1,0,,3,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,1.27
2016-04-27,CIN,NYM,"L,2-5",2,1.0,0,0,0,0,1,0,0,6.10,3,19,12,2,2,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.006,0.00%,0.48
2016-05-01,CIN,PIT,"W,6-5",3,1.2,1,1,1,0,2,1,0,6.00,6,26,16,6,3,1,3,2,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,2.71,-0.134,-0.05%,0.39
2016-05-04,CIN,SFG,"W,7-4",2,1.0,2,1,1,0,1,0,0,6.23,5,23,15,3,2,1,3,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.23,0.014,0.00%,-0.50
2016-05-07,CIN,MIL,"L,7-13",2,1.0,0,0,0,0,2,0,0,5.79,3,14,10,5,2,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.137,0.05%,0.50
2016-05-08,CIN,MIL,"L,4-5",0,2.0,2,1,1,1,4,1,0,5.63,8,35,19,9,3,1,2,1,0,0,,0,0,0,1,0,7,0,0,0,0,0,0,.91,-0.159,-0.05%,0.00
2016-05-11,CIN,PIT,"L,4-5",2,0.2,2,1,0,0,0,0,1,5.40,5,16,8,1,1,2,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.98,-0.332,-0.10%,-0.94
2016-05-15,CIN,PHI,"W,9-4",3,1.0,2,1,1,1,0,0,0,5.60,6,17,10,1,2,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.52,0.006,0.00%,-0.51
2016-05-17,CIN,CLE,"L,1-13",1,1.0,1,0,0,0,0,0,0,5.30,4,15,10,0,2,1,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,0.00%,0.55
2016-05-18,CIN,CLE,"L,7-8",0,1.0,0,0,0,0,2,0,0,5.03,3,12,9,3,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.121,0.02%,0.50
2016-05-21,CIN,SEA,"L,0-4",2,1.0,0,0,0,0,0,0,0,4.79,3,14,9,2,0,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,0.00%,0.50
