date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,WSN,CIN,"W,2-0",99,1.0,2,0,0,0,1,0,0,0.00,5,19,15,1,3,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.54,0.140,0.08%,0.49
2018-04-01,WSN,CIN,"W,6-5",1,1.0,0,0,0,0,0,0,0,0.00,2,7,5,1,0,1,1,1,0,0,,3,1,0,0,0,2,0,0,0,1,0,0,3.39,0.278,0.18%,1.33
2018-04-05,WSN,NYM,"L,2-8",3,1.0,0,0,0,0,1,0,0,0.00,3,11,9,2,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.51
2018-04-07,WSN,NYM,"L,2-3",1,1.0,0,0,0,1,1,0,0,0.00,4,15,9,1,2,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.87,0.053,0.04%,0.51
2018-04-08,WSN,NYM,"L,5-6",0,1.0,1,0,0,0,0,0,0,0.00,4,11,6,1,1,0,4,1,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,2.33,0.108,0.07%,0.51
2018-04-10,WSN,ATL,"W,4-1",1,0.2,1,0,0,0,1,0,0,0.00,3,11,8,2,0,0,2,1,0,0,,2,1,0,0,0,3,1,0,0,0,0,0,.92,0.035,0.02%,-0.08
2018-04-11,WSN,ATL,"L,3-5",0,1.0,3,2,2,2,2,0,0,2.70,8,20,13,3,5,2,2,1,1,0,,0,0,0,0,0,6,0,0,1,0,0,0,2.35,-0.406,-0.27%,-1.49
2018-04-14,WSN,COL,"W,6-2",2,1.0,1,0,0,1,1,0,0,2.35,5,23,16,3,2,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.71,0.024,0.01%,0.51
2018-04-16,WSN,NYM,"W,8-6",1,1.0,1,0,0,0,1,0,0,2.08,3,11,8,3,2,1,1,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.41,0.079,0.04%,0.44
2018-04-17,WSN,NYM,"W,5-2",0,1.0,2,0,0,0,2,0,0,1.86,5,21,14,3,5,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.17,0.074,0.05%,0.44
2018-04-18,WSN,NYM,"L,5-11",0,0.2,5,6,6,1,1,0,0,6.97,8,26,19,4,1,3,3,2,1,0,,0,0,0,0,0,7,1,0,1,0,0,0,4.29,-0.805,-0.52%,-4.12
2018-04-24,WSN,SFG,"L,3-4",5,1.0,0,0,0,0,0,0,0,6.35,3,10,8,1,2,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.37,0.027,0.01%,0.45
2018-04-27,WSN,ARI,"L,4-5",2,0.2,0,0,0,0,0,0,0,6.00,2,3,3,0,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.59,0.030,0.01%,0.27
2018-04-28,WSN,ARI,"L,3-4",0,1.0,3,1,1,0,1,0,0,6.23,6,16,12,2,2,1,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,3.47,-0.137,-0.06%,-0.49
2018-04-30,WSN,PIT,"W,3-2",1,1.0,0,0,0,0,0,0,0,5.79,3,9,5,0,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.122,0.05%,0.51
2018-05-03,WSN,PIT,"W,3-1",2,0.1,1,1,0,0,1,0,1,5.65,4,16,10,1,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,1.51,-0.132,-0.07%,-1.08
2018-05-04,WSN,PHI,"W,7-3",0,1.0,1,0,0,0,1,0,0,5.28,3,8,6,4,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.71,0.024,0.01%,0.51
2018-05-08,WSN,SDP,"W,4-0",3,0.1,0,0,0,0,0,0,0,5.17,1,2,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.22,0.065,0.04%,0.57
2018-05-10,WSN,ARI,"W,2-1",1,1.1,0,0,0,1,3,0,0,4.76,5,23,13,6,5,1,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.92,0.190,0.12%,0.74
2018-05-12,WSN,ARI,"W,2-1",1,1.0,0,0,0,0,1,0,0,4.50,4,13,10,4,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,4.72,0.203,0.14%,0.51
2018-05-13,WSN,ARI,"W,6-4",0,1.1,0,0,0,0,2,0,0,4.19,4,15,13,3,4,1,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.55,0.163,0.11%,0.87
2018-05-15,WSN,NYY,"W,5-3",1,1.0,2,0,0,0,0,0,0,3.98,5,12,8,1,1,3,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.45,0.076,0.05%,0.51
2018-06-01,WSN,ATL,"L,0-4",16,0.1,0,0,0,1,0,0,0,3.92,2,10,6,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.04,0.001,0.00%,0.10
2018-06-02,WSN,ATL,"W,5-3",0,1.0,0,0,0,0,1,0,0,3.74,3,7,5,1,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.40,0.105,0.11%,0.49
