date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-05-26,SFG,ARI,"L,2-6",99,1.0,0,0,0,0,1,0,0,0.00,3,19,12,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.00%,0.50
2019-05-28,SFG,MIA,"L,3-11",1,1.0,2,1,1,1,0,1,0,4.50,5,22,11,3,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.00,0.000,0.00%,-0.50
2019-06-01,SFG,BAL,"W,8-2",3,1.0,0,0,0,0,0,0,0,3.00,3,11,8,1,0,1,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,0.00%,0.55
2019-07-15,SFG,COL,"W,19-2",43,1.0,0,0,0,1,1,0,0,2.25,4,15,8,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.62
2019-07-23,SFG,CHC,"W,5-4",7,1.0,0,0,0,0,2,0,0,1.80,3,12,8,1,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.137,0.06%,0.50
2019-07-24,SFG,CHC,"L,1-4",0,1.0,0,0,0,0,0,0,0,1.50,3,5,5,1,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,1,.17,0.008,0.00%,0.50
2019-07-27,SFG,SDP,"L,1-5",2,1.0,0,0,0,1,1,0,0,1.29,4,22,13,4,0,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.50
2019-07-30,SFG,PHI,"L,2-4",2,1.0,1,0,0,1,2,0,0,1.13,5,26,14,5,3,1,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.29,0.011,0.01%,0.54
2019-08-01,SFG,PHI,"L,2-10",1,1.0,0,0,0,1,0,0,0,1.00,3,12,7,0,3,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.00,0.000,0.00%,0.54
2019-08-03,SFG,COL,"W,6-5",1,1.0,0,0,0,0,0,0,0,0.90,3,11,9,2,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.67,0.055,0.02%,0.62
2019-08-05,SFG,WSN,"L,0-4",1,1.0,1,2,2,3,2,0,0,2.45,7,39,20,3,6,1,1,0,0,0,,0,0,1,0,0,4,1,0,0,0,0,0,1.41,-0.173,-0.09%,-1.50
2019-08-07,SFG,WSN,"L,1-4",1,1.0,1,0,0,0,0,0,0,2.25,3,10,6,2,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,0.01%,0.50
2019-08-09,SFG,PHI,"L,6-9",1,1.0,1,0,0,0,0,0,0,2.08,4,14,10,2,1,2,2,1,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,.75,0.037,0.01%,0.50
2019-08-14,SFG,OAK,"L,5-9",4,1.0,0,0,0,1,0,0,0,1.93,3,16,9,2,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,.52,0.029,0.01%,0.88
2019-08-15,SFG,ARI,"W,7-0",0,1.0,0,0,0,0,1,0,0,1.80,3,11,7,3,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.004,0.00%,0.54
2019-08-16,SFG,ARI,"W,10-9",0,0.2,1,1,1,0,0,1,0,2.30,3,4,4,0,1,1,2,1,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,1.92,-0.329,-0.12%,-1.78
2019-08-18,SFG,ARI,"L,1-6",1,0.1,0,0,0,0,0,0,0,2.25,1,4,3,2,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,0.00%,0.80
2019-08-21,SFG,CHC,"L,11-12",2,1.0,1,1,1,1,0,0,1,2.65,6,19,10,0,2,1,3,3,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.81,-0.049,-0.02%,-0.46
2019-08-24,SFG,OAK,"W,10-5",2,0.2,0,0,0,0,0,0,0,2.55,2,6,4,0,1,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.88,0.041,0.01%,0.94
2019-08-25,SFG,OAK,"W,5-4",0,1.0,0,0,0,0,1,0,0,2.41,2,6,4,2,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,1.47,0.128,0.02%,1.53
2019-08-27,SFG,ARI,"L,2-3",1,0.1,3,1,1,0,1,0,0,2.84,4,14,10,3,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.88,-0.237,-0.04%,-1.69
2019-08-29,SFG,SDP,"L,3-5",1,1.0,0,0,0,0,2,0,1,2.70,3,15,10,2,1,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.13,0.008,0.00%,0.50
2019-09-01,SFG,SDP,"L,4-8",2,0.2,0,0,0,0,0,0,0,2.61,1,4,3,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,.73,0.034,0.00%,0.91
2019-09-05,SFG,STL,"L,0-10",3,1.0,1,0,0,1,1,0,0,2.49,5,16,9,3,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.001,0.00%,0.52
2019-09-07,SFG,LAD,"W,1-0",1,0.0,0,0,0,0,0,0,1,2.49,1,4,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.86,-0.070,0.00%,-0.26
2019-09-10,SFG,PIT,"W,5-4",2,0.2,2,2,2,0,0,0,0,3.22,4,12,8,1,0,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.15,0.002,0.00%,0.06
2019-09-11,SFG,PIT,"L,3-6",0,1.0,0,0,0,0,1,0,0,3.09,3,12,8,1,3,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.034,0.00%,0.50
2019-09-17,SFG,BOS,"W,7-6",5,0.2,1,0,0,1,0,0,0,3.00,4,19,9,3,2,2,1,0,1,0,,0,0,0,0,0,3,0,0,1,0,0,0,2.42,0.034,0.00%,0.10
2019-09-19,SFG,BOS,"L,4-5",1,1.0,0,0,0,0,0,0,0,2.88,3,12,8,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.009,0.00%,0.58
2019-09-21,SFG,ATL,"L,1-8",1,1.0,1,2,2,1,2,1,0,3.46,5,21,13,5,1,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.011,0.00%,-1.44
2019-09-24,SFG,COL,"L,5-8",2,0.0,1,0,0,0,0,0,0,3.46,1,4,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.32,-0.082,0.00%,-0.38
2019-09-26,SFG,COL,"W,8-3",1,1.1,1,0,0,0,2,0,0,3.29,5,17,12,3,3,0,3,1,1,0,,3,0,0,0,0,5,1,0,0,0,0,0,1.77,0.176,0.00%,1.27
2019-09-29,SFG,LAD,"L,0-9",2,0.1,1,1,1,2,0,0,1,3.58,5,20,8,3,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.16,-0.020,0.00%,-2.07
2021-04-05,PHI,NYM,"W,5-3",99,2.0,1,0,0,0,3,0,0,0.00,7,31,22,6,3,1,3,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.50,0.073,0.05%,1.01
2021-04-07,PHI,NYM,"W,8-2",1,1.0,0,0,0,0,0,0,0,0.00,4,7,5,1,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.12,0.006,0.01%,0.51
2021-04-10,PHI,ATL,"L,4-5",2,1.0,0,0,0,0,2,0,0,0.00,3,10,8,1,5,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.44,0.035,0.03%,0.55
2021-04-11,PHI,ATL,"W,7-6",0,1.0,1,1,1,0,1,1,0,1.80,4,15,11,2,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.36,-0.124,-0.09%,-0.45
2021-04-14,PHI,NYM,"L,1-5",2,0.2,0,0,0,0,0,0,0,1.59,2,3,2,0,0,1,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,1.00,-0.018,-0.01%,0.17
2021-04-19,PHI,SFG,"L,0-2",4,1.0,0,0,0,1,2,0,0,1.35,4,17,11,5,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.57,0.035,0.02%,0.51
2021-04-20,PHI,SFG,"L,7-10",0,1.1,0,0,0,0,1,0,0,1.13,4,15,12,3,1,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.82,0.084,0.05%,0.61
2021-04-23,PHI,COL,"L,4-5",2,1.2,3,1,1,0,2,1,0,1.86,8,25,19,3,3,4,2,0,1,0,,1,1,0,0,0,8,0,0,0,0,0,0,2.46,-0.194,-0.11%,-0.84
2021-04-27,PHI,STL,"L,2-5",3,0.1,1,0,0,0,0,0,0,1.80,2,6,4,1,0,0,2,0,0,0,,2,2,0,0,0,2,1,0,0,0,0,0,.91,-0.138,-0.09%,-1.52
2021-04-28,PHI,STL,"W,5-3",0,1.0,1,0,0,0,1,0,0,1.64,3,10,5,0,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.32,0.083,0.05%,0.47
2021-04-30,PHI,NYM,"W,2-1",1,1.0,0,0,0,1,1,0,0,1.50,4,12,7,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.31,0.163,0.12%,0.51
2021-05-03,PHI,MIL,"W,4-3",2,1.0,0,0,0,0,3,0,0,1.38,3,13,9,3,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.62,0.047,0.03%,0.51
2021-05-04,PHI,MIL,"W,6-5",0,1.2,2,0,0,0,1,0,0,1.23,7,28,20,2,4,2,4,3,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,2.53,0.230,0.14%,0.77
2021-05-08,PHI,ATL,"L,7-8",3,1.1,2,0,0,0,1,0,1,1.13,7,16,11,2,2,2,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.08,0.052,0.04%,0.38
2021-05-11,PHI,WSN,"W,6-2",2,1.0,1,0,0,0,0,0,0,1.06,4,20,13,2,0,2,2,0,1,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.97,0.008,0.01%,-0.14
2021-05-14,PHI,TOR,"W,5-1",2,1.0,0,0,0,0,1,0,0,1.00,3,12,8,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.48,0.037,0.03%,0.53
2021-05-19,PHI,MIA,"L,1-3",4,1.0,1,0,0,0,1,0,0,0.95,4,12,10,3,3,2,1,0,1,0,,3,1,0,0,0,4,0,0,0,0,0,0,1.57,0.071,0.06%,1.35
2021-05-22,PHI,BOS,"L,3-4",2,1.0,3,2,2,0,3,2,0,1.80,6,22,15,9,3,1,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.51,-0.179,-0.11%,-1.49
2021-05-25,PHI,MIA,"W,2-0",2,1.0,1,0,0,1,0,0,0,1.71,5,17,7,2,0,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.81,0.082,0.06%,0.50
2021-05-26,PHI,MIA,"L,2-4",0,1.0,3,3,3,1,0,0,0,2.86,7,28,19,3,2,5,1,1,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,2.82,-0.622,-0.43%,-2.50
2021-05-29,PHI,TBR,"L,3-5",2,0.1,1,2,2,1,1,0,0,3.63,3,10,5,1,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,1,0,0,0,2.48,-0.147,-0.09%,-0.69
2021-06-05,PHI,WSN,"W,5-2",6,0.1,1,0,0,1,0,0,0,3.57,3,12,6,2,0,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,.93,-0.048,-0.03%,-0.41
2021-06-06,PHI,WSN,"W,12-6",0,1.1,0,0,0,0,1,0,0,3.38,4,22,15,6,0,3,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.37,0.040,0.03%,0.87
2021-06-08,PHI,ATL,"L,5-9",1,0.2,2,2,0,0,0,0,0,3.28,5,17,10,2,0,2,3,3,0,0,,2,2,0,0,0,5,0,0,0,0,0,0,1.59,-0.388,-0.26%,-3.08
2021-06-12,PHI,NYY,"W,8-7",3,2.0,1,1,1,1,2,1,0,3.38,7,22,15,7,2,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.42,0.027,0.02%,0.01
2021-06-15,PHI,LAD,"L,3-5",2,0.2,1,0,0,0,1,0,0,3.29,3,10,7,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.35,0.040,0.03%,0.28
2021-06-23,PHI,WSN,"L,12-13",7,0.2,0,3,3,3,2,0,0,4.18,5,27,12,5,3,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.99,-0.026,-0.02%,-0.27
2021-08-26,PHI,ARI,"L,7-8",63,1.2,2,1,1,0,1,0,1,4.25,7,24,18,6,0,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.21,0.016,0.01%,0.78
2021-08-28,PHI,ARI,"W,7-0",1,1.0,1,0,0,0,1,0,0,4.11,4,21,13,1,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.00%,0.51
2021-08-31,PHI,WSN,"W,12-6",2,1.0,0,0,0,1,1,0,0,3.98,5,18,9,2,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.64,0.036,0.03%,0.49
