date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-30,SFG,SDP,"L,2-3",99,1.0,0,0,0,2,1,0,0,0.00,5,19,10,8,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.83,0.028,0.02%,0.47
2021-05-05,SFG,COL,"L,5-6",4,1.2,0,0,0,1,3,0,0,0.00,6,28,17,1,7,0,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.23,0.022,0.02%,0.88
2021-05-07,SFG,SDP,"W,5-4",1,0.1,2,1,1,0,0,1,0,3.00,3,18,12,4,1,1,2,0,1,0,,1,1,0,0,0,3,0,0,0,0,0,0,1.12,-0.220,-0.19%,-1.55
2021-05-15,SFG,PIT,"L,6-8",7,0.2,0,2,2,1,0,0,1,7.36,4,24,13,2,1,0,2,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.94,0.004,0.00%,0.06
2021-05-20,SFG,CIN,"W,19-4",4,1.0,0,0,0,0,1,0,0,5.79,3,25,18,5,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.58
2021-05-23,SFG,LAD,"L,5-11",2,2.1,1,1,1,0,1,1,0,5.14,8,44,28,9,0,2,5,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.00,-0.002,0.00%,0.11
2021-05-25,SFG,ARI,"W,8-0",1,1.0,1,0,0,0,2,0,0,4.50,4,19,11,1,3,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.01,0.001,0.00%,0.51
2021-08-01,LAA,OAK,"L,3-8",67,0.1,2,1,1,1,0,0,1,5.40,5,21,11,5,0,0,3,2,1,0,,1,1,1,0,0,3,0,0,1,0,0,0,.77,-0.095,-0.02%,-1.76
2021-08-03,LAA,TEX,"W,11-3",1,2.0,0,0,0,0,3,0,1,4.35,7,28,21,4,5,1,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.004,0.00%,1.03
2021-08-06,LAA,LAD,"W,4-3",2,0.2,1,0,0,0,1,0,0,4.09,3,16,11,3,0,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.95,0.047,0.01%,0.28
2021-08-08,LAA,LAD,"L,2-8",1,1.0,0,0,0,0,1,0,0,3.75,3,12,8,1,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.51
2021-08-11,LAA,TOR,"L,2-10",2,1.0,2,4,4,2,0,1,0,6.23,7,35,23,3,1,1,4,1,2,0,,1,1,0,0,0,5,0,0,0,0,0,0,1.74,-0.341,-0.05%,-3.84
2021-08-14,LAA,HOU,"L,2-8",2,1.1,0,1,1,0,0,0,1,6.28,4,18,10,2,2,1,2,0,0,0,,1,0,0,1,1,3,0,0,0,0,0,0,.85,0.087,0.01%,0.90
2021-08-20,LAA,CLE,"L,1-9",5,1.0,3,0,0,0,0,0,0,5.87,6,16,9,2,0,2,4,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.42,0.019,0.00%,0.53
2021-08-21,LAA,CLE,"L,1-5",0,2.0,1,0,0,0,1,0,0,5.19,7,23,15,5,2,2,4,4,0,0,,3,1,0,0,0,6,0,0,0,0,1,0,.06,0.009,0.00%,1.90
2021-08-25,LAA,BAL,"L,6-10",3,0.2,0,0,0,1,0,0,0,5.00,3,16,11,1,1,1,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,.04,-0.001,0.00%,0.45
2021-08-27,LAA,SDP,"L,0-5",1,1.0,0,0,0,0,0,0,0,4.74,3,9,5,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.53
2021-08-30,LAA,NYY,"W,8-7",2,1.0,0,0,0,0,1,0,0,4.50,3,9,9,4,0,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.041,0.00%,0.53
2021-09-08,LAA,SDP,"L,5-8",8,0.0,1,3,3,1,0,0,1,5.85,3,12,5,0,2,0,1,1,0,0,,1,1,0,0,0,1,0,0,0,0,0,0,1.14,-0.133,0.00%,-1.53
2021-09-21,LAA,HOU,"L,5-10",12,1.0,0,0,0,0,0,0,0,5.57,3,8,6,1,1,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.53
2021-09-22,LAA,HOU,"L,5-9",0,0.2,4,4,3,1,1,0,0,6.65,7,29,14,5,3,0,5,4,0,0,,0,0,0,0,0,5,1,0,0,0,1,0,1.82,-0.453,0.00%,-3.29
2021-09-26,LAA,SEA,"L,1-5",3,0.2,0,0,0,0,1,0,0,6.45,2,11,8,1,4,0,1,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,.24,0.012,0.00%,0.71
2021-09-28,LAA,TEX,"L,2-5",1,1.0,0,0,0,1,0,0,0,6.17,3,20,13,3,1,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,1,0,0,.18,0.007,0.00%,0.52
2021-09-30,LAA,TEX,"L,6-7",1,1.0,0,0,0,1,0,0,0,5.92,4,16,9,3,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.35,0.013,0.00%,0.13
2021-10-03,LAA,SEA,"W,7-3",2,0.2,2,0,0,0,2,0,0,5.76,4,18,14,2,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.17,-0.010,0.00%,-0.10
2020-07-31,SFG,TEX,"W,9-2",99,1.0,2,0,0,0,2,0,0,0.00,5,21,15,7,2,1,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.09,0.001,0.00%,0.50
2020-08-01,SFG,TEX,"W,7-3",0,1.0,1,1,1,0,3,1,0,4.50,4,19,15,2,4,0,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.10,0.006,0.00%,-0.50
2020-08-04,SFG,COL,"L,2-5",2,1.0,0,0,0,0,1,0,0,3.00,3,15,10,3,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,0.01%,0.62
