date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,COL,ARI,"L,2-8",99,0.2,1,0,0,1,2,0,0,0.00,4,18,11,3,3,0,1,0,0,0,,2,2,2,0,0,3,0,0,0,0,0,0,1.01,-0.075,-0.05%,-1.08
2018-04-03,COL,SDP,"L,4-8",4,0.2,1,1,1,0,0,0,1,6.75,5,23,15,0,1,2,2,2,0,0,,2,2,0,0,0,4,0,0,0,0,0,0,2.26,-0.294,-0.19%,-1.65
2018-04-06,COL,ATL,"L,3-8",2,2.0,2,0,0,1,0,0,0,2.70,8,28,15,4,1,5,2,2,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.09,0.007,0.01%,1.13
2018-04-08,COL,ATL,"L,0-4",1,1.0,0,0,0,0,2,0,0,2.08,3,11,9,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.57
2018-04-10,COL,SDP,"L,2-5",1,1.0,0,0,0,0,2,0,1,1.69,4,16,10,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.010,0.01%,0.57
2018-04-13,COL,WSN,"W,2-1",2,1.1,0,0,0,1,0,0,0,1.35,5,16,9,2,0,2,2,2,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.44,0.146,0.09%,0.96
2018-04-18,COL,PIT,"L,2-10",4,2.0,4,2,2,0,3,0,0,3.12,10,44,31,6,7,1,6,3,1,0,,2,2,0,0,0,10,2,0,0,0,0,0,.37,-0.093,-0.06%,-2.10
2018-04-20,COL,CHC,"L,5-16",1,1.1,0,0,0,0,1,0,0,2.70,4,14,11,2,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,0.00%,0.69
2018-04-22,COL,CHC,"L,7-9",1,0.2,1,0,0,0,0,0,0,2.53,3,6,4,1,0,1,2,1,1,0,,3,3,0,0,0,3,1,0,0,0,0,0,.93,-0.088,-0.06%,-1.35
2018-04-23,COL,SDP,"L,5-13",0,0.1,3,5,5,2,0,0,0,6.55,6,30,17,3,5,3,1,1,0,0,,2,2,2,0,0,4,0,0,0,0,0,0,1.48,-0.260,-0.16%,-4.49
