date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-08-13,TOR,KCR,"L,1-3",99,5.0,6,3,3,3,3,1,0,5.40,22,97,62,11,12,5,11,4,2,0,43,,,0,0,0,19,0,0,0,2,0,0,.96,-0.106,0.00%,-0.44
2018-08-18,TOR,NYY,"L,6-11",4,4.1,7,8,6,3,6,3,0,8.68,24,96,57,11,10,5,10,5,1,0,24,,,1,0,0,20,1,0,0,0,1,1,.56,-0.324,0.00%,-5.98
2018-09-02,TOR,MIA,"W,6-1",14,7.0,4,1,1,1,10,0,1,5.51,26,101,69,20,15,5,9,5,0,0,74,,,0,0,0,24,0,0,0,0,0,0,.81,0.228,0.00%,2.18
2018-09-08,TOR,CLE,"L,8-9",5,4.2,5,6,6,5,3,2,0,6.86,23,106,59,20,5,5,10,4,2,0,28,,,0,0,0,18,1,0,0,0,0,0,1.03,-0.278,0.00%,-1.93
2018-09-15,TOR,NYY,"W,8-7",6,5.0,2,0,0,4,10,0,0,5.54,21,92,55,18,14,4,3,1,1,0,69,,,0,0,0,17,0,0,0,0,0,0,1.09,0.183,0.00%,2.56
2018-09-21,TOR,TBR,"L,3-11",5,4.0,6,4,2,4,5,0,0,5.40,22,95,56,14,13,5,8,5,1,0,39,,,0,0,0,18,3,1,0,1,0,1,1.04,-0.368,0.00%,-2.92
2018-09-26,TOR,HOU,"W,3-1",4,3.1,1,1,1,1,5,0,0,5.13,12,49,28,7,8,2,4,2,0,0,58,,,1,0,0,11,0,0,0,0,0,0,.91,0.038,0.00%,0.48
2019-04-01,TOR,BAL,"L,5-6",99,2.0,4,5,3,2,3,1,1,13.50,14,52,32,11,5,3,5,3,0,0,33,,,0,0,0,10,0,0,0,0,1,0,.84,-0.329,-0.21%,-3.93
2019-06-24,TOR,NYY,"L,8-10",83,2.0,2,0,0,3,2,0,0,6.75,11,42,23,4,6,2,4,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.06,0.002,0.00%,0.74
2019-06-28,TOR,KCR,"W,6-2",3,5.1,5,2,2,1,3,1,0,4.82,21,67,42,9,5,8,9,4,1,0,52,,,0,0,0,20,1,0,0,1,0,0,.91,0.022,0.00%,0.66
