date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-05-05,STL,NYM,"L,2-7",99,1.1,2,0,0,0,0,0,0,0.00,6,16,13,2,2,3,3,2,0,0,,2,2,0,0,0,6,0,0,0,0,0,0,.22,-0.063,-0.05%,-1.11
2021-05-06,STL,NYM,"L,1-4",0,1.0,1,0,0,0,2,0,0,0.00,4,19,12,6,2,1,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.75,0.052,0.04%,0.47
2021-05-14,STL,SDP,"L,4-5",7,1.2,1,1,1,2,1,0,1,2.25,8,40,19,6,3,1,3,2,0,0,,1,1,0,1,0,4,0,0,0,0,1,0,.36,-0.070,-0.06%,-1.03
2021-05-21,STL,CHC,"L,3-12",6,0.2,4,3,3,1,0,0,0,7.71,5,22,12,5,0,3,1,1,0,0,,3,3,0,0,0,4,2,0,0,0,0,0,.22,-0.040,-0.04%,-4.47
2021-05-31,STL,LAD,"L,4-9",9,0.1,1,0,0,0,0,0,0,7.20,2,4,4,2,0,1,1,1,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,.08,-0.007,-0.01%,-0.77
2021-06-02,STL,LAD,"L,3-14",1,2.0,0,0,0,1,3,0,0,5.14,7,33,19,6,4,0,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,0.00%,1.02
2021-06-04,STL,CIN,"L,4-6",1,1.0,1,1,1,1,0,0,0,5.63,5,20,9,3,0,1,3,0,0,0,,2,0,0,0,0,4,1,0,0,0,0,0,.57,-0.055,-0.05%,-0.42
2021-06-08,STL,CLE,"L,1-10",3,1.0,0,0,0,1,2,0,0,5.00,4,20,12,4,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,0.00%,0.47
2021-06-12,STL,CHC,"L,2-7",3,1.0,1,1,1,1,0,1,0,5.40,4,15,9,2,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.24,-0.024,-0.02%,-0.49
2021-06-24,STL,PIT,"L,2-8",11,0.2,2,0,0,0,0,0,0,5.06,4,16,9,2,1,1,3,2,1,0,,1,1,0,0,0,4,0,0,0,0,0,0,.04,-0.003,0.00%,-0.50
2021-06-27,STL,PIT,"L,2-7",2,1.0,0,0,0,0,3,0,0,4.63,3,16,11,4,1,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.47
2020-08-16,STL,CHW,"L,2-7",99,2.1,0,0,0,0,5,0,0,0.00,7,25,17,7,8,0,1,0,1,0,,0,0,0,1,0,6,0,0,0,0,0,0,.08,0.010,0.01%,1.18
2020-08-18,STL,CHC,"L,3-6",1,0.2,2,2,2,2,2,1,0,6.00,6,31,15,9,2,0,2,2,0,0,,1,0,0,0,0,4,1,0,0,0,0,0,1.29,-0.103,-0.08%,-1.03
2020-08-20,STL,CIN,"W,5-4",1,1.0,1,0,0,3,1,0,0,4.50,6,32,15,6,3,1,1,0,0,0,,0,0,0,1,0,3,1,0,0,0,0,0,.45,0.019,0.02%,0.52
2020-09-01,STL,CIN,"W,16-2",11,1.0,1,1,1,0,0,0,1,5.40,5,26,14,4,1,1,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,0.00%,-0.46
2020-09-07,STL,CHC,"L,1-5",5,1.0,0,0,0,1,0,0,0,4.50,3,18,9,0,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.21,0.008,0.01%,0.54
2020-09-10,STL,DET,"W,12-2",2,1.0,1,0,0,0,1,0,0,3.86,4,16,11,2,2,1,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.03,0.002,0.00%,0.52
2020-09-11,STL,CIN,"L,1-3",0,1.0,0,0,0,0,2,0,0,3.38,3,16,12,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.47,0.036,0.04%,0.52
2020-09-16,STL,MIL,"L,0-6",4,0.2,0,0,0,1,0,0,0,3.12,3,10,5,3,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.01,0.000,0.00%,0.29
2020-09-17,STL,PIT,"L,1-5",0,0.2,1,0,0,0,0,0,0,2.89,2,8,5,3,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.25,0.014,0.02%,0.69
2020-09-18,STL,PIT,"W,7-2",0,1.0,1,0,0,0,1,0,0,2.61,4,19,10,4,0,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.006,0.01%,0.51
2020-09-21,STL,KCR,"L,1-4",2,0.1,0,0,0,0,0,0,0,2.53,1,1,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.27,0.008,0.01%,0.54
2020-09-23,STL,KCR,"L,3-12",1,1.0,4,3,3,1,2,1,0,4.63,8,30,17,5,2,0,5,3,0,0,,2,2,0,0,0,7,3,0,0,0,0,0,.03,-0.018,-0.02%,-3.42
