date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-10,STL,CIN,"L,4-5",99,1.0,0,0,0,0,1,0,0,0.00,3,8,6,3,0,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.085,0.06%,0.46
2015-04-11,STL,CIN,"W,4-1",0,0.1,0,0,0,0,0,0,0,0.00,1,7,5,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.59,0.060,0.04%,0.28
2015-04-12,STL,CIN,"W,7-5",0,0.2,2,2,2,0,1,0,0,9.00,4,12,8,1,0,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.30,-0.026,-0.02%,-0.11
2015-04-13,STL,MIL,"L,4-5",0,0.2,0,0,0,0,1,0,0,6.75,2,11,6,1,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.54,0.027,0.02%,0.25
2015-04-15,STL,MIL,"W,4-2",1,0.1,0,0,0,0,1,0,0,6.00,1,4,3,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.64,0.041,0.03%,0.42
2015-04-18,STL,CIN,"W,5-2",2,1.2,4,1,1,0,0,0,0,5.79,8,20,13,2,2,5,3,2,0,0,,0,0,0,0,0,8,0,0,0,1,0,0,.57,0.016,0.01%,-0.28
2015-04-21,STL,WSN,"L,1-2",2,0.1,1,0,0,0,1,0,0,5.40,2,11,8,1,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.85,0.023,0.02%,0.11
2015-04-22,STL,WSN,"W,7-5",0,1.0,0,0,0,0,1,0,0,4.50,3,8,5,2,0,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.83,0.137,0.10%,0.47
2015-04-25,STL,MIL,"W,5-3",2,1.1,1,0,0,0,0,0,1,3.68,6,15,10,3,1,3,2,1,1,0,,2,2,0,0,0,5,1,0,0,0,0,0,1.76,0.051,0.04%,-1.12
2015-04-30,STL,PHI,"W,9-3",4,0.1,0,0,0,0,0,0,0,3.52,1,2,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.27,0.008,0.01%,0.22
2015-05-01,STL,PIT,"W,2-1",0,1.0,1,0,0,0,0,0,0,3.12,3,11,7,3,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.38,0.103,0.09%,0.47
2015-05-02,STL,PIT,"W,2-1",0,1.1,3,0,0,0,0,0,0,2.70,7,22,16,6,0,5,2,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.65,0.082,0.07%,0.44
2015-05-04,STL,CHC,"W,10-9",1,1.0,1,1,1,0,0,1,0,3.27,4,15,10,4,1,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.03,0.069,0.06%,-0.53
2015-05-05,STL,CHC,"W,7-4",0,0.2,0,0,0,0,1,0,0,3.09,2,10,6,1,1,1,0,0,0,0,,3,2,0,0,0,2,0,0,0,0,0,0,1.51,-0.078,-0.07%,-0.47
2015-05-07,STL,CHC,"W,5-1",1,0.0,1,0,0,0,0,0,0,3.09,1,2,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.71,-0.036,-0.03%,-0.60
2015-05-08,STL,PIT,"W,8-5",0,1.0,2,1,1,0,1,0,0,3.55,4,16,10,5,0,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,1.02,0.007,0.01%,-0.54
2015-05-09,STL,PIT,"L,5-7",0,0.2,1,0,0,0,0,0,0,3.38,2,4,4,0,1,0,2,0,0,0,,3,3,0,0,0,1,1,0,0,0,1,0,3.01,-0.276,-0.21%,-1.48
2015-05-14,STL,CLE,"W,2-1",4,0.1,1,0,0,0,0,0,0,3.29,2,5,4,2,0,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.58,-0.020,-0.01%,-0.06
2015-05-15,STL,DET,"L,4-10",0,1.0,5,4,4,0,1,0,0,5.52,8,35,23,7,2,3,4,3,1,0,,0,0,0,0,0,8,2,0,0,0,0,0,.18,-0.066,-0.05%,-3.53
2015-05-17,STL,DET,"W,2-1",1,0.2,0,0,0,0,0,0,0,5.28,1,1,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,4.73,0.210,0.15%,0.88
2015-05-18,STL,NYM,"L,1-2",0,2.0,2,0,0,0,1,0,0,4.67,8,29,22,6,2,7,0,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.05,0.254,0.18%,0.90
2015-05-21,STL,NYM,"L,0-5",2,0.2,2,0,0,1,2,0,0,4.50,5,23,13,5,3,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.001,0.00%,0.24
2015-05-25,STL,ARI,"W,3-2",3,1.0,0,0,0,0,1,0,0,4.26,3,7,5,2,1,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.73,0.272,0.19%,1.45
2015-05-26,STL,ARI,"W,6-4",0,0.1,0,0,0,0,0,0,0,4.19,1,2,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.78,0.111,0.08%,0.58
2015-05-27,STL,ARI,"W,4-3",0,0.2,0,0,0,0,1,0,0,4.05,2,6,5,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.39,0.019,0.01%,0.25
2015-05-30,STL,LAD,"L,1-5",2,0.1,0,0,0,0,1,0,0,3.98,1,5,5,1,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.19,0.005,0.00%,0.10
2015-06-03,STL,MIL,"W,7-4",3,1.0,1,0,0,0,0,0,0,3.80,4,10,6,2,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.59,0.021,0.01%,0.47
2015-06-06,STL,LAD,"L,0-2",2,0.2,1,0,0,0,0,0,0,3.68,3,4,4,1,0,1,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.27,0.003,0.00%,0.14
2015-06-09,STL,COL,"L,3-4",2,0.1,0,0,0,0,1,0,0,3.63,1,5,3,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.84,0.022,0.01%,0.46
2015-06-13,STL,KCR,"W,3-2",3,0.2,1,0,0,0,0,0,0,3.52,3,13,9,3,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.16,0.013,0.01%,0.07
2015-06-16,STL,MIN,"W,3-2",2,0.2,1,0,0,0,0,0,0,3.42,3,11,9,2,0,1,2,0,1,0,,1,1,0,0,0,3,1,0,0,0,0,0,2.45,-0.006,0.00%,-0.35
2015-06-18,STL,MIN,"L,1-2",1,1.0,0,0,0,1,0,0,0,3.28,3,8,3,1,0,2,0,0,0,0,,2,0,0,0,0,1,0,0,1,1,0,0,4.12,0.297,0.17%,1.47
